ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.9593,,,,,,,,,,f142a469-1f97-44c9-8f8a-eeb3c6f4f8a5,48,,"[33.6, 11.1]",69155,0,,,,,-0.13047624,,Head,,,"[55.7, 8.2]",,High Pass,,22.28946,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['7896e724-7541-4b6c-b488-63116f665152'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.123,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.7164,,,,,,,,,,a0bcd94f-a6f2-48ab-a1e7-27c52d12f66f,52,,"[49.4, 9.8]",69155,0,,,,,1.8036101,,Right Foot,,,"[47.1, 19.5]",,Ground Pass,,9.968952,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,"['5e8f6c40-3a68-47e0-846e-a468426a9ad6', 'f7f59bc5-6bcb-48a5-aab9-ccc35441d2f8']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.971,Pass,True,2006/2007
,,,,,,,,,,,,,,,,2.1133,,,,,,,,,,f20c9726-baa1-4724-99e3-f708633006ec,55,,"[47.1, 19.5]",69155,0,,,,,0.2960376,,Left Foot,,,"[67.1, 25.6]",,Low Pass,,20.909567,,Incomplete,,Anderson Luís de Souza,19757.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,"['6cd694aa-8720-4d63-889b-fd69133bf9fa', '94eb5aa7-01d5-43f1-9434-c6ec292fe6fa']",39,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.727,Pass,,2006/2007
,,,,,,,,,,,,,,,,4.0404,,,,,,,,,,a2d28a0d-05fb-4366-bd31-be9c1b4cd159,60,,"[36.8, 54.5]",69155,0,,,,,-0.038134113,,Right Foot,,,"[86.6, 52.6]",,High Pass,,49.83623,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Fabricio Fabio Fuentes,26196.0,Right Center Back,2,Barcelona,217,['e41220a8-d668-4e62-bd1d-31f7daf5c973'],43,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:43.474,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.2437,,,,,,,,,,e41220a8-d668-4e62-bd1d-31f7daf5c973,61,,"[33.5, 27.5]",69155,0,,,,,0.5377168,,Head,,,"[44.4, 34.0]",,Low Pass,,12.690942,,,,Andrés Iniesta Luján,5216.0,,,,,Recovery,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,"['8f1a88f6-ef90-4cd6-991e-a010eb86dccb', 'a2d28a0d-05fb-4366-bd31-be9c1b4cd159']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.514,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7311,,,,,,,,,,d8c80cd5-057b-4529-bd1c-069991c5b5ee,65,,"[43.2, 33.5]",69155,0,,,,,1.7776703,,Right Foot,,,"[36.4, 65.9]",,Low Pass,,33.105892,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['1c25bf51-52b9-4f9c-a353-ef244bda0477'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.428,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.978901,,,,,,,,,,21ea675e-9cb3-4d1a-92d5-cfc526475d60,68,,"[36.4, 63.9]",69155,0,,,,,-2.38058,,Right Foot,,,"[25.9, 53.9]",,Ground Pass,,14.5,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['c4cbc5ef-8cc7-478d-b5f5-eecbe79bec09'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.507,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.8701,,,,,,,,,,1cc2da07-0f0d-4e94-a8ae-9f137d18991c,71,,"[25.9, 53.9]",69155,0,,,,,-1.0059656,,Right Foot,,,"[43.2, 26.6]",,Ground Pass,,32.31996,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Right Center Back,2,Barcelona,217,['e7a57dbf-cd9d-47e9-a1e8-cc9d5ca58f29'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.651,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7691,,,,,,,,,,4789c1f2-e279-40e2-b9b6-1651116fc307,74,,"[63.4, 19.5]",69155,1,,,,,-0.7431698,,Right Foot,,,"[78.2, 5.9]",,Ground Pass,,20.09975,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['d2a4b803-3d06-4d3d-908f-993cd456b6c0'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.378,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.8332,,,,,,,,,,f954fc1b-b813-4ebe-acdc-db13848f5d78,77,,"[78.2, 5.9]",69155,1,,,,,2.7226436,,Left Foot,,,"[65.4, 11.6]",,Ground Pass,,14.011781,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['1b3a0e66-c02c-42f8-af53-76ba7c264d59'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.187,Pass,,2006/2007
,,,,,,,,,,,,,,,,3.0381,,,,,,,,,,3a8222de-a690-4928-a686-7cfe91cf2345,80,,"[65.4, 11.6]",69155,1,,,,,0.2752397,,Right Foot,,,"[108.6, 23.8]",,High Pass,,44.88964,,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['d21fb15a-b2aa-4bde-9d34-bf512ccc5db0'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.939,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.1446,,,,,,,,,,97f3e627-b1b8-4dfc-aa1d-2db73394a60d,84,,"[109.7, 23.0]",69155,1,,,,,2.662679,dae99505-f0e1-4157-be87-0714d5791f8e,Right Foot,,,"[99.3, 28.4]",,Low Pass,,11.718362,,,,Ronaldo de Assis Moreira,25879.0,True,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['a379af3c-2965-441a-a597-70d2db46d22e'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.438,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.1852,,,,,,,,,,7b839017-91ed-42a7-a705-7170c38acfe6,89,,"[32.0, 55.2]",69155,1,,,,,2.2503643,,Right Foot,,,"[19.8, 70.3]",,Low Pass,,19.412624,,,,Rubén Gracia Calmache,25921.0,,,,,Recovery,1,Regular Play,Marcos Antonio Senna da Silva,20135.0,Right Defensive Midfield,3,Villarreal,222,['12990b89-5647-4728-a157-e75bff1a62dc'],11,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:11.954,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.624968,,,,,,,,,,336367bd-ab22-41bd-a3b8-061a5041d3ad,92,,"[20.8, 67.9]",69155,1,,,,,-0.77403504,,Right Foot,,,"[38.6, 50.5]",,High Pass,,24.891766,,,,Robert Pirès,19312.0,,,,,,1,Regular Play,Rubén Gracia Calmache,25921.0,Right Wing,3,Villarreal,222,['f5399984-43f6-4918-841b-0eab928e1501'],13,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:13.179,Pass,,2006/2007
,,,,,,,,,,,,,,,,3.059467,,,,,,,,,,c1242e30-38a0-4371-9c99-fe121e32ad56,94,,"[38.5, 50.3]",69155,1,,,,,0.6071307,,Head,,,"[64.7, 68.5]",,Low Pass,,31.901096,,,,Marcos Antonio Senna da Silva,20135.0,,,,,,1,Regular Play,Robert Pirès,19312.0,Center Attacking Midfield,3,Villarreal,222,['339e39c8-4a9a-46da-9a4e-88a8570da0ff'],14,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:14.844,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.990197,,,,,,,,,,65517e02-9704-48fa-b7a9-69c97f91c645,99,,"[73.7, 61.6]",69155,1,,,,,2.2125368,,Right Foot,,,"[66.9, 70.7]",,Ground Pass,,11.360018,,,,Robert Pirès,19312.0,,,,,,1,Regular Play,Marcos Antonio Senna da Silva,20135.0,Right Defensive Midfield,3,Villarreal,222,['cdb8e9bc-063c-4bd3-aa6a-df15519820b8'],22,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:22.658,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.496657,,,,,,,,,,07dcde84-b536-4edb-86c3-fe8ac6e0e064,102,,"[68.6, 70.3]",69155,1,,,,,0.2489627,,Right Foot,,,"[86.3, 74.8]",,Ground Pass,,18.263077,,,,Rubén Gracia Calmache,25921.0,,,,,,1,Regular Play,Robert Pirès,19312.0,Center Attacking Midfield,3,Villarreal,222,['052bb738-a252-452c-a82a-3cff8cdf7a58'],23,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:23.904,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.728133,,,,,,,,,,d22dfa38-41b3-4624-83a6-028fb192c647,105,,"[91.7, 71.9]",69155,1,,,,,-1.4898922,,Right Foot,,,"[92.6, 60.8]",,Ground Pass,,11.136427,,,,Robert Pirès,19312.0,,,,,,1,Regular Play,Rubén Gracia Calmache,25921.0,Right Wing,3,Villarreal,222,['23ccf735-bb1b-4c29-8727-4cc8acc7b50a'],27,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:27.573,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.672729,,,,,,,,,,b6f88945-f3e7-44b0-bd69-ef14ff8d5468,108,,"[93.4, 60.8]",69155,1,,,,,2.5668168,,Left Foot,,,"[84.6, 66.5]",,Ground Pass,,10.484751,,,,Rubén Gracia Calmache,25921.0,,,,,,1,Regular Play,Robert Pirès,19312.0,Center Attacking Midfield,3,Villarreal,222,['1180bad6-b27a-45dc-a228-5d4e9135c49c'],28,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:28.381,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.025589,,,,,,,,,,dee7879c-6595-471d-af57-aadaaa90aa13,111,,"[84.6, 66.5]",69155,1,,,,,-2.013541,,Right Foot,,,"[79.1, 54.9]",,Ground Pass,,12.837834,,,,Marcos Antonio Senna da Silva,20135.0,,,,,,1,Regular Play,Rubén Gracia Calmache,25921.0,Right Wing,3,Villarreal,222,['158047cd-0e61-4c3e-b2a8-09484d0626d7'],29,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:29.134,Pass,,2006/2007
