ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.956203,,,,,,,,,,,,42b8d624-755e-483c-89a7-a966b8e5f11c,43,,"[46.5, 52.7]",69302,0,,,,-0.5224034,,Right Foot,,,,"[56.4, 47.0]",,Ground Pass,,11.423659,,,,Gorka Elustondo Urkola,12191.0,,,,,,,1,Regular Play,Mikel González de Martín Martínez,16622.0,Left Center Back,4,Real Sociedad,210,['5ed6ebc1-a195-4f55-943d-56e90edcd3c6'],28,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:28.091,Pass,,2010/2011
,,,,,,,,,,,,,,,1.9948,,,,,,,,,,,,0d352765-e8bd-41b3-abe3-64ac872503ac,46,,"[56.4, 47.0]",69302,0,,,,2.7610862,,Right Foot,,,,"[46.9, 50.8]",,Ground Pass,,10.231813,,,,Jon Ansotegi Gorostola,26764.0,,,,,,,1,Regular Play,Gorka Elustondo Urkola,12191.0,Right Center Midfield,4,Real Sociedad,210,['5eaf7d53-e711-4bb5-8973-8ca4ce2b364d'],29,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:29.084,Pass,,2010/2011
,,,,,,,,,,,,,,,4.7391,,,,,,,,,,,,b6b1af60-aa14-4ff0-a990-e1155e3734a4,49,,"[46.3, 51.0]",69302,0,,,,-0.2669489,,Left Foot,,,,"[107.0, 34.4]",,High Pass,,62.92893,,Incomplete,,Joseba Llorente Etxarri,26191.0,,,,,,,1,Regular Play,Jon Ansotegi Gorostola,26764.0,Right Center Back,4,Real Sociedad,210,"['6362b37d-be7e-4418-afde-a1c7866a2c06', '7b4ed184-6544-4b91-b620-da4fc7d31ea7']",31,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:31.159,Pass,,2010/2011
,,,,,,,,,,,,,,,1.682353,,,,,,,,,,,,0ff6f208-11db-4c93-a68a-7ca566df72af,53,,"[14.0, 45.7]",69302,0,,,,0.65499485,,Right Foot,,,,"[27.8, 56.3]",,Ground Pass,,17.40115,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['af3c6e87-4010-43af-9e7a-a326541f7239'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.836,Pass,,2010/2011
,,,,,,,,,,,,,,,1.787719,,,,,,,,,,,,0fe8dc10-fd61-43e5-9016-9d96f46e746c,56,,"[27.8, 56.3]",69302,0,,,,-2.4928832,,Right Foot,,,,"[12.5, 44.7]",,Ground Pass,,19.20026,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['a7677362-54d5-40e1-8b32-b5ce84a0db11'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.993,Pass,,2010/2011
,,,,,,,,,,,,,,,1.518182,,,,,,,,,,,,0dd50b20-693d-40e5-8159-d3911c721397,59,,"[12.5, 44.7]",69302,0,,,,-1.4629908,,Right Foot,,,,"[15.0, 21.6]",,Ground Pass,,23.234888,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['9fe8b8ff-1c43-40ea-a023-df1e9f31ce4a'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.784,Pass,,2010/2011
,,,,,,,,,,,,,,,1.240432,,,,,,,,,,,,5e6105f0-1ecb-4e84-bd2a-b0c584b6648d,62,,"[15.0, 19.5]",69302,0,,,,-0.094116405,,Left Foot,,,,"[48.9, 16.3]",,Ground Pass,,34.050697,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,5,Barcelona,217,['eb21c5c2-edae-4bb3-8678-661a16165491'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.496,Pass,,2010/2011
,,,,,,,,,,,,,,,1.692092,,,,,,,,,,,,d72283aa-1668-40a8-9a6e-3f318c057a1e,65,,"[49.1, 16.1]",69302,0,,,,-1.3620192,,Right Foot,,,,"[51.6, 4.3]",,Ground Pass,,12.061924,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,5,Barcelona,217,['bd54b07a-a263-4b1f-901f-8c4aa18cb35e'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.034,Pass,,2010/2011
,,,,,,,,,,,,,,,1.2569,,,,,,,,,,,,e5fc9c33-5c7f-4b61-aa27-ddd3452f1783,68,,"[51.6, 4.3]",69302,0,,,,1.7202754,,Left Foot,,,,"[49.1, 20.9]",,Ground Pass,,16.787197,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,5,Barcelona,217,['8b379173-ce4e-4d65-8d28-4e287c19031c'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.844,Pass,,2010/2011
,,,,,,,,,,,,,,,1.48759,,,,,,,,,,,,62bbd34c-42b0-4b06-9e8e-c24ca046a6fb,71,,"[55.0, 23.9]",69302,0,,,,1.18142,,Right Foot,,,,"[70.1, 60.7]",,Ground Pass,,39.777508,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,5,Barcelona,217,['6fb1f6b0-4f8f-4d20-a2be-1d4200c006fb'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.659,Pass,,2010/2011
,,,,,,,,,,,,,,,1.579178,,,,,,,,,,,,289d806b-a457-4c80-85a1-2f1ce59bac57,74,,"[75.8, 62.8]",69302,0,,,,0.7266424,,Left Foot,,,,"[91.1, 76.4]",,Ground Pass,,20.47071,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,['b8600ecd-1783-420b-b4de-fc35d4341109'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.919,Pass,,2010/2011
,,,,,,,,,,,,,,,1.635403,,,,,,,,,,,,9f5c9148-f488-4254-8aa5-6f9c8194312a,77,,"[105.8, 59.8]",69302,0,,,,-2.580218,,Right Foot,,,,"[96.1, 53.7]",,Ground Pass,,11.458621,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,5,Barcelona,217,['3b523914-844e-47e1-ba33-45db514ed3d8'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.657,Pass,,2010/2011
,,,,,,,,,,,,,,,1.302191,,,,,,,,,,,,dbf8285d-c3e0-44b8-bdf1-c148028a4cdd,80,,"[96.1, 53.7]",69302,1,,,,-2.211905,,Left Foot,,,,"[91.1, 47.0]",,Ground Pass,,8.3600235,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,['60692df8-6844-49ad-a464-38feef89f652'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.781,Pass,,2010/2011
,,,,,,,,,,,,,,,0.5833,,,,,,,,,,,,93f174cc-1501-4309-9efb-583bbc5aed16,83,,"[90.9, 46.8]",69302,1,,,,-0.48166367,,Right Foot,,,,"[104.1, 39.9]",,Low Pass,,14.8946295,,,,David Villa Sánchez,12737.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,5,Barcelona,217,['2adb9661-071a-47a9-b979-859d979ed3c1'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.163,Pass,,2010/2011
,,,,,,,,,,,,,,,2.566288,,,,,,,,,,,,48405888-579d-4742-a6c2-46615bd7cb3b,87,,"[7.0, 45.0]",69302,1,,,,-0.76101273,,Right Foot,,,,"[49.0, 5.0]",,High Pass,,58.0,,,,Antoine Griezmann,5487.0,,,True,,,Goal Kick,1,From Goal Kick,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,6,Real Sociedad,210,['cbc58870-0b90-4a0b-be54-b3c81ed0f823'],19,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:19.705,Pass,,2010/2011
,,,,,,,,,,,,,,,1.557545,,,,,,,,,,,,e515d31b-501a-4dda-9d2c-59a524146913,90,,"[49.0, 5.0]",69302,1,,,,0.053228363,,Right Foot,,,,"[73.4, 6.3]",,High Pass,,24.434607,,,,Alberto De La Bella Madureño,6674.0,,,,,,,1,From Goal Kick,Antoine Griezmann,5487.0,Left Midfield,6,Real Sociedad,210,['f9c8fc13-5fe9-4a71-badd-d2775e4a7077'],23,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:23.161,Pass,,2010/2011
,,,,,,,,,,,,,,,0.6836,,,,,,,,,,,,10dcc5dd-7a77-40eb-b2d1-5435a121ebdf,93,,"[78.2, 5.0]",69302,1,,,,0.96781355,,Left Foot,,,,"[82.4, 11.1]",,Low Pass,,7.406079,,Incomplete,,Joseba Llorente Etxarri,26191.0,,,,,,,1,From Goal Kick,Alberto De La Bella Madureño,6674.0,Left Back,6,Real Sociedad,210,"['efcf5ce6-b142-47fa-b332-bcd5ed94512a', 'f39df18c-e408-4d5d-9db8-ffbade368008']",27,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:27.210,Pass,,2010/2011
,,,,,,,,,,,,,,,0.618172,,,,,,,,,,,,b945b8f5-6471-4a88-81e9-6f3d3d154dbb,96,,"[93.4, 1.0]",69302,1,,,,1.1341692,,,,,,"[97.6, 10.0]",,Low Pass,,9.931767,,,,Diego Rivas Gutiérrez,26060.0,,,,,,Throw-in,1,From Throw In,Alberto De La Bella Madureño,6674.0,Left Back,7,Real Sociedad,210,['13db2ed0-49f2-474e-905b-81f3e901cdbc'],40,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:40.423,Pass,,2010/2011
