50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.194284,,,,,,,,,,,,c8d9c901-253c-451b-85d8-b74f6687d155,17,,"[44.1, 80.0]",267590,0,,,,-0.09820524,,,,,"[64.4, 78.0]",,High Pass,,20.398285,,,Luis Alberto Suárez Díaz,5246.0,,,,,Throw-in,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Back,3,Barcelona,217,['24bc2dd3-4fbb-40a6-b6b6-a1986fa43fe8'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.073,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.4767,,,,,,,,,,,,a0807d93-fca5-405f-942b-cc443eba1041,19,,"[63.6, 78.0]",267590,0,,,,-0.98279375,,Right Foot,,,"[66.0, 74.4]",,Low Pass,,4.3266616,Incomplete,,Denis Suárez Fernández,6609.0,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,3,Barcelona,217,"['3e2c38cc-27eb-4940-baaa-e22fa78eaa52', '8cdddde6-3afb-40ac-b789-c3a1131536fb']",15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.267,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.007839,,,,,,,,,,,,c9a90a22-178c-44e0-9747-b0ab16206729,22,,"[65.4, 80.0]",267590,0,,,,-1.0636978,,,,,"[72.4, 67.4]",,High Pass,,14.413882,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,Throw-in,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Back,4,Barcelona,217,"['2b22d99c-8b9b-4905-a1f7-6cf3e10056a9', 'f6038164-a30b-4c5c-9271-85e3ea7ae8f6']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.862,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.737,,,,,,,,,,,,f6038164-a30b-4c5c-9271-85e3ea7ae8f6,24,,"[47.7, 12.7]",267590,0,,,,-1.4801364,,Head,,,"[48.3, 6.1]",,High Pass,,6.627217,,,Pablo Fornals Malla,6764.0,,,,,Recovery,1,Regular Play,Ignacio Camacho Barnola,8234.0,Center Defensive Midfield,5,Málaga,223,"['5a2f7db7-764c-46b7-84c4-27e9f0c0fb38', 'c9a90a22-178c-44e0-9747-b0ab16206729']",27,,,,,,,,,,,,,,,,,Málaga,223,00:00:27.870,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.2629,,,,,,,,,,,,a185197c-6d20-43ac-9092-a020b00f6cad,27,,"[48.3, 6.1]",267590,0,,,,0.91484773,,Right Foot,,,"[63.0, 25.2]",,High Pass,,24.101868,,,Juan Pablo Añor Acosta,6563.0,,,,,,1,Regular Play,Pablo Fornals Malla,6764.0,Left Center Midfield,5,Málaga,223,['e937df95-dc97-40ea-be40-a981be74783b'],28,,,,,,,,,,,,,,,,,Málaga,223,00:00:28.696,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.0903,,,,,,,,,,,,c90cb000-75fa-4cf2-a4c2-08ac42b3d7b5,33,,"[62.8, 25.4]",267590,0,,,,-0.40363392,,Right Foot,,,"[72.4, 21.3]",,Ground Pass,,10.438869,,,Pablo Fornals Malla,6764.0,,,,,Free Kick,1,From Free Kick,Ignacio Camacho Barnola,8234.0,Center Defensive Midfield,6,Málaga,223,['5ebe09d0-6ffd-451d-b633-47a5e12bf7c3'],45,,,,,,,,,,,,,,,,,Málaga,223,00:00:45.272,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.411021,,,,,,,,,,,,26e1f4ee-53c5-4595-88a9-270e08df9967,36,,"[72.0, 23.0]",267590,0,,,,2.7564352,,Right Foot,,,"[64.6, 26.0]",,Ground Pass,,7.984986,,,Ignacio Camacho Barnola,8234.0,,,,,,1,From Free Kick,Pablo Fornals Malla,6764.0,Left Center Midfield,6,Málaga,223,['635eb44f-1dae-4d4e-af41-e649e81d0f0b'],46,,,,,,,,,,,,,,,,,Málaga,223,00:00:46.443,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.025952,,,,,,,,,,,,7277379e-0074-4956-ae54-9e253255461d,39,,"[64.6, 26.8]",267590,0,,,,-1.6148207,,Right Foot,,,"[63.6, 4.1]",,Ground Pass,,22.722015,,,Federico Ricca Rostagnol,6844.0,,,,,,1,From Free Kick,Ignacio Camacho Barnola,8234.0,Center Defensive Midfield,6,Málaga,223,['e7b8a06f-5db8-4f29-96c0-041f1645263d'],46,,,,,,,,,,,,,,,,,Málaga,223,00:00:46.934,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.574,,,,,,,,,,,,2787e1e3-7a09-4b7c-a126-21cd9ad85313,43,,"[62.4, 2.7]",267590,0,,,,0.018097572,,Left Foot,,,"[84.5, 3.1]",,High Pass,,22.10362,Incomplete,,Juan Carlos Pérez López,6559.0,,,,,,1,From Free Kick,Federico Ricca Rostagnol,6844.0,Left Center Back,6,Málaga,223,"['9576816c-eb94-4d4e-b921-d668a54e17c3', '9cf4020f-4cff-436b-972b-ce7b2a58d584', 'e73d2a7c-9892-47ec-b56b-891c4139d5e9']",49,,,,,,,,,,,,,,,,,Málaga,223,00:00:49.358,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.0099,,,,,,,,,,,,9576816c-eb94-4d4e-b921-d668a54e17c3,45,,"[35.6, 77.0]",267590,0,,,,-0.25188702,,Head,,,"[62.8, 70.0]",,High Pass,,28.086296,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,Recovery,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Back,6,Málaga,223,"['2787e1e3-7a09-4b7c-a126-21cd9ad85313', '772bc18a-5166-4983-b34f-d834f55b8b15', 'f6610633-02ba-45d5-9c50-00c59f59fa7f']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.932,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.9021,,,,,,,,,,,,f6610633-02ba-45d5-9c50-00c59f59fa7f,47,,"[57.3, 10.1]",267590,0,,,,1.7955076,,Head,,,"[55.7, 17.1]",,High Pass,,7.180529,,,José Luis García del Pozo,6580.0,,,,,Recovery,1,From Free Kick,Ignacio Camacho Barnola,8234.0,Center Defensive Midfield,6,Málaga,223,"['9576816c-eb94-4d4e-b921-d668a54e17c3', 'd5470eba-e66e-4707-9269-df142aa55111']",52,,,,,,,,,,,,,,,,,Málaga,223,00:00:52.942,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.601453,,,,,,,,,,,,0c39b92e-9c9e-4cc7-923e-3694edb3090c,50,,"[55.5, 16.5]",267590,0,,,,-1.5454853,,Head,,,"[55.9, 0.7]",,Low Pass,,15.805062,Out,,Federico Ricca Rostagnol,6844.0,,,,,,1,From Free Kick,José Luis García del Pozo,6580.0,Right Center Midfield,6,Málaga,223,['b8091647-1374-46b5-9f38-0caf11fd0967'],54,,,,,,,,,,,,,,,,,Málaga,223,00:00:54.884,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.568894,,,,,,,,,,,,ed76e4dd-3d42-4d39-89b8-59cc7dedd5df,52,,"[64.2, 80.0]",267590,1,,,,-0.82384074,,,,,"[69.2, 74.6]",,High Pass,,7.359348,,,Luis Alberto Suárez Díaz,5246.0,,,,,Throw-in,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Back,7,Barcelona,217,['40d29788-f147-4da2-96b5-d2cc3bbe5b24'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.282,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.83251,,,,,,,,,,,,df32e926-ff51-438d-ad36-37f002f34a51,56,,"[70.0, 77.2]",267590,1,,,,3.0535853,,Right Foot,,,"[63.2, 77.8]",,Low Pass,,6.8264194,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,7,Barcelona,217,"['08e0b4f2-42fe-4738-85c3-9b789fbc545a', '4b285a7c-971b-47a9-94fc-c6535a2bf7ae']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.931,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.420446,,,,,,,,,,,,0e24e173-1705-46b2-9b2e-cdd6e53a44c4,60,,"[63.2, 77.8]",267590,1,,,,-3.1187396,,Right Foot,,,"[28.2, 77.0]",,Ground Pass,,35.00914,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Back,7,Barcelona,217,"['7d9f071e-b6a0-4869-bde4-fcbb9a665738', 'a0bd86f8-b6e3-47ec-9f6f-b844f81a2a3c']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.478,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.734993,,,,,,,,,,,,0feaeea9-dd98-420a-87fe-acf402c04b4b,63,,"[24.0, 77.4]",267590,1,,,,-1.5469203,,Left Foot,,,"[24.8, 43.9]",,Ground Pass,,33.509552,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Right Center Back,7,Barcelona,217,['9a22754a-2a81-4e14-bafd-eb3ece123383'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.450,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.876971,,,,,,,,,,,,414654cf-fc63-44f3-8a39-7e7608f40628,66,,"[29.2, 36.1]",267590,1,,,,-0.8089787,,Left Foot,,,"[49.9, 14.4]",,Ground Pass,,29.989664,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,7,Barcelona,217,['9999da59-e210-4534-816a-69bec6060022'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.844,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.030097,,,,,,,,,,,,c2533a5a-ab28-4656-b2af-b69199530693,70,,"[54.9, 12.1]",267590,1,,,,-0.8031478,,Left Foot,,,"[63.2, 3.5]",,Ground Pass,,11.951987,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,7,Barcelona,217,['49b11dc7-9f3a-4729-a9ca-e9cdcfc274d3'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.225,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.853695,,,,,,,,,,,,d29091a8-1f32-430f-9bbb-b9d80f0164d4,73,,"[62.4, 3.9]",267590,1,,,,2.647879,,Right Foot,,,"[36.2, 18.0]",,Ground Pass,,29.75315,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,7,Barcelona,217,['a999d35d-8928-498e-b6cf-1fccd8d99e83'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.293,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.879541,,,,,,,,,,,,02f77d58-6d10-4067-96c2-ca4950a1e0f8,76,,"[32.6, 18.8]",267590,1,,,,1.6365243,,Left Foot,,,"[30.0, 58.3]",,Ground Pass,,39.585476,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,7,Barcelona,217,['f52842c3-20e0-48a6-9549-b3507bd7fa04'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.346,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.659081,,,,,,,,,,,,4e9100f9-dbf3-4a3e-9a0c-1192ab0b3783,79,,"[37.0, 60.0]",267590,1,,,,-1.5107421,,Right Foot,,,"[38.9, 28.4]",,Ground Pass,,31.657068,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Right Center Back,7,Barcelona,217,['337179e2-4877-42b7-b009-0192e0108d56'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.081,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.031218,,,,,,,,,,,,ff2dd1af-cb22-4194-b83e-35ce98ece5b5,82,,"[44.3, 28.4]",267590,1,,,,1.4284215,,Left Foot,,,"[48.5, 57.7]",,Ground Pass,,29.599493,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,7,Barcelona,217,['954a8740-a8ec-4098-84a9-c698f88a6ccd'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.396,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.520257,,,,,,,,,,,,ead00852-b210-44ad-8dde-29435c698205,85,,"[50.3, 58.8]",267590,1,,,,1.2614675,,Left Foot,,,"[56.5, 78.2]",,Ground Pass,,20.36664,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Right Center Back,7,Barcelona,217,['b178e727-f73d-4e72-9b5e-522f9947231a'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.216,Pass,,2016/2017
,,,,,,,,,,,,,,,,,3.37188,,,,,,,,,,,,990555a2-4a4b-4535-a2cc-d308d661163f,88,,"[56.5, 78.2]",267590,1,,,,-0.22182067,,Right Foot,,,"[103.5, 67.6]",,High Pass,,48.180492,Incomplete,,Denis Suárez Fernández,6609.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Back,7,Barcelona,217,"['2b4df07f-6322-41f7-a925-bedc2cd1b083', 'ff245d65-ae34-4c41-ae75-7a6c36a7b4f6']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.632,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.434893,,,,,,,,,,,,2b4df07f-6322-41f7-a925-bedc2cd1b083,91,,"[16.6, 12.5]",267590,1,,,,2.1529782,,Right Foot,,,"[3.5, 32.4]",,Ground Pass,,23.824778,,,Idriss Carlos Kameni,26103.0,,,,,Recovery,1,From Throw In,Federico Ricca Rostagnol,6844.0,Left Center Back,7,Barcelona,217,"['6955dd30-9862-47bd-a40c-070c33256533', '990555a2-4a4b-4535-a2cc-d308d661163f', 'c3195c88-3447-4ffc-85c1-2a1917e1cf37']",44,,,,,,,,,,,,,,,,,Málaga,223,00:01:44.004,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.1404,,,,,,,,,,,,0020d49c-1657-4e24-8cbe-16c71033b1f0,95,,"[3.3, 31.4]",267590,1,,,,-0.2239045,,Left Foot,,,"[43.7, 22.2]",,Ground Pass,,41.434284,Incomplete,,Juan Pablo Añor Acosta,6563.0,,,,,,1,From Throw In,Idriss Carlos Kameni,26103.0,Goalkeeper,7,Barcelona,217,"['4d7f6279-1b33-4123-9203-b8c353b34439', '7b36f92a-7d26-4b12-8d97-31a951b1d972', 'efa1a8e7-e158-4cf2-a84b-fccb9913b3ab']",45,,,,,,,,,,,,,,,,,Málaga,223,00:01:45.519,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,0.933728,,,,,,,,,,,,efa1a8e7-e158-4cf2-a84b-fccb9913b3ab,97,,"[76.4, 57.9]",267590,1,,,,0.33109608,,Right Foot,,,"[79.6, 59.0]",,Low Pass,,3.3837848,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,7,Barcelona,217,"['0020d49c-1657-4e24-8cbe-16c71033b1f0', '506c7d17-9b57-4a1d-b8ec-72a10d41d3a3']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.659,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.140857,,,,,,,,,,,,474cae8a-3c7b-40ec-a22c-005b75dbb593,101,,"[80.6, 59.8]",267590,1,,,,-1.7017787,,Left Foot,,,"[78.4, 43.1]",,Low Pass,,16.844286,,,André Filipe Tavares Gomes,10802.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,7,Barcelona,217,"['64126030-2332-4bcf-b96c-a501586d6173', '9d6e143f-400b-4cd3-a470-81342ef29303']",48,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.673,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.130493,,,,,,,,,,,,c669aae8-cb15-4361-ac07-47afac58d768,104,,"[73.4, 42.7]",267590,1,,,,-1.3493243,,Left Foot,,,"[76.8, 27.6]",,Ground Pass,,15.478049,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,André Filipe Tavares Gomes,10802.0,Left Center Midfield,7,Barcelona,217,['862a4573-f52a-4902-a39c-479e752095df'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.882,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.134543,,,,,,,,,,,,58ce0eb9-d34a-4116-9676-2d79f8570d45,107,,"[76.8, 24.0]",267590,1,,,,-1.0114665,,Left Foot,,,"[84.5, 11.7]",,Ground Pass,,14.511374,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,7,Barcelona,217,['b6202748-25ab-4d67-8ef8-5f8b1a9c8b0b'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.865,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.157809,,,,,,,,,,,,cf3e9128-9640-4c4e-a461-678188eb2de1,110,,"[84.9, 9.7]",267590,1,,,,1.4258349,,Right Foot,,,"[86.9, 23.4]",,Ground Pass,,13.845216,,,André Filipe Tavares Gomes,10802.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,7,Barcelona,217,['73bb8849-03bf-4ebe-a131-386ece300e8c'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.220,Pass,,2016/2017
