bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.572371,,,,,,,,,,,,,,a68d76d1-fe70-4555-94c7-17bdea54b518,59,,"[51.2, 22.6]",69328,0,,,,,2.5175695,,Right Foot,,,"[46.2, 26.2]",,Ground Pass,,6.1611686,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,['66afb058-5c18-4337-ab17-38237ba6f88f'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.173,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.5693,,,,,,,,,,,,,,03845a80-0936-48a8-a294-b493910fafac,63,,"[46.7, 26.5]",69328,0,,,,,-0.9025069,,Right Foot,,,"[52.7, 18.9]",,Ground Pass,,9.682975,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,5,Barcelona,217,"['01dc02ba-3105-42b0-bba8-6b0cbd168e47', 'd18d141a-80c2-43f2-ac2b-966f9dc6acff']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.154,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,0.78382,,,,,,,,,,,,,,920ff630-8e8e-4cd0-8600-9e2bbcd62ee6,66,,"[52.7, 18.9]",69328,0,,,,,-2.8753407,,Left Foot,,,"[38.4, 15.0]",,Ground Pass,,14.822281,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,"['497a4fd0-1671-4fa4-8a87-93aa3a784ed1', 'd18d141a-80c2-43f2-ac2b-966f9dc6acff']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.803,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,2.435313,,,,,,,,,,,,,,f08fd816-9504-4eb1-a4aa-88f7f6edb4f1,69,,"[37.1, 23.9]",69328,0,,,,,2.1896834,,Left Foot,,,"[17.3, 51.7]",,Ground Pass,,34.130337,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['94063615-a187-4a2b-a54f-051409a53b0b'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.302,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.728326,,,,,,,,,,,,,,69d8cc86-df15-4329-8608-d30f812ed4d2,73,,"[18.1, 51.4]",69328,0,,,,,-2.634494,,Right Foot,,,"[4.6, 43.9]",,Ground Pass,,15.443445,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,"['20e9985d-55f9-4563-b541-d70fddd6ad85', '66a950c6-0bb5-42e2-99e8-6342569a58b3']",48,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.857,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,2.549177,,,,,,,,,,,,,,5bfe101f-ea9c-490a-a010-e7739b397aea,76,,"[4.6, 44.7]",69328,0,,,,,0.86667454,,Right Foot,,,"[31.1, 75.9]",,High Pass,,40.935192,,,,Martín Montoya Torralbo,6593.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['155d25a3-010c-417d-806b-09b79e95c013'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.101,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.303287,,,,,,,,,,,,,,ac07f8cf-1430-4df2-a725-ef521fa8ccac,79,,"[31.1, 75.9]",69328,0,,,,,-2.5115588,,Head,,,"[21.5, 68.9]",,Low Pass,,11.881078,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Right Back,5,Barcelona,217,"['94955d44-b498-4763-b46f-52d92db9a5b1', 'd0f062a9-2c5f-4840-abed-afec67bbeb4a']",54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.691,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,2.645105,,,,,,,,,,,,,,eece3657-2343-412e-a381-b4017f487bfb,83,,"[24.4, 68.1]",69328,0,,,,,0.049017306,,Left Foot,,,"[77.4, 70.7]",,High Pass,,53.063736,,Incomplete,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,"['0d32d20e-1373-4ac4-8783-33ee5c2cd1ab', 'd956179c-727d-4afe-a344-cc73ad48812e', 'ea61c5d0-7b0a-4110-b25d-3d6fc9100571']",56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.217,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,2.786795,,,,,,,,,,,,,,d956179c-727d-4afe-a344-cc73ad48812e,85,,"[43.6, 10.3]",69328,0,,,,,-0.31751928,,Head,,,"[64.9, 3.3]",,High Pass,,22.42075,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Jérémy Mathieu,10609.0,Left Back,5,Barcelona,217,"['49a164d3-2c83-4652-8c60-414db81ba81e', 'eece3657-2343-412e-a381-b4017f487bfb']",58,,,,,,,,,,,,,,,,,,Valencia,207,00:00:58.862,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.6032,,,,,,,,,,,,,,49a164d3-2c83-4652-8c60-414db81ba81e,86,,"[56.1, 77.7]",69328,1,,,,,-0.7394535,,Head,,,"[65.2, 69.4]",,High Pass,,12.316655,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,Recovery,1,Regular Play,Martín Montoya Torralbo,6593.0,Right Back,5,Barcelona,217,"['d85f15e0-437c-47a8-b52c-0c4269f97a34', 'd956179c-727d-4afe-a344-cc73ad48812e']",1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.649,Pass,,2011/2012
