50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_end_early_video_end,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.4371,,,,,,,,,,,,,,ea62fb19-0c72-4030-8997-9e4346e24384,2347,,"[37.4, 4.4]",68347,65,,,,0.28102073,,Head,,,,"[47.1, 7.2]",,High Pass,,10.096039,,,Francisco Javier Yeste Navarro,26035.0,,,,,,2,From Throw In,Ismael Urzáiz Aranda,15608.0,Center Forward,137,Athletic Club,215,['b62fd884-0563-43d9-8f33-ac83ba393786'],7,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:07.044,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.093987,,,,,,,,,,,,,,5cb4d75f-63ee-4939-8a8d-4c06fdf92a4b,2350,,"[47.1, 7.2]",68347,65,,,True,0.8189426,,,,,,"[54.3, 14.9]",,Low Pass,,10.5418215,Incomplete,,Joseba Garmendia Elorriaga,26101.0,,,,,,2,From Throw In,Francisco Javier Yeste Navarro,26035.0,Left Wing,137,Athletic Club,215,"['09988c43-acbc-4409-a369-5b37af503d34', '9357faed-10da-40f7-a5d8-cd4d8d275af8', 'bc273b76-9685-404f-9c14-195d56af66b7']",8,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:08.521,Pass,True,2006/2007
,,,,,,,,,,,,,,,,0.966287,,,,,,,,,,,,,,09988c43-acbc-4409-a369-5b37af503d34,2352,,"[66.7, 66.1]",68347,65,,,,-0.24811345,,Right Foot,,,,"[74.2, 64.2]",,Low Pass,,7.7369246,,,Xavier Hernández Creus,20131.0,,,,,Recovery,2,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,137,Athletic Club,215,"['5cb4d75f-63ee-4939-8a8d-4c06fdf92a4b', '6b05e9c0-2c4d-4245-990f-336b157f7cf3']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:09.615,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.905046,,,,,,,,,,,,,,e2ff7f49-0cd2-4ae4-8809-dce8e11ab3c3,2355,,"[74.8, 64.6]",68347,65,,,,1.5024099,,Right Foot,,,,"[75.8, 79.2]",,Ground Pass,,14.634207,Out,,Gianluca Zambrotta,15774.0,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Left Defensive Midfield,137,Athletic Club,215,['e8208ebb-7ea6-4dd3-894e-ea18b4977215'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:10.893,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.67425,,,,,,,,,,,,,,6bbd2923-83c0-4c5b-9042-c68892e4764c,2357,,"[51.0, 1.0]",68347,65,,,,1.5707964,,,,,,"[51.0, 18.7]",,Low Pass,,17.7,,,Pablo Orbaiz Lesaka,26086.0,,,,,Throw-in,2,From Throw In,Unai Expósito Medina,26032.0,Left Back,138,Athletic Club,215,['5ffeafea-e7a6-4b0f-a40c-923d774ff0ed'],18,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:18.095,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.486634,,,,,,,,,,,,,,4a3b18a5-1588-4cba-b168-1b9ef06925fa,2361,,"[51.2, 21.5]",68347,65,,,,1.9684875,,Right Foot,,,,"[39.9, 48.4]",,Ground Pass,,29.177046,,,Ustaritz Aldekoaotalora Astarloa,26100.0,,,,,,2,From Throw In,Pablo Orbaiz Lesaka,26086.0,Left Center Midfield,138,Athletic Club,215,"['25b6b701-5001-4fa5-83c0-68860c017b0e', 'c1c2ae8e-5c87-4eaa-afc2-a9a2a3a3568b']",21,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:21.294,Pass,True,2006/2007
,,,,,,,,,,,,,,,,2.30856,,,,,,,,,,,,,,0dcc45bd-a10e-4284-bcff-c1cc1325a343,2364,,"[42.0, 47.7]",68347,65,,,,0.7416166,,Right Foot,,,,"[69.4, 72.8]",,High Pass,,37.158714,,,Andoni Iraola Sagarna,26031.0,,,,,,2,From Throw In,Ustaritz Aldekoaotalora Astarloa,26100.0,Left Center Back,138,Athletic Club,215,['a27e4b97-9007-4164-ae6e-1c6bee9c7238'],24,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:24.148,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.507023,,,,,,,,,,,,,,8a851d78-79b6-4a17-9ac8-287e5d9054b5,2367,,"[65.5, 69.1]",68347,65,,,,-2.8588367,,Right Foot,,,,"[50.7, 64.8]",,Ground Pass,,15.412008,,,Ustaritz Aldekoaotalora Astarloa,26100.0,,,,,,2,From Throw In,Andoni Iraola Sagarna,26031.0,Right Back,138,Athletic Club,215,['981faaa4-f20c-4269-8bb0-ef7546c9a0d5'],30,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:30.092,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.424922,,,,,,,,,,,,,,c67958dd-f5d2-4888-9c81-598bc4916036,2370,,"[53.9, 61.3]",68347,65,,,,0.26309037,,Right Foot,,,,"[91.4, 71.4]",,High Pass,,38.836323,,,Ismael Urzáiz Aranda,15608.0,,,,,,2,From Throw In,Ustaritz Aldekoaotalora Astarloa,26100.0,Left Center Back,138,Athletic Club,215,['41b6f2da-e6e7-4360-a5c3-d3be7f92ac8c'],34,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:34.456,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7833,,,,,,,,,,,,,,0f466b7a-db5a-4219-a213-4379408992c0,2374,,"[93.8, 76.0]",68347,65,,,,-1.075839,,Left Foot,,,,"[103.3, 58.4]",,Ground Pass,,20.00025,Incomplete,,Andoni Iraola Sagarna,26031.0,,,,,,2,From Throw In,Ismael Urzáiz Aranda,15608.0,Center Forward,138,Athletic Club,215,"['2dcc89db-b651-4c96-aa04-7ebf53f51446', 'fd73f84f-7fd9-4664-9d3c-ba129604b8a3', 'fe30ba14-da64-4bdb-887a-ad945b2e8a9e']",40,,,,,,,,,,,,,,,,,,Athletic Club,215,00:20:40.099,Pass,True,2006/2007
