bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.631544,,,,,,,,,,,96a77448-c0e8-4831-a928-f3a139f1c7c6,54,,"[88.3, 27.9]",69146,0,,,,,-0.959497,,Right Foot,,,,"[104.7, 4.5]",,Ground Pass,28.574814,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['3c05497e-0ee0-4919-8dfc-e69ecb7a04f1'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.715,Pass,,2007/2008
,,,,,,,,,,,,,,1.563143,,,,,,,,,,,666373d6-58db-4655-9a47-9de442eab51d,57,,"[104.2, 4.2]",69146,0,,,,,-3.1255512,,Left Foot,,,,"[85.5, 3.9]",,Ground Pass,18.702406,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['f1f7e6e5-9d22-459e-a9de-e9f99412df2a'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.505,Pass,,2007/2008
,,,,,,,,,,,,,,0.6402,,,,,,,,,,,00b32856-d075-4cfc-b29f-be1dcc361d31,61,,"[88.8, 8.0]",69146,0,,,,,2.1984258,,Right Foot,,,,"[85.1, 13.1]",,Ground Pass,6.3007936,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,"['3e3d5c5e-b5c8-462f-8913-37eebdbe08c5', '8f8e5ee1-39cc-44d6-b45e-506f71ccbdf7']",52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.540,Pass,True,2007/2008
,,,,,,,,,,,,,,1.298469,,,,,,,,,,,5a9f5310-f67b-46bc-92eb-381cf768200f,64,,"[85.1, 13.1]",69146,0,,,,,0.71492684,,Right Foot,,,,"[94.2, 21.0]",,Low Pass,12.050726,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['b2cbf95d-de4d-4e9e-b92e-b88ec6b2144e'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.260,Pass,,2007/2008
,,,,,,,,,,,,,,0.4148,,,,,,,,,,,fba4cb2a-e8ef-4776-bb8f-f9ef12d9aa80,67,,"[94.2, 21.0]",69146,0,,,,,-0.24084646,,Left Foot,,,,"[99.9, 19.6]",,Ground Pass,5.8694124,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,2,Barcelona,217,['a463070d-c770-4c61-83d1-840d5ee4406f'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.817,Pass,,2007/2008
,,,,,,,,,,,,,,0.2778,,,,,,,,,,,c8cd9290-bcd2-48e8-8855-793f943ef878,72,,"[10.6, 71.6]",69146,0,,,,,0.4444192,,Right Foot,,,,"[14.8, 73.6]",,Low Pass,4.651881,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Jesús Navas González,6821.0,Right Midfield,2,Barcelona,217,['25d238db-9c4b-4762-acde-cb7bf18b8e70'],58,,,,,,,,,,,,,,,,,Sevilla,213,00:00:58.392,Pass,,2007/2008
,,,,,,,,,,,,,,0.97178,,,,,,,,,,,12f4d672-3a40-49fa-a1c4-2322cb0bbe54,74,,"[24.2, 80.0]",69146,1,,,,,-0.4457123,,,,,,"[33.2, 75.7]",,Low Pass,9.974467,,,,Jesús Navas González,6821.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Sevilla,213,['1cf3e5b8-9875-44ee-b1dc-629d2039f29e'],4,,,,,,,,,,,,,,,,,Sevilla,213,00:01:04.745,Pass,,2007/2008
,,,,,,,,,,,,,,1.077234,,,,,,,,,,,1a39c79c-5a6c-4208-947d-ed06c3888c64,78,,"[49.3, 63.4]",69146,1,,,,,-1.1220729,,Right Foot,,,,"[57.1, 47.2]",,Ground Pass,17.979988,,,,Frédéric Oumar Kanouté,25960.0,,,,,,1,From Throw In,Jesús Navas González,6821.0,Right Midfield,3,Sevilla,213,['ce278de9-165e-408a-b526-a77c2c7193ae'],9,,,,,,,,,,,,,,,,,Sevilla,213,00:01:09.010,Pass,,2007/2008
,,,,,,,,,,,,,,1.905224,,,,,,,,,,,3b3e8a2a-ad30-45aa-9fd3-1178f7ab4502,81,,"[58.0, 28.5]",69146,1,,,,,-0.77385134,,Right Foot,,,,"[79.9, 7.1]",,Ground Pass,30.619764,,,,Diego Ángel Capel Trinidad,24683.0,,,,,,1,From Throw In,Frédéric Oumar Kanouté,25960.0,Right Center Forward,3,Sevilla,213,['480ed7b8-78e4-4507-81f2-03a117f92a2d'],12,,,,,,,,,,,,,,,,,Sevilla,213,00:01:12.933,Pass,,2007/2008
,,,,,,,,,,,,,,1.6105,,,,,,,,,,,ccc7b8bd-c8d3-4b5b-a593-b4a5ffa9386b,85,,"[114.7, 6.2]",69146,1,,,,,1.6242571,,Left Foot,True,True,,"[113.1, 36.1]",,Low Pass,29.94278,,Incomplete,,,,,,,,,1,From Throw In,Diego Ángel Capel Trinidad,24683.0,Left Midfield,3,Sevilla,213,"['d93e863c-f8f2-4951-99b9-7ed837f36c2e', 'eb080c46-19ac-41de-aa32-37765b891fde']",19,,,,,,,,,,,,,,,,,Sevilla,213,00:01:19.305,Pass,True,2007/2008
