50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.17681,,,,,,,,,,,,9dbdea8a-d6d5-4b7f-9dbf-d3021aa70e92,60,,"[49.0, 43.1]",69254,1,,,,,-1.0324955,,Right Foot,,,"[57.3, 29.2]",,Ground Pass,,16.189503,,,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['d269314b-6239-457c-bebe-37fef2f8d8ff'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.027,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.580095,,,,,,,,,,,,ae79df98-7d43-4788-8c7c-ad151494275a,64,,"[70.2, 16.6]",69254,1,,,,,2.4034035,,Left Foot,,,"[56.9, 28.7]",,Ground Pass,,17.980545,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,"['05ca49e1-204b-42ff-99d3-136e60a22e1f', '54680234-7821-4796-ab8c-14c7417bb3f7']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.965,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,1.102842,,,,,,,,,,,,2e34682d-a989-4848-af75-12bf02d279ce,67,,"[56.9, 28.7]",69254,1,,,,,1.1089603,,Right Foot,,,"[67.9, 50.8]",,Ground Pass,,24.686232,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['232fa6b7-f9b7-4ce2-8064-f22c31de9439'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.739,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.361632,,,,,,,,,,,,78d858b1-e1ee-4e1d-bb51-839f820c9e30,70,,"[68.7, 62.9]",69254,1,,,,,0.8391924,,Right Foot,,,"[81.0, 76.6]",,Ground Pass,,18.41141,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['a2cf8afd-89ce-42de-90d8-e310f4fc83b8'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.071,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.322618,,,,,,,,,,,,15be9ecc-89ac-4454-bb49-514d1d2768c0,74,,"[79.1, 74.7]",69254,1,,,,,-1.6285355,,Right Foot,,,"[78.1, 57.4]",,Ground Pass,,17.328878,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,"['a2dfbb28-9fa1-43d0-8ea8-d47755b99623', 'a4cae44a-4781-4aa5-8c65-245eb50f03e6']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.327,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,2.083968,,,,,,,,,,,,7f9f0b61-52d4-4b9b-b809-0100891a2dec,78,,"[77.8, 55.2]",69254,1,,,,,-2.176341,,Right Foot,,,"[64.3, 35.7]",,Ground Pass,,23.717083,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,"['b8946586-baf6-4e5f-930d-7d74db94f6c9', 'e2aac5bf-e484-4786-a702-6973fc9190bf']",19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.962,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,1.565818,,,,,,,,,,,,2effebe7-f2a8-4316-9fc5-03481571b02b,81,,"[64.3, 35.7]",69254,1,,,,,-1.2274663,,Right Foot,,,"[71.7, 15.0]",,Ground Pass,,21.982948,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['84835b91-6bb3-4f06-a691-d7581c3d1d0b'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.126,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.731399,,,,,,,,,,,,a7f86213-6583-4a84-85f1-b600d346837c,84,,"[71.7, 15.0]",69254,1,,,,,2.3629057,,Left Foot,,,"[56.7, 29.8]",,Ground Pass,,21.072256,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['9fd7b457-6323-4c66-bfdd-8e659be4fb7b'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.954,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.811728,,,,,,,,,,,,06615bd0-9f19-46ed-b7ad-c82ecb0e23bd,87,,"[55.2, 34.7]",69254,1,,,,,1.5929446,,Right Foot,,,"[54.5, 66.3]",,Ground Pass,,31.607752,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['e82e679a-d25d-4ef2-92f8-1813ab12278a'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.946,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,1.288889,,,,,,,,,,,,6cea51f1-109b-4af4-b4e2-3667d846441f,90,,"[59.2, 70.9]",69254,1,,,,,0.5564732,,Right Foot,,,"[71.9, 78.8]",,Ground Pass,,14.956604,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['1511cb9e-51c6-48c3-b184-ef7090392ff7'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.610,Pass,,2009/2010
