bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.572,,,,,,,,,,,,,71b4cca1-63ef-4e92-b424-58a1b1a3989a,86,,,"[62.5, 51.0]",69274,1,,,,,2.6328628,,Left Foot,,,,"[57.3, 53.9]",,Ground Pass,,5.9539905,,,Éver Maximiliano David Banega,5504.0,,,,,,1,Regular Play,Alberto Facundo Costa,26728.0,Right Center Midfield,5,Valencia,207,['864bd0d2-c5c2-4fdb-8213-f260c6ac5445'],23,,,,,,,,,,,,,,,,,,Valencia,207,00:01:23.146,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.792238,,,,,,,,,,,,,d6a73ba8-19e3-4a64-b602-77cfb3383c15,89,,,"[57.3, 53.9]",69274,1,,,,,-1.8308002,,Right Foot,,,,"[49.0, 22.7]",,Ground Pass,,32.285137,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Éver Maximiliano David Banega,5504.0,Left Center Midfield,5,Valencia,207,['84e7b637-a4ae-4a07-92ea-be8fb349d6c6'],23,,,,,,,,,,,,,,,,,,Valencia,207,00:01:23.758,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.282283,,,,,,,,,,,,,7f293062-fcba-4d44-9541-44387c704d40,92,,,"[65.5, 7.9]",69274,1,,,,,-0.4392622,,Left Foot,,,,"[73.8, 4.0]",,Ground Pass,,9.170606,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Back,5,Valencia,207,['3b5c3daa-4842-4b08-b6ec-6fcd6720be5f'],28,,,,,,,,,,,,,,,,,,Valencia,207,00:01:28.448,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.921412,,,,,,,,,,,,,3fd6e80d-9c37-4611-9fcd-b0837ca05736,96,,,"[73.4, 3.8]",69274,1,,,,,2.9889433,,Left Foot,,,,"[63.0, 5.4]",,Ground Pass,,10.522357,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing,5,Valencia,207,"['1074f757-e4ed-45da-99e7-ac98800b6dd3', '867245f9-16eb-4636-968f-ca4c2ba53311']",29,,,,,,,,,,,,,,,,,,Valencia,207,00:01:29.770,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,0.614086,,,,,,,,,,,,,df46999f-3cce-4473-bcc5-09b43345b07e,99,,,"[63.0, 5.4]",69274,1,,,,,2.4668517,,Left Foot,,,,"[58.0, 9.4]",,Ground Pass,,6.4031243,,,Alberto Facundo Costa,26728.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Back,5,Valencia,207,"['867245f9-16eb-4636-968f-ca4c2ba53311', 'bcd220b6-9b1f-4311-9841-93bb01c00fe5']",31,,,,,,,,,,,,,,,,,,Valencia,207,00:01:31.193,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,0.840086,,,,,,,,,,,,,3c23c5e7-5032-4a0c-8cfb-3a27d795d0b2,103,,,"[58.2, 9.0]",69274,1,,,,,-0.65284663,,Left Foot,,,,"[66.7, 2.5]",,Ground Pass,,10.700467,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Alberto Facundo Costa,26728.0,Right Center Midfield,5,Valencia,207,"['09db8617-57ee-4152-9dbd-bedaa91d4035', '5a87dce8-8fb4-4f67-9509-fa93b494ba83']",32,,,,,,,,,,,,,,,,,,Valencia,207,00:01:32.740,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,3.129528,,,,,,,,,,,,,b3bd990c-2209-4f6d-b55c-3f2be96d7ebf,106,,,"[66.7, 2.5]",69274,1,,,,,0.25720158,,Left Foot,,,,"[107.0, 13.1]",,High Pass,,41.670734,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Back,5,Valencia,207,['4b968cb8-c889-4cdc-9884-4b30eac8dfda'],34,,,,,,,,,,,,,,,,,,Valencia,207,00:01:34.377,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.4118,,,,,,,,,,,,,3295f398-8c51-4d98-914f-0d55e00788df,109,,,"[107.0, 13.1]",69274,1,,,,,1.5402381,,Left Foot,True,,,"[107.7, 36.0]",,Ground Pass,,22.910696,Incomplete,,Joaquín Sánchez Rodríguez,6651.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing,5,Valencia,207,"['ad9bdd24-3596-4120-baad-01a3d53fc5bd', 'bf520372-5c77-4b8f-b0dc-b22213caf59a']",37,,,,,,,,,,,,,,,,,,Valencia,207,00:01:37.547,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.802814,,,,,,,,,,,,,8fe08253-1555-44b3-bfa6-e386206084cd,114,,,"[15.6, 54.1]",69274,1,,,,,0.031239834,,Right Foot,,,,"[25.2, 54.4]",,Ground Pass,,9.604687,,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Back,6,Barcelona,217,['a0e4e7c0-c932-4a14-a502-180cde11d0f1'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.651,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.383773,,,,,,,,,,,,,77c5b170-db87-453b-9118-6520fbef9c2b,117,,,"[27.1, 56.8]",69274,1,,,,,0.7284423,,Right Foot,,,,"[51.2, 78.3]",,Ground Pass,,32.29644,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,6,Barcelona,217,['d074aa9c-39d3-46a4-addb-f8738af269ed'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.134,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.5304,,,,,,,,,,,,,5414d34e-6cc7-42ab-97d7-0d515a0e32de,121,,,"[52.2, 76.6]",69274,1,,,,,-1.5342273,,Right Foot,,,,"[52.8, 60.2]",,Ground Pass,,16.410973,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,"['d6fe8e33-b1f8-4d2f-988e-8e874c1164d4', 'db2bf5e4-1f16-4b4a-9c13-bbc24e2bde01']",45,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:45.274,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,0.4124,,,,,,,,,,,,,f97a86bb-c47f-4048-9c8a-8c8d1acd3973,125,,,"[57.8, 46.5]",69274,1,,,,,-0.31327617,,Left Foot,,,,"[64.9, 44.2]",,High Pass,,7.4632435,Incomplete,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,6,Barcelona,217,['a631c425-fa1d-41f8-af24-36d192d48cc3'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.779,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.600788,,,,,,,,,,,,,71dbc407-0180-40fa-bdf2-963697d48002,128,,,"[44.4, 17.9]",69274,2,,True,,,1.6875049,,Right Foot,,,,"[39.3, 61.4]",,High Pass,,43.797947,,,Marius Stankevičius,26681.0,,True,,,Free Kick,1,From Free Kick,Ángel Dealbert Ibáñez,26645.0,Left Center Back,7,Valencia,207,['696f69dd-e6e0-40ae-bf34-d4cf8798c4d0'],7,,,,,,,,,,,,,,,,,,Valencia,207,00:02:07.888,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.429008,,,,,,,,,,,,,3620d977-5e70-4a00-89b0-b21b54311319,130,,,"[39.5, 61.4]",69274,2,,True,,,2.914297,,Left Foot,,,,"[10.1, 68.2]",,Ground Pass,,30.17615,,,Ricardo Miguel Moreira da Costa,19454.0,,,,,,1,From Free Kick,Marius Stankevičius,26681.0,Right Back,7,Valencia,207,['30c5e1be-4f6c-4684-85fe-1d9c354e616b'],10,,,,,,,,,,,,,,,,,,Valencia,207,00:02:10.034,Pass,,2010/2011
