ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.428329,,,,,,,,,,,,,907fe40b-7eb7-4f27-a916-e4e7bd9f87d3,56,,"[54.5, 65.2]",68321,0,,,,,0.8514783,,Left Foot,,,,"[67.2, 79.7]",,Ground Pass,,19.275373,,,Out,,Juliano Haus Belletti,25863.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,5,Barcelona,217,['a1177156-8262-45c1-aa75-8e390944f0db'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.652,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.262127,,,,,,,,,,,,,be43c85b-7d99-4610-84d7-f07b00d46fff,58,,"[54.4, 1.0]",68321,0,,,,,2.6638615,,,,,,"[40.3, 8.3]",,Low Pass,,15.877657,,,,,Ivica Dragutinovic,25952.0,,,,,,Throw-in,1,From Throw In,David Castedo Escudero,25956.0,Left Back,6,Sevilla,213,['96c0b803-656f-4723-a749-0d36292e44fe'],59,,,,,,,,,,,,,,,,,Sevilla,213,00:00:59.913,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.013349,,,,,,,,,,,,,d3c1abfe-3a57-4cc5-9491-d0b25c0c864c,62,,"[40.3, 9.3]",68321,1,,,,,2.1464233,,Left Foot,,,,"[22.0, 37.5]",,Ground Pass,,33.617405,,,,,Aitor Ocio Carrión,25950.0,,,,,,,1,From Throw In,Ivica Dragutinovic,25952.0,Left Center Back,6,Sevilla,213,['65520179-309a-4a23-affb-68717e3585bd'],3,,,,,,,,,,,,,,,,,Sevilla,213,00:01:03.225,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.1777,,,,,,,,,,,,,57b24c7e-2fe5-4dae-a221-4630a01e31d4,65,,"[21.2, 48.3]",68321,1,,,,,0.21554604,,Right Foot,,,,"[68.7, 58.7]",,High Pass,,48.6252,,,Incomplete,,Javier Pedro Saviola Fernández,25962.0,,,,,,,1,From Throw In,Aitor Ocio Carrión,25950.0,Right Center Back,6,Sevilla,213,"['807c78ef-b680-4472-be53-87b7473021a6', 'c9363f39-eee0-46a2-b21c-1c8967ba01ef']",7,,,,,,,,,,,,,,,,,Sevilla,213,00:01:07.530,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.618519,,,,,,,,,,,,,807c78ef-b680-4472-be53-87b7473021a6,67,,"[52.3, 22.3]",68321,1,,,,,0.41260839,,Head,,,,"[78.8, 33.9]",,Low Pass,,28.927668,,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,Recovery,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,6,Sevilla,213,"['3dc69be8-e231-4732-9a65-506614b6568f', '57b24c7e-2fe5-4dae-a221-4630a01e31d4', 'b5d61e26-2413-48df-84fc-8cb9b22563e6']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.708,Pass,,2005/2006
,,,,,,,,,,,,,,,,0.421,,,,,,,,,,,,,8e8b676a-4ec0-4c4f-96ae-eee0864812ef,71,,"[43.2, 51.0]",68321,1,,,,,0.7702478,,Right Foot,,,,"[49.9, 57.5]",,Low Pass,,9.334881,,,Incomplete,,Jesús Navas González,6821.0,,,,,,,1,From Throw In,Enzo Maresca,25954.0,Left Defensive Midfield,6,Sevilla,213,"['647f0a25-415e-4ac4-9d62-58f8abd298cb', 'ace7239c-43e3-47b0-a54a-c1413b0d6edd']",12,,,,,,,,,,,,,,,,,Sevilla,213,00:01:12.080,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.2256,,,,,,,,,,,,,647f0a25-415e-4ac4-9d62-58f8abd298cb,73,,"[71.1, 23.5]",68321,1,,,,,0.12591262,,Right Foot,,,,"[79.0, 24.5]",,Low Pass,,7.9630394,,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,Recovery,1,From Throw In,Samuel Eto''o Fils,19298.0,Center Forward,6,Sevilla,213,"['0c2ba7cc-22c8-4e5e-b5a0-89278553b4f3', '8e8b676a-4ec0-4c4f-96ae-eee0864812ef', 'cdfac5e3-d039-413b-a38c-2c5767dd5648']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.501,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.3538,,,,,,,,,,,,,cdfac5e3-d039-413b-a38c-2c5767dd5648,75,,"[42.0, 56.5]",68321,1,,,,,1.55228,,Right Foot,,,,"[42.4, 78.1]",,Low Pass,,21.603703,,,,,Jesús Navas González,6821.0,,,,,,Recovery,1,From Throw In,Enzo Maresca,25954.0,Left Defensive Midfield,6,Sevilla,213,"['647f0a25-415e-4ac4-9d62-58f8abd298cb', 'ba05b7d4-7c20-41aa-bab7-33d0fc017c71']",13,,,,,,,,,,,,,,,,,Sevilla,213,00:01:13.727,Pass,,2005/2006
,,,,,,,,,,,,,,,,0.985459,,,,,,,,,,,,,16db92d1-8297-4f9d-9870-9cb0bff43671,78,,"[41.4, 78.3]",68321,1,,,,,-2.167973,,Left Foot,,,,"[36.3, 70.8]",,Ground Pass,,9.06973,,,,,Jose Luis Martí Soler,25948.0,,,,,,,1,From Throw In,Jesús Navas González,6821.0,Right Midfield,6,Sevilla,213,"['11ef1449-c204-449f-9755-cc2bfaca734e', '2d1a2661-6262-4beb-8ae1-b7d766e0dfb8']",16,,,,,,,,,,,,,,,,,Sevilla,213,00:01:16.081,Pass,True,2005/2006
,,,,,,,,,,,,,,,,1.0025,,,,,,,,,,,,,60a3970c-f116-42af-bff5-d96f2bebc94a,81,,"[45.0, 70.5]",68321,1,,,,,-0.37542513,,Right Foot,,,,"[62.0, 63.8]",,Ground Pass,,18.272657,,,,,Javier Pedro Saviola Fernández,25962.0,,,,,,,1,From Throw In,Jose Luis Martí Soler,25948.0,Right Back,6,Sevilla,213,['11923d9d-f2ab-4b34-9efc-58c1aba902d7'],18,,,,,,,,,,,,,,,,,Sevilla,213,00:01:18.318,Pass,,2005/2006
