50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.004919,,,,,,,,,,,,,,80754c24-eb78-44c9-b204-98e3af420ead,1179,,"[29.4, 10.2]",303487,26,,,,,0.87549627,,Left Foot,,,"[44.0, 27.7]",Ground Pass,,22.790567,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Keeper,Héctor Junior Firpo Adames,17304.0,Left Back,53,Barcelona,217,['8684d723-e593-4af2-8bdd-a2fecd64cf91'],45,,,,,,,,,,,,,,,,Barcelona,217,00:26:45.663,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.006175,,,,,,,,,,,,,,1a519148-1b6f-454a-8cce-37be976f3ae7,1182,,"[42.5, 24.1]",303487,26,,,,,2.6586237,,Left Foot,,,"[34.3, 28.4]",Ground Pass,,9.259049,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,53,Barcelona,217,['49e530c1-6fed-4bfe-a96c-5063d9f3bb58'],47,,,,,,,,,,,,,,,,Barcelona,217,00:26:47.976,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.145206,,,,,,,,,,,,,,ac634030-d96c-477c-af8e-4698ff501e7c,1186,,"[30.9, 32.9]",303487,26,,,,,1.8384126,,Right Foot,,,"[25.8, 51.5]",Ground Pass,,19.286524,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Keeper,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,53,Barcelona,217,"['1755c9df-7023-4b6c-8c2a-fb5ff1e52ff0', '67fd948b-b568-43b9-9b0d-c4a078c916e7']",50,,,,,,,,,,,,,,,,Barcelona,217,00:26:50.221,Pass,True,2019/2020
,,,,,,,,,,,,,,,,1.214401,,,,,,,,,,,,,,380895a4-77ae-46d3-b6db-5e4f3ee6a78b,1189,,"[36.5, 48.3]",303487,26,,,,,-1.1979762,,Right Foot,,,"[45.3, 25.8]",Ground Pass,,24.159678,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Keeper,Gerard Piqué Bernabéu,5213.0,Right Center Back,53,Barcelona,217,['29d8382f-ede3-4e67-a068-6a86eaf40d92'],58,,,,,,,,,,,,,,,,Barcelona,217,00:26:58.157,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.96004,,,,,,,,,,,,,,6a0ff509-3b9d-46fe-a1e8-588b81495e24,1192,,"[49.5, 24.3]",303487,27,,,,,0.60228735,,Left Foot,,,"[63.9, 34.2]",Ground Pass,,17.474838,,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,,1,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,53,Barcelona,217,['832bee07-efe5-4e02-9082-b89f0c640f93'],0,,,,,,,,,,,,,,,,Barcelona,217,00:27:00.732,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.162887,,,,,,,,,,,,,,f238a2b5-efcc-45de-8724-e3b5b6401dac,1195,,"[77.6, 23.5]",303487,27,,,,,-0.7008544,,Right Foot,,,"[93.6, 10.0]",Ground Pass,,20.934422,,,,,Anssumane Fati,30756.0,,,,,,,1,From Keeper,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,53,Barcelona,217,['a090f85c-73e0-42b9-ade1-3999110c3742'],4,,,,,,,,,,,,,,,,Barcelona,217,00:27:04.720,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.990335,,,,,,,,,,,,,,d762250c-55c4-4f6d-b8ce-c507753ce73c,1201,,"[88.5, 19.8]",303487,27,,,,,-0.663203,,Left Foot,,,"[101.3, 9.8]",Ground Pass,,16.243153,,,,,Héctor Junior Firpo Adames,17304.0,,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,54,Barcelona,217,['7c973932-1ba7-4232-a3f7-27fccc2c4129'],21,,,,,,,,,,,,,,,,Barcelona,217,00:27:21.359,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.458537,,,,,,,,,,,,,,a4292915-8f1d-4f8b-947e-e81f343bd3a8,1205,,"[101.5, 9.6]",303487,27,,,,,2.7728968,,Left Foot,,,"[92.7, 13.0]",Ground Pass,,9.433981,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Free Kick,Héctor Junior Firpo Adames,17304.0,Left Back,54,Barcelona,217,"['6059ea73-3ad5-4e29-bfc2-f7407f7a362f', 'bd859041-a3ec-48e3-8631-39b247025fd2']",23,,,,,,,,,,,,,,,,Barcelona,217,00:27:23.342,Pass,True,2019/2020
,,,,,,,,,,,,,,,,0.90411,,,,,,,,,,,,,,b81edb64-6bcb-44f3-9242-b031dc6b1bbf,1208,,"[98.9, 8.7]",303487,27,,,,,2.0374024,,Left Foot,,,"[92.1, 22.2]",Ground Pass,,15.115886,,,,,Anssumane Fati,30756.0,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,54,Barcelona,217,['eefbe18e-1ccf-4737-a716-569dcf70f250'],25,,,,,,,,,,,,,,,,Barcelona,217,00:27:25.778,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.248338,,,,,,,,,,,,,,7b5f2a93-ff75-4042-b752-6dfcc5735fd5,1211,,"[84.8, 28.2]",303487,27,,,,,0.6981998,,Right Foot,,,"[110.3, 49.6]",High Pass,,33.289787,,,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Free Kick,Anssumane Fati,30756.0,Left Wing,54,Barcelona,217,"['1d5f68d4-f2d4-48eb-bd21-d58c1244931c', '8381ce1a-5270-4220-933a-b646f7a6175f']",28,,,,,,,,,,,,,,,,Barcelona,217,00:27:28.841,Pass,,2019/2020
