50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.765729,,,,,,,,,,,,,27c04b2d-290a-4194-98fc-e6d0677ffe35,62,,"[48.2, 74.6]",303680,0,,,,-0.49934673,,Right Foot,,,,"[63.6, 66.2]",,Low Pass,,17.54195,,,,,Sergio Guardiola Navarro,17027.0,,,,,,1,Regular Play,Francisco José Olivas Alba,11304.0,Right Center Back,3,Real Valladolid,901,['6435c6ac-c37e-48d9-a657-5be1ce3cf403'],45,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:45.338,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,2.373489,,,,,,,,,,,,,43d55a0f-fc29-4f42-a875-fc92fee9261d,66,,"[43.2, 14.3]",303680,0,,,,1.7300209,,Left Foot,,,,"[38.8, 41.7]",,Ground Pass,,27.751036,,,,,Sergi Roberto Carnicer,6379.0,,,,,Free Kick,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,4,Barcelona,217,['43f8b58d-cdff-4e9c-aa8e-5cd5c04a4df3'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.662,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.864668,,,,,,,,,,,,,4ceb2839-d401-4260-9f66-91424c6c59df,69,,"[64.0, 53.6]",303680,0,,,,1.2913126,,Left Foot,,,,"[70.4, 75.9]",,Ground Pass,,23.200216,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Center Midfield,4,Barcelona,217,['63bc008c-bfb7-479e-9b88-418b2e7812a5'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.595,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,4133bbcd-3caa-479c-8071-9ed3aa5292c7,72,,"[71.3, 75.9]",303680,0,,,,-2.7451513,,Right Foot,,,,"[62.7, 72.3]",,Ground Pass,,9.32309,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Free Kick,Nélson Cabral Semedo,6374.0,Right Back,4,Barcelona,217,['d99b72fd-35b3-4cd1-9077-0401c3912240'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.974,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,2.154531,,,,,,,,,,,,,97bbc636-e5af-4341-b273-db287f926754,75,,"[63.8, 70.5]",303680,1,,,,-1.8562933,,Right Foot,,,,"[55.2, 41.2]",,Ground Pass,,30.536045,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Center Midfield,4,Barcelona,217,['6b0f6b61-4066-417d-be28-53aa374a1bfa'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.268,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.080422,,,,,,,,,,,,,27de2f52-cad1-4448-add4-a5d8c73bbba8,78,,"[55.9, 39.7]",303680,1,,,,-1.1927673,,Right Foot,,,,"[64.2, 18.8]",,Ground Pass,,22.487774,,,,,Clément Lenglet,6826.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['431c008a-377d-40e3-b5d8-91c1bd17aa5f'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.314,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.853368,,,,,,,,,,,,,396b82c1-0335-40de-8f87-0bd4f0b9c6ef,82,,"[64.0, 19.0]",303680,1,,,,-1.0759974,,Left Foot,,,,"[71.5, 5.1]",,Ground Pass,,15.794303,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,4,Barcelona,217,"['ababfab0-c65b-4ce4-aca7-dc221748d582', 'f8cf8ea3-9def-4d4b-b806-d9d97b8c390f']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.452,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.25513,,,,,,,,,,,,,8aaedbb4-f944-4168-8e3d-36dd36a0962d,85,,"[71.5, 5.1]",303680,1,,,,2.8783436,,Left Foot,,,,"[57.4, 8.9]",,Ground Pass,,14.603082,,,,,Clément Lenglet,6826.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['c70c2200-18af-4508-8ae6-005febf2f4a0'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.707,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.288426,,,,,,,,,,,,,b7f054a6-2733-4844-a82b-9f3446b5fdae,88,,"[56.3, 13.0]",303680,1,,,,1.9013962,,Left Foot,,,,"[50.5, 29.9]",,Ground Pass,,17.867569,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,4,Barcelona,217,['c32642e8-232d-4c56-b0a8-00c47b667d27'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.980,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.774603,,,,,,,,,,,,,9e1f4ccb-4b1b-4bfc-9b46-b4e5b311750c,91,,"[63.4, 37.4]",303680,1,,,,-1.0905231,,Right Foot,,,,"[72.1, 20.7]",,Low Pass,,18.830296,,,,,Ricard Puig Martí,24841.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['e2690609-f2c0-4aa3-adea-3079031a3bb5'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.409,Pass,,2019/2020
