50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.7564,,,,,,,,,,,,694a8ccd-a245-4537-8d80-7a5d1e6af754,46,,"[59.8, 14.2]",69333,0,,,,,-0.015462685,,Left Foot,,,"[79.2, 13.9]",,Ground Pass,,19.402319,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,4,Barcelona,217,['034fd838-61ef-44a7-a2b7-3204ebec21fb'],58,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.637,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.3823,,,,,,,,,,,,9894749b-d13e-402a-b0ef-fcae2b723b7b,50,,"[11.2, 74.2]",69333,1,,,,,-0.15582608,,Right Foot,,,"[44.3, 69.0]",,High Pass,,33.50597,Incomplete,,Xavier Torres Buigues,24162.0,,,,,Recovery,1,From Throw In,Sergio Martínez Ballesteros,26444.0,Right Center Back,4,Barcelona,217,"['a8fd2be3-8632-4c59-b787-9d313b514fc4', 'ddc050f1-898b-4e03-8919-9dafc3af69ea']",3,,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:03.742,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.3378,,,,,,,,,,,,ddc050f1-898b-4e03-8919-9dafc3af69ea,52,,"[76.7, 12.0]",69333,1,,,,,-0.7983844,,Head,,,"[84.3, 4.2]",,Low Pass,,10.890363,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,Recovery,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,"['9894749b-d13e-402a-b0ef-fcae2b723b7b', 'b51c706e-f35b-415c-970d-186017e5596a', 'bd5fba26-5d3d-43d2-ab76-57754413e29b']",5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.125,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.78575,,,,,,,,,,,,b51c706e-f35b-415c-970d-186017e5596a,54,,"[36.7, 76.8]",69333,1,,,,,-0.03091798,,Right Foot,,,"[46.4, 76.5]",,Ground Pass,,9.7046385,,,Pedro López Muñoz,6787.0,,,,,Recovery,1,Regular Play,Javier Rodríguez Venta,25937.0,Right Back,5,Levante UD,221,"['72d177f3-093f-4819-be71-ba863fa89f43', 'ddc050f1-898b-4e03-8919-9dafc3af69ea']",6,,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:06.463,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.6536,,,,,,,,,,,,28aa25d0-b524-4525-a636-2758a9113997,58,,"[43.6, 75.4]",69333,1,,,,,2.158799,,Right Foot,,,"[41.2, 79.0]",,Ground Pass,,4.3266616,,,Javier Rodríguez Venta,25937.0,,,,,,1,Regular Play,Pedro López Muñoz,6787.0,Right Midfield,5,Levante UD,221,['ceb2cdae-84cd-4582-97ad-9844376e9d36'],8,,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:08.688,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,28744f56-9350-40df-a60b-e70f26bcfe80,61,,"[41.2, 79.0]",69333,1,,,,,-0.3703778,,Right Foot,,,"[60.0, 71.7]",,Low Pass,,20.16755,,,Arouna Koné,26696.0,,,,,,1,Regular Play,Javier Rodríguez Venta,25937.0,Right Back,5,Levante UD,221,['d7655180-f5e6-4d21-8dc3-1277e42e1fa2'],9,,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:09.358,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.345499,,,,,,,,,,,,103a2f58-c3cb-4ac8-9b6e-30271b8bed89,64,,"[60.0, 71.7]",69333,1,,,,,2.6387494,,Right Foot,,,"[54.0, 75.0]",,Ground Pass,,6.847627,Incomplete,,Pedro López Muñoz,6787.0,,,,,,1,Regular Play,Arouna Koné,26696.0,Center Forward,5,Levante UD,221,"['2b58af03-a769-4043-8df2-28570264f065', '6b1a5f60-30c8-41c9-8107-ffee57ba3253']",10,,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:10.500,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.7566,,,,,,,,,,,,311888f5-d7db-43ce-858e-684298046c12,69,,"[71.0, 6.2]",69333,1,,,,,0.79027617,,Left Foot,,,"[81.2, 16.5]",,Ground Pass,,14.495861,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,6,Barcelona,217,['17a673cf-c587-434c-a912-56eba1993b7c'],15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.227,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.681439,,,,,,,,,,,,9165c897-be6f-4401-b97e-6099e3c52845,72,,"[81.2, 16.5]",69333,1,,,,,2.8582847,,Right Foot,,,"[73.3, 18.8]",,Ground Pass,,8.228001,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,6,Barcelona,217,['20445b71-51f7-4eaf-93fb-bd7ccf861bac'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.063,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.100542,,,,,,,,,,,,c2592a21-9d28-46e2-ac30-807dbedccb63,75,,"[74.9, 25.9]",69333,1,,,,,1.5204188,,Right Foot,,,"[75.5, 37.8]",,Ground Pass,,11.915116,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,6,Barcelona,217,['e696e8e0-a1bc-4041-bdc1-065d903955b3'],17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.653,Pass,,2011/2012
