bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.949013,,,,,,,,,,,,e61eaf9d-416a-4198-a5cd-fbfeadb2d3dd,1815,,,"[43.0, 70.0]",16215,39,True,,,-1.3191063,,Right Foot,,,,"[52.0, 35.0]",,Ground Pass,,36.138622,,,,,William Silva de Carvalho,5214.0,,,,,Free Kick,1,From Free Kick,Aïssa Mandi,6648.0,Right Center Back,83,Real Betis,218,['76e910bf-fc25-4ca2-b7df-f494eb0cfa0e'],57,,,,,,,,,,,,,,,,,,,Real Betis,218,00:39:57.344,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.299947,,,,,,,,,,,,aae26515-8998-410d-b0cc-a09d55c6677a,1817,,,"[52.0, 32.0]",16215,39,True,,,-0.8050035,,Right Foot,,,,"[77.0, 6.0]",,Ground Pass,,36.069378,,,,,Jesé Rodríguez Ruiz,3990.0,,,,,,1,From Free Kick,William Silva de Carvalho,5214.0,Center Defensive Midfield,83,Real Betis,218,['cf54720e-556b-4b92-af1c-75fa0e3251f0'],59,,,,,,,,,,,,,,,,,,,Real Betis,218,00:39:59.742,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.2237,,,,,,,,,,,,77989db8-f6a7-4ce9-809d-3e594b8dbfe2,1819,,,"[79.0, 11.0]",16215,40,,,,-0.7086263,,Right Foot,,,,"[86.0, 5.0]",,Ground Pass,,9.219544,,,,,Cristian Tello Herrera,6658.0,,,Through Ball,True,,1,From Free Kick,Jesé Rodríguez Ruiz,3990.0,Left Center Forward,83,Real Betis,218,['3483865b-dd0c-46e9-a368-031ba44e0a66'],2,,,,,,,,,,,,,,,,,,,Real Betis,218,00:40:02.438,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.8828,,,,,,,,,,,,220baf7b-b7f1-43e5-bf1a-519b4e81b1de,1823,,,"[104.0, 19.0]",16215,40,,,,1.7681919,eee0397a-743e-4891-81c7-d0cad1adaed9,Right Foot,,,,"[101.0, 34.0]",,Ground Pass,,15.297058,,,,,Giovani Lo Celso,3313.0,True,,,,,1,From Free Kick,Cristian Tello Herrera,6658.0,Left Wing Back,83,Real Betis,218,['f3dd06df-3c66-4f94-9fab-9a2ffd9fd0e6'],7,,,,,,,,,,,,,,,,,,,Real Betis,218,00:40:07.514,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.2587,,,,,,,,,,,,9fc0972d-0be8-41a0-93fe-dc904fd1b58a,1831,,,"[80.0, 48.0]",16215,40,,,,-0.7853982,,Right Foot,,,,"[87.0, 41.0]",,Ground Pass,,9.899495,,,,,William Silva de Carvalho,5214.0,,,,,,1,From Free Kick,Aïssa Mandi,6648.0,Right Center Back,83,Real Betis,218,"['183b43ea-ad10-4107-90ea-1c21e042a2cb', '29d79b39-e1e1-4b42-a1b3-dd1568411821']",11,,,,,,,,,,,,,,,,,,,Real Betis,218,00:40:11.551,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,27232e66-2eff-4a59-bb63-223ed0c3e5c2,1834,,,"[86.0, 41.0]",16215,40,,,,-2.5161076,,Right Foot,,,,"[68.0, 28.0]",,Ground Pass,,22.203604,,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,1,From Free Kick,William Silva de Carvalho,5214.0,Center Defensive Midfield,83,Real Betis,218,"['97849165-521c-4f8a-8f14-14b7a26ccd57', 'cd2f64e7-4263-492d-a195-c4812ad4d017']",12,,,,,,,,,,,,,,,,,,,Real Betis,218,00:40:12.810,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,0.6386,,,,,,,,,,,,49df5ef5-0ced-426a-b231-46390746c060,1837,,,"[68.0, 28.0]",16215,40,,,,1.1071488,,Right Foot,,,,"[74.0, 40.0]",,Ground Pass,,13.416408,,,,,William Silva de Carvalho,5214.0,,,,,,1,From Free Kick,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,83,Real Betis,218,"['398f618a-5795-48e7-b56f-933910357022', '97849165-521c-4f8a-8f14-14b7a26ccd57']",15,,,,,,,,,,,,,,,,,,,Real Betis,218,00:40:15.986,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,0.425934,,,,,,,,,,,,0ca0cd5e-b0bb-44cd-a40f-be96cdc96734,1841,,,"[69.0, 39.0]",16215,40,,,,-2.3561945,,Left Foot,,,,"[67.0, 37.0]",,Ground Pass,,2.828427,,,Incomplete,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,1,From Free Kick,William Silva de Carvalho,5214.0,Center Defensive Midfield,83,Real Betis,218,"['7d1063d4-7ad8-4341-b714-0a6f7d456ffc', '9c81ad38-337f-4093-bca3-5164c9f591cf', 'b64a4a82-9b9f-41ba-a722-1aad1f1ee598']",18,,,,,,,,,,,,,,,,,,,Real Betis,218,00:40:18.074,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,1.092021,,,,,,,,,,,,586b750f-2783-404e-80fa-8caed26e3bc0,1845,,,"[57.0, 42.0]",16215,40,,,,-0.551655,,Left Foot,,,,"[70.0, 34.0]",,Ground Pass,,15.264338,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Left Center Forward,84,Barcelona,217,['260edd15-4082-4a9e-873d-1b4f25cf71ac'],19,,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:19.750,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.064178,,,,,,,,,,,,4caf2476-907d-4f0e-a4ce-0e7839fd7e25,1849,,,"[71.0, 40.0]",16215,40,,,,2.379446,,Right Foot,,,,"[49.0, 61.0]",,Low Pass,,30.413813,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Right Center Forward,84,Barcelona,217,['42390753-e6d8-4200-9615-40858735259f'],22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:22.556,Pass,,2018/2019
