ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.0334,,,,,,,,,,,,,9941574c-76a6-46d4-9ff8-4d703cc77117,69,,"[50.6, 66.9]",70297,2,,,,-1.8958042,,Right Foot,,,,"[47.5, 57.7]",,Ground Pass,,9.708244,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Right Back,6,Barcelona,217,['2ace0e14-2229-430b-95c3-b4c3ab7d3448'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.501,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.2199,,,,,,,,,,,,,ba32a5e7-0962-45e0-bf1b-94947913425f,72,,"[51.9, 50.9]",70297,2,,,,-1.9199033,,Right Foot,,,,"[43.2, 27.0]",,Ground Pass,,25.434229,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,6,Barcelona,217,['ce31bcfc-a50c-4f9e-849b-af862269d002'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:02:06.653,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.1163,,,,,,,,,,,,,66cfcb06-aad4-488f-9a7b-adee44bc6ce9,76,,"[43.2, 28.2]",70297,2,,,,2.8830209,,Right Foot,,,,"[15.6, 35.5]",,Ground Pass,,28.54908,,,,Víctor Valdés Arribas,20176.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,6,Barcelona,217,"['22c3619a-5150-4084-b2be-38570f79503e', 'a57d3e48-6ee4-4154-a3a0-9f7020efef1a']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:02:11.541,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,2.7486,,,,,,,,,,,,,1c0a41c3-dc62-4582-a30a-91f016f78760,79,,"[13.4, 38.7]",70297,2,,,,-0.61802894,,Right Foot,,,,"[51.8, 11.4]",,High Pass,,47.115284,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,6,Barcelona,217,"['2e8892fd-b83b-4831-a523-3eedec5ebd19', '4ea8c57b-930b-4dc8-8a78-fdf4f7f32eae']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:02:18.102,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.851902,,,,,,,,,,,,,5c66aa9f-e676-4ceb-b116-3b1928a56fe0,82,,"[66.8, 1.0]",70297,2,True,,,1.0873493,,,,,,"[73.1, 13.0]",,Low Pass,,13.553228,,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,7,Barcelona,217,['e9203a3d-31e7-4c4d-af07-d7c5ffc0c93b'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:02:35.294,Pass,,2012/2013
,,,,,,,,,,,,,,,,,2.4366,,,,,,,,,,,,,7ea6b206-e835-4525-b52f-93d863bc062d,84,,"[78.8, 21.3]",70297,2,,,,1.4263548,,Right Foot,,,,"[84.4, 59.8]",,High Pass,,38.90514,,,,Adriano Correia Claro,22102.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,7,Barcelona,217,['805fd814-6195-45d3-9cf5-36a2ddf9363b'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:02:37.352,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.5245,,,,,,,,,,,,,fa71eead-d328-4b36-9f02-c7401af1827b,88,,"[87.9, 75.6]",70297,2,,,,-2.2664363,,Left Foot,,,,"[78.8, 64.7]",,Ground Pass,,14.199296,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Throw In,Adriano Correia Claro,22102.0,Right Back,7,Barcelona,217,"['9ef93809-3d2e-4eda-ad43-ed0e3c5e8834', 'f85c1beb-df6d-4e9d-ba29-3c40daf3d340']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:02:43.169,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,0.0632,,,,,,,,,,,,,5b8d98d7-0d7f-485d-9a2b-2b1b4b2a2e5b,92,,"[76.6, 57.7]",70297,2,,,,-0.4636476,,Left Foot,,,,"[78.8, 56.6]",,Ground Pass,,2.4596748,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,7,Barcelona,217,"['ae95ad52-0fd7-4f41-8521-fac9812274ae', 'bd5573c2-0bb8-42ae-9514-d5ad6696ece5', 'f4785585-bb5d-40fe-bc93-e48304f8b78f']",45,,,,,,,,,,,,,,,,,Barcelona,217,00:02:45.496,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,1.4951,,,,,,,,,,,,,5761734d-aa98-4b8a-90eb-a469edb21a1b,96,,"[70.1, 60.2]",70297,2,,,,1.4556061,,Left Foot,,,,"[71.5, 72.3]",,Ground Pass,,12.180722,,,,Adriano Correia Claro,22102.0,,,,,Recovery,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,7,Barcelona,217,"['a7185399-c331-447c-944e-18d7c48fb207', 'af4b876f-af38-4088-8edb-8d3dd300ec6e']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:02:47.952,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,1.903147,,,,,,,,,,,,,5f5a33e4-1b8f-47ba-8ac0-7b69255cf1ac,99,,"[71.5, 72.3]",70297,2,,,,-2.0935855,,Right Foot,,,,"[57.9, 48.7]",,Ground Pass,,27.238209,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Throw In,Adriano Correia Claro,22102.0,Right Back,7,Barcelona,217,['40be4b6a-9acd-46fd-9cbe-daf8f8244ea2'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:02:50.043,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.0284,,,,,,,,,,,,,da18640a-2968-4cad-9402-f0ec7a748343,102,,"[57.9, 49.0]",70297,2,,,,-0.9013801,,Right Foot,,,,"[67.0, 37.5]",,Ground Pass,,14.664924,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Throw In,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,7,Barcelona,217,['78d79a04-339b-48ad-9619-9b5dd7b97964'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:02:52.938,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.804328,,,,,,,,,,,,,41fbff85-11fb-4289-bd29-52e8b4d78d77,105,,"[68.6, 39.5]",70297,2,,,,0.92983973,,Right Foot,,,,"[73.3, 45.8]",,Ground Pass,,7.8600254,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,7,Barcelona,217,['741a1348-fa27-42d7-a7de-8e2f3374c1d1'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:02:54.777,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.4363,,,,,,,,,,,,,4be6891d-3664-47a7-bc20-51abe8f35d48,109,,"[74.7, 40.1]",70297,2,,,,-1.4989203,,Right Foot,,,,"[76.5, 15.1]",,Ground Pass,,25.064716,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,7,Barcelona,217,"['51aeaf2c-ef08-4590-a0bb-e83c13c7e4c6', '9537d0cf-c0cf-47ae-adb0-a3f1240b0bbc']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:02:56.625,Pass,True,2012/2013
