50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,4.5972,,,,,,,,,,,,4832da27-40d1-4935-82e7-dccc96f54a02,60,,"[48.0, 9.0]",16086,1,True,,,2.896614,,Right Foot,,,,"[32.0, 13.0]",,Ground Pass,,16.492422,,,Óscar Esau Duarte Gaitán,5598.0,,,,,Free Kick,1,From Free Kick,Dídac Vilá Rosselló,6886.0,Left Back,4,Espanyol,214,['df2c378e-f78d-4524-ac5f-178149f14c12'],16,,,,,,,,,,,,,,,,,Espanyol,214,00:01:16.200,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.0721,,,,,,,,,,,,0c5f5bdf-50de-4a4e-915d-330d740081de,62,,"[32.0, 11.0]",16086,1,,,,1.1071488,,Left Foot,,,,"[36.0, 19.0]",,Ground Pass,,8.944272,,,Marc Roca Junqué,6866.0,,,,,,1,From Free Kick,Óscar Esau Duarte Gaitán,5598.0,Left Center Back,4,Espanyol,214,['df3355d5-51c7-4c04-b507-c97d44f6f7ee'],21,,,,,,,,,,,,,,,,,Espanyol,214,00:01:21.886,Pass,,2018/2019
,,,,,,,,,,,,,,,,,2.1386,,,,,,,,,,,,bab9138d-2048-48ec-ac08-48d428c8f20f,66,,"[31.0, 25.0]",16086,1,,,,2.7468016,,Left Foot,,,,"[7.0, 35.0]",,Ground Pass,,26.0,,,Diego López Rodríguez,6768.0,,,,,,1,From Free Kick,Marc Roca Junqué,6866.0,Left Center Midfield,4,Espanyol,214,"['29e7e8a1-9882-4468-9cb5-962a20603200', 'b0c844c2-0e5b-4f49-91d2-b133ea514ed5']",24,,,,,,,,,,,,,,,,,Espanyol,214,00:01:24.292,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,1.67941,,,,,,,,,,,,ccd8b369-a49e-4893-8802-edc9dff9ee5e,68,,"[8.0, 35.0]",16086,1,,,,-0.7140907,,Right Foot,,,,"[23.0, 22.0]",,Ground Pass,,19.849434,,,Óscar Esau Duarte Gaitán,5598.0,,,,,,1,From Free Kick,Diego López Rodríguez,6768.0,Goalkeeper,4,Espanyol,214,['c9e8b69c-43bf-4c79-a3c1-4c1b2338a361'],26,,,,,,,,,,,,,,,,,Espanyol,214,00:01:26.430,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.632628,,,,,,,,,,,,f3451c91-21db-49ff-a101-af624058abdd,72,,"[20.0, 23.0]",16086,1,,,,2.4468544,,Right Foot,,,,"[8.0, 33.0]",,Ground Pass,,15.6205,,,Diego López Rodríguez,6768.0,,,,,,1,From Free Kick,Óscar Esau Duarte Gaitán,5598.0,Left Center Back,4,Espanyol,214,"['83122939-34f1-4a4f-913c-34cad50e73a4', 'c95dbb37-d9e5-4c3d-8dee-20fa983e25e3']",28,,,,,,,,,,,,,,,,,Espanyol,214,00:01:28.270,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,2.5752,,,,,,,,,,,,48a6456e-cbdb-40c5-8142-a784864a94fe,75,,"[10.0, 32.0]",16086,1,,,,0.08865588,,Left Foot,,,,"[55.0, 36.0]",,High Pass,,45.17743,Incomplete,,Hernán Arsenio Pérez González,6838.0,,,,,,1,From Free Kick,Diego López Rodríguez,6768.0,Goalkeeper,4,Espanyol,214,"['2224d37b-0205-4dca-baea-668b833a0ee1', 'd4e72559-0af8-48fc-95eb-dc973c231ed8']",30,,,,,,,,,,,,,,,,,Espanyol,214,00:01:30.023,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.8419,,,,,,,,,,,,2224d37b-0205-4dca-baea-668b833a0ee1,77,,"[66.0, 45.0]",16086,1,,,,-0.36397895,,Head,,,,"[87.0, 37.0]",,High Pass,,22.472204,Incomplete,,Ousmane Dembélé,5477.0,,,,,Recovery,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,4,Espanyol,214,"['48a6456e-cbdb-40c5-8142-a784864a94fe', '6af91705-84e7-406f-81c6-41f70bb307a2', 'dadf1ddd-ae6d-4455-a42b-ee0431e97569']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.598,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.5175,,,,,,,,,,,,dadf1ddd-ae6d-4455-a42b-ee0431e97569,79,,"[34.0, 44.0]",16086,1,,,,-0.06885649,,Right Foot,,,,"[63.0, 42.0]",,High Pass,,29.068884,Incomplete,,Borja Iglesias Quintas,11391.0,,,,,Recovery,1,From Free Kick,David López Silva,6754.0,Right Center Back,4,Espanyol,214,"['2224d37b-0205-4dca-baea-668b833a0ee1', '54fbd733-a898-4808-979f-56977920345c', 'b8bf068f-e4ed-4b3f-8df6-0b87f8b2f91c']",34,,,,,,,,,,,,,,,,,Espanyol,214,00:01:34.440,Pass,,2018/2019
,,,,,,,,,,,,,,,,,2.479518,,,,,,,,,,,,b8bf068f-e4ed-4b3f-8df6-0b87f8b2f91c,81,,"[58.0, 39.0]",16086,1,,,,-1.5707964,,Head,,,,"[58.0, 21.0]",,Low Pass,,18.0,,,Jordi Alba Ramos,5211.0,,,,,Recovery,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,4,Espanyol,214,"['976216ec-1624-47c4-a751-a36ad7d85307', 'dadf1ddd-ae6d-4455-a42b-ee0431e97569']",35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.958,Pass,,2018/2019
,,,,,,,,,,,,,,,,,1.629694,,,,,,,,,,,,f2215002-a6a8-482a-8431-373b9ea5c83f,85,,"[66.0, 14.0]",16086,1,,,,-0.5144513,,Left Foot,,,,"[89.0, 1.0]",,Ground Pass,,26.41969,Out,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,4,Espanyol,214,"['0a43c9b3-e349-4684-a61f-95656a4a424f', '1da106b5-6cdb-43b0-af49-480fae6f100f']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.883,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,4.2198,,,,,,,,,,,,846226bf-6971-4a8c-8acc-b9ecf0bb2a7b,87,,"[28.0, 80.0]",16086,1,,,,-1.5707964,,,,,,"[28.0, 65.0]",,High Pass,,15.0,,,Marc Roca Junqué,6866.0,,,,,Throw-in,1,From Throw In,Javier López Rodríguez,6791.0,Right Back,5,Espanyol,214,['2d2100f4-b945-4de0-80d7-5ff86b22c52e'],44,,,,,,,,,,,,,,,,,Espanyol,214,00:01:44.700,Pass,,2018/2019
,,,,,,,,,,,,,,,,,2.7295,,,,,,,,,,,,fea24858-f5d7-475f-8a81-93c063248842,90,,"[32.0, 56.0]",16086,1,,,,-1.3258177,,Left Foot,,,,"[44.0, 8.0]",,High Pass,,49.47727,,,Dídac Vilá Rosselló,6886.0,,True,,,,1,From Throw In,Marc Roca Junqué,6866.0,Left Center Midfield,5,Espanyol,214,['24c1368f-d14f-4a63-ab92-c501da723e1b'],49,,,,,,,,,,,,,,,,,Espanyol,214,00:01:49.280,Pass,,2018/2019
