bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.594685,,,,,,,,,,,,13912e3e-771e-4a0b-acb5-e9e93c6af526,2689,,"[46.4, 47.2]",68330,71,,,,0.7042028,,Right Foot,,,,"[76.3, 72.6]",,Low Pass,,39.232258,Incomplete,,Ludovic Giuly,25878.0,,,,,,2,Regular Play,Javier Pedro Saviola Fernández,25962.0,Center Forward,160,Barcelona,217,"['5bea8aeb-761b-425c-830f-688ffdd957a3', '61e2bd0b-f98c-4343-9d10-1e8a6b0eae6f', 'd7826c89-eac6-4fdd-bbaf-5474c2b417f8']",4,,,,,,,,,,,,,,,,Barcelona,217,00:26:04.469,Pass,True,2006/2007
,,,,,,,,,,,,,,,0.9502,,,,,,,,,,,,52fe8cbb-79fa-4343-ae7b-bf2514083bde,2693,,"[44.7, 4.6]",68330,71,,,,1.5458015,,Left Foot,,,,"[45.0, 16.6]",,Ground Pass,,12.00375,,,Roberto Carlos da Silva,25926.0,,,,,,2,Regular Play,Fabio Cannavaro,15775.0,Left Center Back,161,Real Madrid,220,['56b20543-d80b-4194-b5c5-6c7173855867'],8,,,,,,,,,,,,,,,,Real Madrid,220,00:26:08.412,Pass,,2006/2007
,,,,,,,,,,,,,,,1.289622,,,,,,,,,,,,9bd89ebe-6153-41f2-be19-371b2b878e05,2696,,"[47.0, 15.8]",68330,71,,,,-2.438136,,Left Foot,,,,"[35.8, 6.3]",,Ground Pass,,14.686388,,,Fabio Cannavaro,15775.0,,,,,,2,Regular Play,Roberto Carlos da Silva,25926.0,Left Back,161,Real Madrid,220,['76664fcd-6946-49f2-b15f-b909183d3f21'],10,,,,,,,,,,,,,,,,Real Madrid,220,00:26:10.185,Pass,,2006/2007
,,,,,,,,,,,,,,,2.151735,,,,,,,,,,,,613a8f5b-de1f-4b29-b1b7-1ee5d67f0c12,2700,,"[34.2, 8.0]",68330,71,,,,0.43069252,,Right Foot,,,,"[82.3, 30.1]",,High Pass,,52.93411,Incomplete,,Raúl González Blanco,15607.0,,,,,,2,Regular Play,Fabio Cannavaro,15775.0,Left Center Back,161,Real Madrid,220,"['06552465-782d-4157-b574-92c6aa6125d1', 'dff3c4ce-ef8f-4f0f-b0bc-d146c3883bf3']",13,,,,,,,,,,,,,,,,Real Madrid,220,00:26:13.744,Pass,,2006/2007
,,,,,,,,,,,,,,,0.712126,,,,,,,,,,,,06552465-782d-4157-b574-92c6aa6125d1,2702,,"[38.7, 50.9]",68330,71,,,,1.3093175,,Head,,,,"[40.6, 58.0]",,Low Pass,,7.34983,,,Gianluca Zambrotta,15774.0,,,,,Recovery,2,Regular Play,Lilian Thuram,15071.0,Right Center Back,162,Barcelona,217,"['4e805d8d-da15-420a-9778-7a71d99b85c1', '613a8f5b-de1f-4b29-b1b7-1ee5d67f0c12']",15,,,,,,,,,,,,,,,,Barcelona,217,00:26:15.896,Pass,,2006/2007
,,,,,,,,,,,,,,,1.238524,,,,,,,,,,,,dd3dcb01-d19a-495e-a433-bc91a4ef9dd4,2705,,"[41.1, 61.6]",68330,71,,,,-1.0011643,,Right Foot,,,,"[46.8, 52.7]",,Ground Pass,,10.568822,,,Xavier Hernández Creus,20131.0,,,,,,2,Regular Play,Gianluca Zambrotta,15774.0,Right Back,162,Barcelona,217,['73e7dfe3-4839-4165-9801-16f6aa8229f2'],17,,,,,,,,,,,,,,,,Barcelona,217,00:26:17.192,Pass,,2006/2007
,,,,,,,,,,,,,,,1.691556,,,,,,,,,,,,656d4327-9bef-46b2-9dd4-d8667605f32a,2708,,"[46.8, 52.7]",68330,71,,,,-3.113822,,Right Foot,,,,"[36.0, 52.4]",,Ground Pass,,10.804166,,,Lilian Thuram,15071.0,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Center Defensive Midfield,162,Barcelona,217,['ce68a8ac-0c2a-4d28-9f33-16ff334bf082'],18,,,,,,,,,,,,,,,,Barcelona,217,00:26:18.478,Pass,,2006/2007
,,,,,,,,,,,,,,,1.550982,,,,,,,,,,,,647832ff-7c32-412f-bfc3-8387acf3d4ae,2711,,"[36.0, 52.4]",68330,71,,,,-0.9705868,,Right Foot,,,,"[51.4, 29.9]",,Ground Pass,,27.265547,,,Andrés Iniesta Luján,5216.0,,,,,,2,Regular Play,Lilian Thuram,15071.0,Right Center Back,162,Barcelona,217,['0171d4b2-b2e6-49b5-9f4b-bc8cc6bcd133'],20,,,,,,,,,,,,,,,,Barcelona,217,00:26:20.674,Pass,,2006/2007
,,,,,,,,,,,,,,,1.864244,,,,,,,,,,,,ca67ef66-90a2-4ab0-9894-d08cd92621ce,2714,,"[46.6, 21.4]",68330,71,,,,-0.7604726,,Right Foot,,,,"[65.1, 3.8]",,Ground Pass,,25.534487,,,Sylvio Mendes Campos Junior,25854.0,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,162,Barcelona,217,['26f71a71-4c8a-4bb6-831a-4b3ffe65964b'],23,,,,,,,,,,,,,,,,Barcelona,217,00:26:23.918,Pass,,2006/2007
,,,,,,,,,,,,,,,1.204999,,,,,,,,,,,,a38e6919-764d-4014-8103-9b7c3ef0b62d,2717,,"[77.4, 4.5]",68330,71,,,,1.8925469,,Left Foot,,,,"[74.3, 13.8]",,Ground Pass,,9.803061,,,Andrés Iniesta Luján,5216.0,,,,,,2,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,162,Barcelona,217,['97e0db3d-7fbe-4243-bdef-a07145d3ba13'],28,,,,,,,,,,,,,,,,Barcelona,217,00:26:28.999,Pass,,2006/2007
,,,,,,,,,,,,,,,3.784248,,,,,,,,,,,,1dc9e87e-3dc8-4932-b2f8-93aa176f6909,2720,,"[75.9, 21.2]",68330,71,,,,0.41634566,,Right Foot,,,,"[110.5, 36.5]",,Ground Pass,,37.831863,Incomplete,,Javier Pedro Saviola Fernández,25962.0,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,162,Barcelona,217,"['00920c60-f6cc-413a-9d11-4b80b98a9e9d', 'b22034bc-4f19-448d-b793-2bbb8728ee0c']",30,,,,,,,,,,,,,,,,Barcelona,217,00:26:30.591,Pass,,2006/2007
,,,,,,,,,,,,,,,4.089284,,,,,,,,,,,,8a4e1184-a461-4d5e-926b-6b249c8fe6f1,2725,,"[11.5, 44.5]",68330,71,True,,,-0.5099388,,Drop Kick,,,,"[89.1, 1.1]",,High Pass,,88.911865,Out,,Róbson de Souza,25930.0,,True,,,,2,Regular Play,Iker Casillas Fernández,11179.0,Goalkeeper,163,Real Madrid,220,['9085f23f-2988-4b30-9be4-31014e65671f'],41,,,,,,,,,,,,,,,,Real Madrid,220,00:26:41.780,Pass,,2006/2007
,,,,,,,,,,,,,,,1.4101,,,,,,,,,,,,6332b2fb-ddb7-48ff-8356-e46939097425,2727,,"[33.0, 80.0]",68330,71,True,,,-0.35877067,,,,,,"[46.6, 74.9]",,High Pass,,14.524806,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Throw-in,2,From Throw In,Gianluca Zambrotta,15774.0,Right Back,164,Barcelona,217,"['1a354d5c-30c5-4849-8fde-54a9b305b29a', 'a2f24646-3a28-47f9-826e-b04f0c906a39']",53,,,,,,,,,,,,,,,,Barcelona,217,00:26:53.259,Pass,,2006/2007
