ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.5338,,,,,,,,,,,,,,2c0487a6-21e9-4e25-a5d3-42219dcb192c,47,,,"[61.0, 8.0]",16029,0,,,,0.2153577,,Left Foot,,,,"[93.0, 15.0]",,High Pass,,32.75668,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['aaea7fdd-e408-45ab-901e-a669cca913c0'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.657,Pass,,2018/2019
,,,,,,,,,,,,,,,0.8356,,,,,,,,,,,,,,4d79f6be-99cf-4978-a2e5-b9a4a75b9ab1,51,,,"[94.0, 12.0]",16029,0,,,,-2.896614,,Right Foot,,,,"[90.0, 11.0]",,Ground Pass,,4.1231055,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,"['5b7acc9b-b883-4e2a-a76c-127599b6b9d8', '90251185-d565-4c55-a36f-a9edbe2236dc', 'c155bc75-e90a-4cdb-a043-28b00559f08d']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.223,Pass,True,2018/2019
,,,,,,,,,,,,,,,1.609453,,,,,,,,,,,,,,90251185-d565-4c55-a36f-a9edbe2236dc,53,,,"[31.0, 70.0]",16029,0,,,,-2.7492526,,Left Foot,,,,"[2.0, 58.0]",,High Pass,,31.38471,Out,,Tomáš Vaclík,11541.0,,,,,,Recovery,1,From Kick Off,Daniel Filipe Martins Carriço,6825.0,Right Center Back,2,Barcelona,217,"['05591ba7-1dbc-439d-83b1-6d8ca090ba4e', '4d79f6be-99cf-4978-a2e5-b9a4a75b9ab1']",39,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:39.059,Pass,,2018/2019
,,,,,,,,,,,,,,,1.578291,,,,,,,,,,,,,,e6262d4a-0cfd-4d5d-a626-1ba20fe8501f,55,,,"[120.0, 1.0]",16029,0,,,,1.6614562,,Right Foot,,,,"[117.0, 34.0]",,High Pass,True,33.13608,Incomplete,,Ivan Rakitić,5470.0,,,,Inswinging,,Corner,1,From Corner,Philippe Coutinho Correia,3501.0,Left Wing,3,Barcelona,217,"['b0c74607-e76b-4d01-9883-7df82b4aaa1d', 'f2eeda04-2f8a-4897-9b23-96f3f526167c']",58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.432,Pass,,2018/2019
,,,,,,,,,,,,,,,0.823701,,,,,,,,,,,,,,c83b63ee-bec2-4f16-8f43-33432507fbb2,64,,,"[105.0, 80.0]",16029,1,,,,-0.67474097,,,,,,"[110.0, 76.0]",,Low Pass,,6.4031243,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Throw-in,1,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,4,Barcelona,217,['05deedcc-b2c1-49ab-b15c-404b04a38b64'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.844,Pass,,2018/2019
,,,,,,,,,,,,,,,1.337718,,,,,,,,,,,,,,69f8ffcc-39c8-42e5-93de-9154eb26970e,67,,,"[110.0, 76.0]",16029,1,,,,2.819842,,Left Foot,,,,"[104.0, 78.0]",,Ground Pass,,6.3245554,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['4e4f8977-ce39-4939-8144-c98846f6e594'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.996,Pass,,2018/2019
,,,,,,,,,,,,,,,0.689207,,,,,,,,,,,,,,faf3a9e0-2222-4224-bc5e-773a22351f5b,73,,,"[86.0, 80.0]",16029,1,,,,-1.5707964,,,,,,"[86.0, 75.0]",,Low Pass,,5.0,,,Ivan Rakitić,5470.0,,,,,,Throw-in,1,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,['b8bfaab6-b558-4e74-b454-aa7e4d1553be'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.796,Pass,,2018/2019
,,,,,,,,,,,,,,,0.55734,,,,,,,,,,,,,,da24e4a8-ecf0-4fd0-8c4c-2806afbb5812,76,,,"[86.0, 75.0]",16029,1,,,,2.4668517,,Right Foot,,,,"[81.0, 79.0]",,Ground Pass,,6.4031243,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,['f85af50d-978a-4fc8-9f93-459265f0bc71'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.742,Pass,,2018/2019
,,,,,,,,,,,,,,,2.454649,,,,,,,,,,,,,,68ec857d-a3ad-4a53-ba22-861bd356f7b3,79,,,"[81.0, 79.0]",16029,1,,,,-2.1293957,,Right Foot,,,,"[61.0, 47.0]",,Ground Pass,,37.735924,,,Clément Lenglet,6826.0,,,,,,,1,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,['b2e1fab0-f54e-4a10-a8b3-706b5d8df709'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.460,Pass,,2018/2019
,,,,,,,,,,,,,,,1.240582,,,,,,,,,,,,,,27fecbca-67ff-42aa-8c03-cb1a2719edea,82,,,"[65.0, 35.0]",16029,1,,,,-1.3909428,,Left Foot,,,,"[69.0, 13.0]",,Ground Pass,,22.36068,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,5,Barcelona,217,['2a6620b2-2626-427b-ae03-fee76a902e29'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.630,Pass,,2018/2019
