ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.831992,,,,,,,,,,,,296cdbd4-3e8f-4668-847b-50c80abe2a2d,51,,"[64.5, 22.4]",9742,0,,,,,-2.7483132,,Right Foot,,,,"[55.1, 18.5]",,Ground Pass,,10.176934,,,Thomas Vermaelen,6332.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Midfield,3,Barcelona,217,"['5e0dd71f-621c-48d4-a2c5-893a5b487feb', 'b06d9867-a01e-4808-9688-685568da3126']",44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.974,Pass,True,2017/2018
,,,,,,,,,,,,,,,,0.864653,,,,,,,,,,,,4b8f6dc8-b0cd-4073-89ea-89b3143bede4,54,,"[57.8, 15.2]",9742,0,,,,,2.0584943,,Left Foot,,,,"[51.7, 26.7]",,Ground Pass,,13.01768,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,['88d12f55-f1ec-416f-84c1-df1f362030bd'],48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.475,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.833242,,,,,,,,,,,,1e93ffb4-a965-43eb-a5b7-7d8df7121f83,57,,"[56.8, 28.4]",9742,0,,,,,-0.64419943,,Right Foot,,,,"[79.7, 11.2]",,High Pass,,28.640007,Incomplete,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Left Defensive Midfield,3,Barcelona,217,"['8a7f6c4b-a144-4b9f-8a74-61b0cd075a3c', 'c5c37baa-aa23-48bc-b6a9-c9d1e2bef482']",52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.670,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.053323,,,,,,,,,,,,8a7f6c4b-a144-4b9f-8a74-61b0cd075a3c,59,,"[40.4, 68.9]",9742,0,,,,,0.19228487,,Head,,,,"[51.7, 71.1]",,Low Pass,,11.512168,,,David Remeseiro Salgueiro,6691.0,,,,,Interception,1,Regular Play,Shaquell Moore,6806.0,Right Back,4,Levante UD,221,"['1e93ffb4-a965-43eb-a5b7-7d8df7121f83', 'a81d180c-dcb2-4b99-bda1-20cf4c7b02b0']",54,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:54.504,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.622227,,,,,,,,,,,,a1446fa8-9919-4746-9454-2da95525551a,62,,"[65.4, 72.4]",9742,0,,,,,-0.74247974,,Right Foot,,,,"[90.9, 49.0]",,High Pass,,34.60939,,,Emmanuel Okyere Boateng,6678.0,,,,,,1,Regular Play,David Remeseiro Salgueiro,6691.0,Right Midfield,4,Levante UD,221,['bd1bc521-5edd-48b4-ad7e-ca3edb800aac'],58,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:58.646,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.225654,,,,,,,,,,,,fe052c19-7c95-4331-976e-35997b899538,68,,"[120.0, 80.0]",9742,1,,,,,-1.7079663,,Right Foot,,,,"[115.5, 47.4]",,High Pass,,32.90912,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,David Remeseiro Salgueiro,6691.0,Right Midfield,5,Levante UD,221,['6a717895-af2e-4f57-91a0-8bb48202fc0d'],33,,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:33.306,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.574373,,,,,,,,,,,,56d06590-adab-4589-81f4-9aeff575a820,72,,"[94.9, 60.4]",9742,1,,,,,-0.98367167,,Right Foot,,,,"[112.4, 34.1]",,High Pass,,31.590189,Incomplete,,,,,,,,,1,From Corner,Iván López Álvarez,6780.0,Left Midfield,5,Levante UD,221,['25e16063-30fa-4429-936b-224483b1fe7e'],38,,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:38.357,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.969014,,,,,,,,,,,,c42831e1-30ec-42e8-89d1-6b195d1b2050,79,,"[6.0, 36.0]",9742,1,,True,,,0.67188174,,Right Foot,,,,"[23.1, 49.6]",,Ground Pass,,21.848799,,,Ivan Rakitić,5470.0,,,,,Goal Kick,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,6,Barcelona,217,['42bab1a1-1e79-440e-8999-459dbd6eea38'],55,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.817,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.121783,,,,,,,,,,,,8d3fe5da-f5b6-4a47-af82-c7cd1b8efdd9,81,,"[33.9, 40.4]",9742,1,,,,,1.0315831,,Right Foot,,,,"[41.2, 52.6]",,Ground Pass,,14.217243,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Goal Kick,Ivan Rakitić,5470.0,Left Defensive Midfield,6,Barcelona,217,['3549f9f4-e540-43b9-bff1-d18f078b7337'],59,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:59.561,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.97682,,,,,,,,,,,,a0e90c39-4285-4f5d-9cbf-0facdb3b290a,84,,"[49.2, 50.0]",9742,2,,,,,1.3724582,,Right Foot,,,,"[53.3, 70.4]",,Ground Pass,,20.807932,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Goal Kick,José Paulo Bezzera Maciel Júnior,5542.0,Right Defensive Midfield,6,Barcelona,217,['13301418-bd3c-45b1-a04e-f3b048b8909a'],4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.989,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.723947,,,,,,,,,,,,6f6f70f9-c3e3-48c3-ae05-3ac872c2f0d7,87,,"[55.9, 70.7]",9742,2,,,,,0.5302158,,Right Foot,,,,"[64.6, 75.8]",,Ground Pass,,10.084641,,,Ousmane Dembélé,5477.0,,,,,,1,From Goal Kick,Sergi Roberto Carnicer,6379.0,Right Back,6,Barcelona,217,['6b64de77-afa3-4711-92b1-ef6074b41e68'],7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:07.027,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.976683,,,,,,,,,,,,a7f1b07a-1c9e-4010-bfbc-0abb2d365211,90,,"[64.6, 75.8]",9742,2,,,,,-2.5227778,,Right Foot,,,,"[58.0, 71.1]",,Ground Pass,,8.1024685,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Goal Kick,Ousmane Dembélé,5477.0,Right Midfield,6,Barcelona,217,['45300ba9-901a-4acc-8f70-b41aac7c4201'],8,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:08.482,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.410196,,,,,,,,,,,,ceeee610-1197-4b4b-988e-437fe9f764dd,93,,"[57.2, 66.7]",9742,2,,,,,-1.7662551,,Right Foot,,,,"[51.3, 36.9]",,Low Pass,,30.378447,,,Ivan Rakitić,5470.0,,,,,,1,From Goal Kick,Sergi Roberto Carnicer,6379.0,Right Back,6,Barcelona,217,['5e2e07d7-d27a-4000-842e-9a2a70d98cc9'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:10.550,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.371552,,,,,,,,,,,,5094a2c7-195e-4e00-a028-6ecbc79b70e2,96,,"[51.6, 34.4]",9742,2,,,,,-1.4273441,,Right Foot,,,,"[55.5, 7.4]",,Ground Pass,,27.280212,,,Jordi Alba Ramos,5211.0,,,,,,1,From Goal Kick,Ivan Rakitić,5470.0,Left Defensive Midfield,6,Barcelona,217,['d4877a31-347b-4007-9866-11668c15cc59'],13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:13.131,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.814229,,,,,,,,,,,,9f49330d-2e3d-4b14-8912-d1e8a13e9d57,99,,"[59.9, 7.3]",9742,2,,,,,-1.0364008,,Right Foot,,,,"[62.8, 2.4]",,Ground Pass,,5.6938562,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Goal Kick,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['45177758-496b-41a7-afd2-6c58f722c042'],17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:17.317,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.898241,,,,,,,,,,,,f1afa1eb-efb9-44e1-9d27-25a77067a525,103,,"[56.7, 2.4]",9742,2,,,,,2.3944273,,Right Foot,,,,"[47.2, 11.2]",,Ground Pass,,12.949517,,,Thomas Vermaelen,6332.0,,,,,,1,From Goal Kick,Andrés Iniesta Luján,5216.0,Left Midfield,6,Barcelona,217,"['2a74ce99-7058-47e5-ab78-a56da407b2b1', '66bc1223-f58b-44c8-a045-cff6050cf175']",19,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:19.259,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.649816,,,,,,,,,,,,0e02c4dc-4488-4eb8-80bd-049f78317b33,106,,"[48.5, 17.3]",9742,2,,,,,1.5965786,,Left Foot,,,,"[47.6, 52.2]",,Ground Pass,,34.911602,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Goal Kick,Thomas Vermaelen,6332.0,Left Center Back,6,Barcelona,217,['08e899c1-4649-4f8e-85c2-41c07d6e3aa6'],21,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:21.544,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.254994,,,,,,,,,,,,bcd7dec5-46e3-43f5-96f7-090dbc4c1452,109,,"[52.0, 54.6]",9742,2,,,,,0.86332566,,Right Foot,,,,"[70.3, 76.0]",,Ground Pass,,28.157593,,,Ousmane Dembélé,5477.0,,,,,,1,From Goal Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,6,Barcelona,217,['342222de-e8af-4b99-9a39-d89e458f33db'],25,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:25.545,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.186806,,,,,,,,,,,,cd889b45-32d9-40fb-9d47-6a2f8e221789,117,,"[55.5, 11.5]",9742,2,,,,,-0.022218565,,Right Foot,,,,"[78.0, 11.0]",,Low Pass,,22.505554,Incomplete,,Antonio Manuel Luna Rodríguez,6675.0,,,,,,1,From Goal Kick,Iván López Álvarez,6780.0,Left Midfield,6,Barcelona,217,"['0ae3a1be-ae0b-4564-b542-112506a6396d', '0e7a7d29-5996-4e66-a30a-edc748272848']",30,,,,,,,,,,,,,,,,,,,Levante UD,221,00:02:30.415,Pass,,2017/2018
