ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,2.205117,,,,,,,,,,,,,b3b9d138-642d-4185-82aa-80dc235648b5,48,,,"[13.0, 31.0]",3773665,0,,,,,0.4839494,,Right Foot,,,"[20.8, 35.1]",,Ground Pass,,8.811924,,,,,Clément Lenglet,6826.0,,,,,,1,From Throw In,Marc-André ter Stegen,20055.0,Goalkeeper,5,Barcelona,217,['cac2e356-a627-4777-8da8-1b0235589e3c'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.662,Pass,,2020/2021
,,,,,,,,,,,,,2.611666,,,,,,,,,,,,,1073945e-e342-4517-85d2-93f1ed47a283,51,,,"[40.9, 38.3]",3773665,0,,,,,-1.3042932,,Left Foot,,,"[50.1, 4.6]",,Ground Pass,,34.933224,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Clément Lenglet,6826.0,Center Back,5,Barcelona,217,['c675c339-051e-45eb-b5f3-fd1d69bbcc2e'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.160,Pass,,2020/2021
,,,,,,,,,,,,,0.863742,,,,,,,,,,,,,fa60fe50-74d4-444c-9593-19125be89792,54,,,"[62.4, 8.3]",3773665,0,,,,,-0.74837804,,Right Foot,,,"[70.8, 0.5]",,Ground Pass,,11.462984,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['ff4847e0-60d5-455e-942d-037212943037'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.902,Pass,,2020/2021
,,,,,,,,,,,,,1.201677,,,,,,,,,,,,,31a6daad-b190-4820-ac27-7310f7f17fd8,58,,,"[69.6, 0.5]",3773665,0,,,,,2.5295773,,Right Foot,,,"[59.2, 7.8]",,Ground Pass,,12.706298,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Wing Back,5,Barcelona,217,"['64b1a087-e2ea-4709-ac91-1c2fc0accc5c', 'ec2e7d7b-f496-494e-9e50-1fa5ad80f4e0']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.846,Pass,True,2020/2021
,,,,,,,,,,,,,1.51247,,,,,,,,,,,,,e4beae23-8107-44c6-aa7f-8889655ea714,61,,,"[57.7, 9.9]",3773665,0,,,,,2.3109293,,Left Foot,,,"[44.0, 24.9]",,Ground Pass,,20.314774,,,,,Clément Lenglet,6826.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['928025ef-24a8-4252-8934-680810efc95e'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.357,Pass,,2020/2021
,,,,,,,,,,,,,0.854704,,,,,,,,,,,,,5c7d349a-8f4e-48e8-a00e-33bb8d9945b5,64,,,"[51.3, 30.2]",3773665,0,,,,,0.37185606,,Left Foot,,,"[71.3, 38.0]",,Low Pass,,21.467184,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Clément Lenglet,6826.0,Center Back,5,Barcelona,217,['676edd17-7b07-4369-a6f4-56532612d0b8'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.903,Pass,,2020/2021
,,,,,,,,,,,,,0.858413,,,,,,,,,,,,,32309fed-8e57-47ef-b076-cf40872f178d,66,,,"[72.3, 38.3]",3773665,0,,,,,-0.7140907,,Right Foot,,,"[78.3, 33.1]",,Low Pass,,7.939773,,,Incomplete,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,5,Barcelona,217,"['405774be-4c5e-49cd-b818-32750d640a79', 'ebc6b53a-eb12-4e43-a394-3c5e5d1207a7']",54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.758,Pass,,2020/2021
,,,,,,,,,,,,,2.395368,,,,,,,,,,,,,ebc6b53a-eb12-4e43-a394-3c5e5d1207a7,68,,,"[41.8, 47.0]",3773665,0,,,,,-0.5089087,,Left Foot,,,"[74.6, 28.7]",,High Pass,,37.559685,,,Incomplete,,Jonathan Calleri,6930.0,,,,,Recovery,1,From Throw In,Aridane Hernández Umpiérrez,24212.0,Right Center Back,5,Barcelona,217,"['2f12cac9-2b74-42ac-84f1-b98554eab9bf', '32309fed-8e57-47ef-b076-cf40872f178d', '66128420-62ee-43c6-801b-64041ca88276']",55,,,,,,,,,,,,,,,,,Osasuna,422,00:00:55.616,Pass,,2020/2021
,,,,,,,,,,,,,1.333305,,,,,,,,,,,,,2f12cac9-2b74-42ac-84f1-b98554eab9bf,70,,,"[45.5, 51.4]",3773665,0,,,,,-1.9325255,,Right Foot,,,"[39.9, 36.6]",,Low Pass,,15.824033,,,,,Clément Lenglet,6826.0,,,,,Recovery,1,From Throw In,Óscar Mingueza García,43728.0,Right Center Back,5,Barcelona,217,"['d06bf5e4-590f-47ab-b4a5-97c8d4c59a77', 'ebc6b53a-eb12-4e43-a394-3c5e5d1207a7']",58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.012,Pass,,2020/2021
,,,,,,,,,,,,,1.415265,,,,,,,,,,,,,0ffff53b-f6b2-4762-93e0-8df384a2c1d4,74,,,"[35.4, 33.3]",3773665,1,,,,,-1.219039,,Left Foot,,,"[42.3, 14.5]",,Ground Pass,,20.026234,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Clément Lenglet,6826.0,Center Back,5,Barcelona,217,['4735d4ae-67e8-467c-8099-3233996bd7a4'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.060,Pass,,2020/2021
,,,,,,,,,,,,,2.16973,,,,,,,,,,,,,c1f28876-ab14-4883-b4b8-28522fecaa0f,77,,,"[49.3, 8.1]",3773665,1,,,,,0.20528598,,Left Foot,,,"[85.8, 15.7]",,High Pass,,37.282837,,,,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['4d549c6d-dd46-4af5-8aa3-b25e8534076e'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.807,Pass,,2020/2021
,,,,,,,,,,,,,1.093886,,,,,,,,,,,,,81a29d3b-a7c6-48e8-97c6-b2832ee84add,80,,,"[89.9, 11.0]",3773665,1,,,,,-1.9494474,,Left Foot,,,"[86.2, 1.7]",,Ground Pass,,10.008996,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Left Center Forward,5,Barcelona,217,['cbee61ce-06ae-49ff-997d-c1df614a42a4'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.854,Pass,,2020/2021
,,,,,,,,,,,,,1.087202,,,,,,,,,,,,,5d60a064-96ba-4740-beea-8bbf363372f0,83,,,"[93.4, 3.4]",3773665,1,,,,,-0.34302393,,Left Foot,,,"[100.4, 0.9]",,Ground Pass,,7.4330344,,,,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Wing Back,5,Barcelona,217,['75b0acd2-681e-452e-a8b2-f9143bc5e98e'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.520,Pass,,2020/2021
