ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.793439,,,,,,,,,,,,,6ed2a18c-245a-4655-be3c-1aeb99ed1025,52,,"[68.2, 53.2]",267576,0,,,,,1.4410938,,Right Foot,,,"[71.2, 76.2]",,Ground Pass,,23.194826,,,,Juan Francisco Torres Belén,6375.0,,,,,,1,Regular Play,Augusto Matías Fernández,19668.0,Left Defensive Midfield,3,Atlético Madrid,212,['6c3fddd2-e0f2-4753-9ce4-21aa9b5479b4'],37,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:37.316,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.0879,,,,,,,,,,,,,7161d09c-4dff-43c5-bbfd-ee12c4603b5e,55,,"[71.8, 76.0]",267576,0,,,,,-0.8235476,,Right Foot,,,"[84.4, 62.4]",,Ground Pass,,18.539688,,,,Antoine Griezmann,5487.0,,,,,,1,Regular Play,Juan Francisco Torres Belén,6375.0,Right Back,3,Atlético Madrid,212,['68507708-a70f-4e81-bf9a-c7b532aa9054'],39,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:39.799,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.597686,,,,,,,,,,,,,77caf732-e127-4513-b685-8fe36b09613e,58,,"[81.1, 67.9]",267576,0,,,,,1.0148194,,Right Foot,,,"[87.5, 78.2]",,Ground Pass,,12.126417,,,,Gabriel Fernández Arenas,6384.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Right Center Forward,3,Atlético Madrid,212,['324d7fab-ee81-40f5-9d82-3ac45ed6fde5'],41,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:41.941,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.8828,,,,,,,,,,,,,3c05935f-63e3-4a72-bfad-868d3682c3e7,61,,"[87.9, 78.2]",267576,0,,,,,-1.4324454,,Right Foot,,,"[89.0, 70.3]",,Ground Pass,,7.9762144,,,,Antoine Griezmann,5487.0,,,,,,1,Regular Play,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,3,Atlético Madrid,212,['e8d78cb9-7d36-4ef0-b2ed-79e569f78953'],42,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:42.579,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.3885,,,,,,,,,,,,,7080cff1-45c6-4c30-b2f1-ee7ac78559e5,65,,"[95.6, 78.2]",267576,0,,,,,-3.0548544,,Left Foot,,,"[93.3, 78.0]",,Ground Pass,,2.3086793,,Incomplete,,Gabriel Fernández Arenas,6384.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Right Center Forward,3,Atlético Madrid,212,"['7c004158-73cd-4b48-b359-ce50add66894', '9af65082-2f7b-4ba1-9c3a-f831dd75a704', 'c71270f7-b1b1-4cdc-b9b2-bc7c7ced332c']",44,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:44.893,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.5248,,,,,,,,,,,,,298e40d1-83c2-46bf-8c4f-60431de22f12,68,,"[106.3, 80.0]",267576,0,,,,,-1.5604874,,,,,"[106.5, 60.6]",,High Pass,,19.401031,,,,Yannick Ferreira Carrasco,5633.0,,,,,Throw-in,1,From Throw In,Juan Francisco Torres Belén,6375.0,Right Back,4,Atlético Madrid,212,['4b033264-8ab8-4f43-a8af-7f8a542df56a'],58,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:58.396,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.4023,,,,,,,,,,,,,51568ca3-3eb4-43ea-a25d-fb3948ca4c95,70,,"[106.5, 60.6]",267576,0,,,,,-2.029613,,Head,,,"[102.4, 52.3]",,Low Pass,,9.257429,,,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Yannick Ferreira Carrasco,5633.0,Left Center Forward,4,Atlético Madrid,212,['65f5d052-d132-4c40-a230-cbaa0987ae57'],59,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:59.961,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.50451,,,,,,,,,,,,,44d6a0eb-6650-462a-8c2a-1277e5ba4846,73,,"[102.2, 52.1]",267576,1,,,,True,2.410686,,,,,"[99.3, 54.7]",,High Pass,,3.8948684,,,,Yannick Ferreira Carrasco,5633.0,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Right Center Forward,4,Atlético Madrid,212,"['eb5cb2d2-3b42-4ea5-b625-8f4f0af81afa', 'f941e85c-3200-46cb-b06f-ccfa50d062cf']",1,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:01.363,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.08014,,,,,,,,,,,,,b73bc0a8-d47b-4581-a95f-cf356dc4432b,78,,"[77.9, 48.6]",267576,1,,,,,0.6395872,,Left Foot,,,"[86.1, 54.7]",,Low Pass,,10.220078,,,,Augusto Matías Fernández,19668.0,,,,,Recovery,1,From Throw In,Diego Roberto Godín Leal,5249.0,Left Center Back,4,Atlético Madrid,212,['8e203fca-36cd-4996-a2c9-ef5440ce661c'],5,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:05.267,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.4448,,,,,,,,,,,,,c904b0a6-088d-496b-b1da-28a3ebc86950,84,,"[81.5, 55.2]",267576,1,,,,,-0.85283387,,Right Foot,,,"[102.9, 30.7]",,High Pass,,32.53014,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,5,Atlético Madrid,212,['788fe940-568c-4ccb-87ed-51a655325444'],41,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:41.832,Pass,,2015/2016
