ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.2005,,,,,,,,,,,,,579674a0-7f7f-48d7-9bc8-3115ba5ceaa6,139,,"[3.7, 12.6]",69331,2,,,,,0.066568166,,Left Foot,,,,"[6.7, 12.8]",,High Pass,,3.0066593,,Incomplete,,,,,,,,,1,From Corner,Javier Paredes Arango,26429.0,Left Back,6,Barcelona,217,['3ce22214-0d1f-4e3a-935c-c11b523090c0'],40,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:02:40.571,Pass,,2011/2012
,,,,,,,,,,,,,,1.1036,,,,,,,,,,,,,1c4355d0-da5d-4043-bbcf-52412a270889,147,,"[82.1, 75.2]",69331,2,,,,,3.039013,,Right Foot,,,,"[68.5, 76.6]",,Ground Pass,,13.671869,,,,Daniel Alves da Silva,4324.0,,,,,Recovery,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,['0f430d69-be04-4c9d-9962-4353d2c6ea8c'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:45.863,Pass,,2011/2012
,,,,,,,,,,,,,,1.576001,,,,,,,,,,,,,540abf62-ff92-4597-bbed-d91ecfa43b8e,150,,"[64.9, 76.6]",69331,2,,,,,-1.8692952,,Right Foot,,,,"[56.9, 50.6]",,Ground Pass,,27.202942,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Corner,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['96463bcd-45da-4d5f-b14c-4e739bd3512c'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:47.960,Pass,,2011/2012
,,,,,,,,,,,,,,2.22864,,,,,,,,,,,,,bc7f972d-b09e-406d-afb2-8f4c25c348ff,153,,"[64.7, 40.8]",69331,2,,,,,-1.1825804,,Left Foot,,,,"[80.2, 2.9]",,Ground Pass,,40.94704,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,From Corner,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,6,Barcelona,217,['4fd4a6e4-3923-4294-a05d-345f18d75fb8'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:52.351,Pass,,2011/2012
,,,,,,,,,,,,,,1.2569,,,,,,,,,,,,,e0e5da97-a30d-423a-804e-5abfe07ed42f,157,,"[76.1, 7.1]",69331,2,,,,,2.1662061,,Right Foot,,,,"[69.8, 16.4]",,Ground Pass,,11.232987,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Corner,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,6,Barcelona,217,['a333519c-c625-4196-93b8-02c3d5ad49ab'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:56.456,Pass,,2011/2012
,,,,,,,,,,,,,,2.614917,,,,,,,,,,,,,111be6e0-da96-464e-a2e8-8010495efc73,160,,"[70.2, 20.3]",69331,2,,,,,1.5052652,,Left Foot,,,,"[72.3, 52.3]",,Ground Pass,,32.068832,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Corner,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,6,Barcelona,217,['cf39f89d-2349-4e11-a7e8-6b021e48d6f5'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:59.917,Pass,,2011/2012
,,,,,,,,,,,,,,0.866942,,,,,,,,,,,,,c3fb5b8f-8df5-45d4-9fcd-c4343916e9f4,163,,"[68.3, 69.9]",69331,3,,,,,-1.2782973,,Right Foot,,,,"[73.6, 52.3]",,Ground Pass,,18.380697,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Corner,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['85b88827-a15f-4216-b677-abc520f5747b'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:02.893,Pass,,2011/2012
,,,,,,,,,,,,,,0.9633,,,,,,,,,,,,,7055fff0-80ac-491d-8f5b-25b8d1e81a23,166,,"[76.8, 62.2]",69331,3,,,,,0.9700825,,Right Foot,,,,"[84.2, 73.0]",,Ground Pass,,13.091982,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,['a417a706-c249-4b61-a70f-fa4cd58113de'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:05.468,Pass,,2011/2012
,,,,,,,,,,,,,,0.767798,,,,,,,,,,,,,20c11172-d5a8-4305-879e-b3a2e65f56f0,169,,"[83.1, 72.4]",69331,3,,,,,3.0742788,,Left Foot,,,,"[74.2, 73.0]",,Ground Pass,,8.920202,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,6,Barcelona,217,"['0a5626f1-140a-4032-9d70-1c2807b4305c', '467d746b-f1e2-42b6-88bf-640b26369376']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:06.431,Pass,True,2011/2012
,,,,,,,,,,,,,,0.623977,,,,,,,,,,,,,7fd94948-15d0-407b-80b5-b047d263f3f4,175,,"[29.4, 16.9]",69331,3,,,,,-1.6295521,,Right Foot,,,,"[29.0, 10.1]",,Ground Pass,,6.8117547,,,,Juan Carlos Pérez López,6559.0,,,,,Recovery,1,Regular Play,David Mateos Ramajo,26798.0,Left Center Back,7,Real Zaragoza,395,['f1603145-7bf8-43ce-8e1b-c2f36b6f8b48'],11,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:03:11.483,Pass,,2011/2012
