ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,"[62.7, 26.5]",,,,,,,,,,,2.5026,,,,,,,,,,,,,f09564d4-0001-4d35-b0ea-772f49723c79,398,,"[52.8, 23.3]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,22,Barcelona,217,"['d9abe5b2-25c2-4db9-993d-6a52492844c9', 'dd75d63e-f635-432f-807e-e85c53348749']",52,,,,,,,,,,,,,,,,Barcelona,217,00:10:52.542,Carry,,2008/2009
,,,,"[71.6, 5.8]",,,,,,,,,,,2.721776,,,,,,,,,,,,,cfa688ca-a3e1-4cf5-9744-7e778a6f57dc,401,,"[67.7, 16.6]",69273,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Seydou Kéita,20169.0,Right Center Midfield,22,Barcelona,217,"['57dd2c95-fe55-48d0-a4dd-5df38d704a8a', 'af0f5274-52da-4ac5-85a7-e78aea15edd8']",55,,,,,,,,,,,,,,,,Barcelona,217,00:10:55.727,Carry,,2008/2009
,,,,"[50.6, 8.2]",,,,,,,,,,,0.07191,,,,,,,,,,,,,99c1eee7-4340-4e22-ab92-5edf48eda99d,404,,"[50.6, 8.2]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sylvio Mendes Campos Junior,25854.0,Left Back,22,Barcelona,217,"['1ea81841-f4e3-4fd2-8e54-c4b46cff9c3b', 'b7fb8273-7b88-4321-a015-c660e39ad005']",0,,,,,,,,,,,,,,,,Barcelona,217,00:11:00.006,Carry,,2008/2009
,,,,"[50.2, 27.7]",,,,,,,,,,,3.506874,,,,,,,,,,,,,98566c8f-ec86-420a-bf24-c85cf95b303a,407,,"[37.1, 20.7]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,22,Barcelona,217,"['5728caf7-42ac-4dad-8328-fce67f8ba7dc', '635102ca-3fb9-455d-8fdc-700845700904', '98269a0f-f8d6-4df9-b5f1-01148d1c095e']",1,,,,,,,,,,,,,,,,Barcelona,217,00:11:01.182,Carry,True,2008/2009
,,,,"[73.3, 35.7]",,,,,,,,,,,2.172259,,,,,,,,,,,,,b8b754a0-8293-45a3-8dce-76274a2c038b,411,,"[66.1, 36.6]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,22,Barcelona,217,"['53d7f3ca-7389-44b1-94ea-3597f2fff15a', '74e4fa9b-561d-4875-a0fa-af96a3d3a10d']",5,,,,,,,,,,,,,,,,Barcelona,217,00:11:05.411,Carry,,2008/2009
,,,,"[83.2, 54.2]",,,,,,,,,,,4.54754,,,,,,,,,,,,,0dda6bcd-3fb4-41dd-867d-a4338c7f0ae1,414,,"[68.9, 59.3]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Seydou Kéita,20169.0,Right Center Midfield,22,Barcelona,217,"['587ea9f3-ab89-4ada-8d87-f61e6ba9c00a', 'db0ef719-eb05-4132-b140-2c9a6c36d881']",8,,,,,,,,,,,,,,,,Barcelona,217,00:11:08.745,Carry,,2008/2009
,,,,"[92.4, 49.6]",,,,,,,,,,,1.486129,,,,,,,,,,,,,e1a461bc-628c-4b88-8025-12c6d8e02eaf,417,,"[92.3, 43.3]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Wing,22,Barcelona,217,"['2de3a0a2-5f62-4fa6-9fc4-1fb4555611ce', '322f2721-02f9-4cca-b6a2-957e6de5d229']",13,,,,,,,,,,,,,,,,Barcelona,217,00:11:13.854,Carry,,2008/2009
,,,,"[114.8, 54.1]",,,,,,,,,,,2.809184,,,,,,,,,,,,,f2075281-6f3e-4603-9e3c-7768817a6531,420,,"[110.0, 66.0]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,22,Barcelona,217,"['d7043ed5-e087-4e96-aaf8-ed584c990f5a', 'e9ed488d-be7b-4665-88b5-51f27bf18b98', 'fe06ef51-cbd4-46a7-851d-1f1b0c400dcf']",17,,,,,,,,,,,,,,,,Barcelona,217,00:11:17.259,Carry,True,2008/2009
,,,,"[119.1, 70.1]",,,,,,,,,,,0.25635,,,,,,,,,,,,,ad87dde6-cea7-474a-b6a4-1255b91241f1,426,,"[119.1, 70.1]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,23,Barcelona,217,"['2ddb7172-ca2d-42c3-9669-6a2985984ef4', '40d20704-34a1-4376-99dd-0b4976b2aed4']",39,,,,,,,,,,,,,,,,Barcelona,217,00:11:39.036,Carry,,2008/2009
,,,,"[113.1, 74.8]",,,,,,,,,,,0.005908001,,,,,,,,,,,,,f5b6c958-0703-410b-93ad-8ffca1619efd,429,,"[112.9, 74.7]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Xavier Hernández Creus,20131.0,Left Center Midfield,23,Barcelona,217,"['178fc737-d6a2-46b5-8165-41ee77bd2a97', '538e448b-fe5e-47f7-b0b5-202064cbbdad']",41,,,,,,,,,,,,,,,,Barcelona,217,00:11:41.007,Carry,,2008/2009
,,,,"[97.7, 54.5]",,,,,,,,,,,0.341538,,,,,,,,,,,,,253e720f-de72-4d0f-8b24-d3f3ea6a0835,432,,"[97.7, 54.5]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Andrés Iniesta Luján,5216.0,Left Wing,23,Barcelona,217,"['3b8dc8bf-2d83-4433-94e8-2ded27dfbb89', 'c782d6c6-b5d9-44f6-a49a-2025bbd883c1']",42,,,,,,,,,,,,,,,,Barcelona,217,00:11:42.039,Carry,,2008/2009
,,,,"[27.6, 25.6]",,,,,,,,,,,0.5091,,,,,,,,,,,,,008a71b0-1174-4948-b5fa-f54d2865dfdd,438,,"[27.7, 25.8]",69273,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Borja Fernández Fernández,11294.0,Left Defensive Midfield,24,Real Valladolid,901,"['60378263-4c5a-4c24-905e-f9aa19fb7593', '60932a96-f996-4c04-916d-7937b1e28857']",45,,,,,,,,,,,,,,,,Real Valladolid,901,00:11:45.954,Carry,,2008/2009
,,,,"[106.6, 3.3]",,,,,,,,,,,1.6183,,,,,,,,,,,,,bd530031-bda7-4481-a536-16ecbc41394d,447,,"[96.4, 1.7]",69273,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Álvaro Rubio Robles,26190.0,Right Defensive Midfield,25,Real Valladolid,901,"['d1b7e686-a8a1-4add-a8e8-53e0a94c04c0', 'd4ccda14-7a5b-4f90-b6bf-08e0145dc0ba']",14,,,,,,,,,,,,,,,,Real Valladolid,901,00:12:14.042,Carry,,2008/2009
,,,,"[72.3, 22.9]",,,,,,,,,,,1.191343,,,,,,,,,,,,,7fb4a345-17e9-4f40-88ca-7af137743a93,451,,"[72.3, 22.9]",69273,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Seydou Kéita,20169.0,Right Center Midfield,26,Barcelona,217,"['b374ab0e-b932-4b21-b4ea-6f4a5c680078', 'fa00865d-6d7c-45b9-8d13-658c33c3b175']",45,,,,,,,,,,,,,,,,Barcelona,217,00:12:45.741,Carry,,2008/2009
