bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.115186,,,,,,,,,,,,,,3096ece0-e451-4883-92f6-d72acbdff343,57,,,"[23.0, 63.0]",16275,1,,,,,0.8519663,,Right Foot,,,"[37.0, 79.0]",,Ground Pass,21.260292,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['07f9e92f-24b4-422d-bde8-23c107381a9a'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.485,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.07331,,,,,,,,,,,,,,53e40c6e-6eb7-4933-b2c1-451844fb4528,60,,,"[45.0, 77.0]",16275,1,,,,,-1.5707964,,Right Foot,,,"[45.0, 69.0]",,Ground Pass,8.0,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,6,Barcelona,217,['2a9199a7-822a-4267-85ec-ca316782a343'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.684,Pass,,2018/2019
,,,,,,,,,,,,,,,,3.0175,,,,,,,,,,,,,,679c47ff-c4fd-4933-9e77-888d9a151aa7,63,,,"[48.0, 64.0]",16275,1,,,,,-1.536911,,Right Foot,,,"[50.0, 5.0]",,High Pass,59.03389,,,,,Sergi Roberto Carnicer,6379.0,,True,,,,1,From Throw In,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,6,Barcelona,217,['f3beb267-1435-4d79-86e7-da8ff0f5ae04'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.511,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.9492,,,,,,,,,,,,,,84fe33a6-7706-44ed-bf3c-4f32594349e6,67,,,"[54.0, 7.0]",16275,1,,,,,1.3734008,,Right Foot,,,"[56.0, 17.0]",,Ground Pass,10.198039,,,,,Carles Aleña Castillo,13599.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Left Back,6,Barcelona,217,['670dc5b2-3ff3-4dc8-9e1d-c7a9707d763d'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.789,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.7635,,,,,,,,,,,,,,8135e607-cb3e-4d77-bcd8-5155a6f253f3,71,,,"[55.0, 17.0]",16275,1,,,,,-2.1112158,,Left Foot,,,"[49.0, 7.0]",,Ground Pass,11.661903,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Carles Aleña Castillo,13599.0,Left Center Midfield,6,Barcelona,217,"['21b3d414-6462-4ee2-af01-ae706084be29', '58ef3338-fce4-4f91-a8f5-9e6acde1d03e']",21,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.778,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.5265,,,,,,,,,,,,,,47b76274-6de1-486c-a625-326c953001fe,73,,,"[49.0, 7.0]",16275,1,,,,,2.5393052,,Right Foot,,,"[33.0, 18.0]",,Ground Pass,19.416489,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Left Back,6,Barcelona,217,['09e111ae-269a-4b2c-acca-e5b0a0cea779'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.541,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.532942,,,,,,,,,,,,,,51a19b7e-ba07-414a-848f-85d11fbe9730,76,,,"[51.0, 17.0]",16275,1,,,,,-0.7853982,,Right Foot,,,"[64.0, 4.0]",,Ground Pass,18.384777,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,6,Barcelona,217,['2f02a313-ccf5-42d1-b028-f7d949f9ade1'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.753,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.235332,,,,,,,,,,,,,,2abe60c0-0b92-4322-be1a-94f842cb1fb4,80,,,"[63.0, 6.0]",16275,1,,,,,0.71883,,Right Foot,,,"[71.0, 13.0]",,Ground Pass,10.630146,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Left Back,6,Barcelona,217,"['11ad2e6a-b2bb-4aa7-bb89-e7553e3d5a2a', '8ae514a4-67b1-40c6-87a8-fec29faee3cf']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.632,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.0461,,,,,,,,,,,,,,1cdf14dd-e4a9-4d16-8833-f8d618152273,84,,,"[66.0, 12.0]",16275,1,,,,,2.9441972,,Right Foot,,,"[51.0, 15.0]",,Ground Pass,15.297058,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,6,Barcelona,217,['a18fc401-3d13-4e4d-9ae4-2ac39a9b27f0'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.816,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.8361,,,,,,,,,,,,,,5d1d76ff-7904-42d4-a3d8-0080e4994660,87,,,"[57.0, 19.0]",16275,1,,,,,1.7257931,,Left Foot,,,"[52.0, 51.0]",,Ground Pass,32.38827,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,6,Barcelona,217,['cdb3aa81-fd42-494b-bd8a-cc5a2365e04b'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.525,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.1093,,,,,,,,,,,,,,410fb8ef-8c39-4c5a-9648-da9c88d632e0,90,,,"[65.0, 56.0]",16275,1,,,,,1.1722739,,Right Foot,,,"[73.0, 75.0]",,Ground Pass,20.615528,,,,,Ousmane Dembélé,5477.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['f37ab43e-be47-4f11-9524-aa8b6454f5ab'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.119,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.6436,,,,,,,,,,,,,,f8f1a8aa-f476-49df-9c2b-b64d17d02187,93,,,"[79.0, 66.0]",16275,1,,,,,-1.7126933,,Left Foot,,,"[78.0, 59.0]",,Ground Pass,7.071068,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Right Wing,6,Barcelona,217,['7a9cc7ca-a837-4b00-b193-a64b8b519b50'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.218,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.8068,,,,,,,,,,,,,,80d2f1de-1226-4304-ae22-eae5c440c66f,97,,,"[78.0, 60.0]",16275,1,,,,,1.815775,,Right Foot,,,"[77.0, 64.0]",,Ground Pass,4.1231055,,,,,Ousmane Dembélé,5477.0,,,,,,1,From Throw In,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,6,Barcelona,217,"['45237571-b258-49cc-9a35-1a8b287fb697', 'f7afcd0e-eed8-4d80-89ff-666f249b40a0']",48,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.289,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.113295,,,,,,,,,,,,,,3b4e5d02-77f3-459f-874e-8fa56dc675c4,101,,,"[73.0, 66.0]",16275,1,,,,,1.2490457,,Left Foot,,,"[77.0, 78.0]",,Ground Pass,12.649111,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Right Wing,6,Barcelona,217,"['156c83bc-88b6-43cd-bef7-90f6f18567e0', 'b8b182a4-3662-43e7-bc24-6cde90ecfd29']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.564,Pass,True,2018/2019
