bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.368305,,,,,,,,,,,,,be2933d3-fe70-42e5-a629-06a7cd93c8c0,48,,"[63.8, 9.4]",69295,0,,,,,-0.45163617,,Left Foot,,"[77.2, 2.9]",,Ground Pass,,14.893287,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,['b98cb948-78a6-4a75-a051-d00f248a15f9'],48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.720,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.051664,,,,,,,,,,,,,d16f12e5-9aea-44b4-8f2f-c73c22e28202,52,,"[84.0, 5.2]",69295,0,,,,,-0.38050637,,Right Foot,,"[91.5, 2.2]",,Ground Pass,,8.077747,,,David Villa Sánchez,12737.0,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,3,Barcelona,217,"['499782da-43b7-4367-9f84-f987f53fff6e', 'f0d6b896-b57e-49c1-a3d2-e37611f05530']",52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.019,Pass,True,2010/2011
,,,,,,,,,,,,,,,,1.594524,,,,,,,,,,,,,b2cf977f-b998-4381-893a-3e34475e405f,55,,"[90.7, 2.2]",69295,0,,,,,3.034095,,Right Foot,,"[76.8, 3.7]",,Ground Pass,,13.980701,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,3,Barcelona,217,['dc2ed6fd-0bb9-4cf1-bcd6-7738895472ac'],54,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.434,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.0029,,,,,,,,,,,,,41ab7e43-7639-484a-8ff7-fa438a9e5917,58,,"[76.2, 5.6]",69295,0,,,,,1.3981148,,Right Foot,,"[77.7, 14.2]",,Ground Pass,,8.729834,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,['fbdc14fb-5db2-42cd-9aff-d8e8052173c3'],56,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.669,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.237677,,,,,,,,,,,,,f1993b08-0086-4c40-99e5-c42f0d7a7ca5,62,,"[82.1, 9.8]",69295,0,,,,,-1.0487047,,Left Foot,,"[86.3, 2.5]",,Ground Pass,,8.421995,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,['2446f60a-7420-4f6b-ab12-b575d091be76'],59,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.480,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.715933,,,,,,,,,,,,,50774e93-3b4a-49e9-8fae-bfc99153e43a,65,,"[84.0, 4.1]",69295,1,,,,,0.48193824,,Left Foot,,"[90.5, 7.5]",,Ground Pass,,7.33553,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,3,Barcelona,217,['cc9e5b3d-98ad-457b-815d-6f92dd6a6279'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.461,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.7543,,,,,,,,,,,,,918791ef-4ecc-4a03-94f7-21b2b28fc5ce,69,,"[91.3, 5.6]",69295,1,,,,,-0.75976276,,Right Foot,,"[95.3, 1.8]",,Ground Pass,,5.517246,,,David Villa Sánchez,12737.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,"['0921d3d0-f00b-4d13-8f95-8f5d6c25400d', '6dfb8811-6306-4028-9c63-8e74169af709']",3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.499,Pass,True,2010/2011
,,,,,,,,,,,,,,,,2.871117,,,,,,,,,,,,,dd6745db-a084-45ac-bb4d-3c7e3770d629,72,,"[96.6, 1.8]",69295,1,,,,,0.3503142,,Right Foot,,"[117.4, 9.4]",,Ground Pass,,22.144978,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,3,Barcelona,217,['dbd8a136-d9d9-44fb-b88f-cfbd566608d1'],4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.406,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.286601,,,,,,,,,,,,,fefa8a9c-2926-472a-90a6-be2a2bd7398d,78,,"[120.0, 1.0]",69295,1,,,,,2.7564352,,Right Foot,,"[116.3, 2.5]",,Ground Pass,,3.992493,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['49bd10db-47c1-486c-bcc4-25cfd70c4018'],20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.054,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.522556,,,,,,,,,,,,,f781354f-796c-45e0-8616-a8427e496b42,81,,"[111.7, 2.5]",69295,1,,,,,2.819842,,Left Foot,,"[96.1, 7.7]",,Ground Pass,,16.443844,,,Xavier Hernández Creus,20131.0,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,4,Barcelona,217,['cfbfc2ee-b2c4-4948-a3ab-125154c8b332'],22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.707,Pass,,2010/2011
