ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.161892,,,,,,,,,,,,,,,fb742e97-3b46-4faa-adec-10e5e1d87513,63,,"[104.2, 1.9]",68320,0,,,,3.0596867,,Left Foot,,,,"[77.4, 4.1]",,High Pass,,26.890146,,,,Thiago Motta,4325.0,,,,,,,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['d0b33649-e281-4299-933d-3a9a09addbae'],53,,,,,,,,,,,,,,,Barcelona,217,00:00:53.915,Pass,,2005/2006
,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,c30e616e-08d7-407e-9df4-3697ee6b115a,74,,"[116.5, 8.5]",68320,1,,,,1.989939,11a23942-83b3-4433-a36e-65eada9e9ee8,Left Foot,,True,,"[107.5, 28.7]",,Low Pass,,22.114248,,,,Anderson Luís de Souza,19757.0,True,,,,,,1,From Throw In,Thiago Motta,4325.0,Right Center Midfield,4,Barcelona,217,['886a28ee-c36d-4956-8255-7675d0bd5cc2'],5,,,,,,,,,,,,,,,Barcelona,217,00:01:05.476,Pass,,2005/2006
,,,,,,,,,,,,,,,0.4023,,,,,,,,,,,,,,,a114aa4a-aa67-4d42-aa34-7ca4152b1577,79,,"[120.0, 1.0]",68320,1,,,,1.7553391,,Right Foot,,,,"[118.6, 8.5]",,High Pass,True,7.6295476,,Incomplete,,,,,,,Inswinging,,Corner,1,From Corner,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,['fee44dad-29d6-476d-ad31-d4057bd5b1dc'],27,,,,,,,,,,,,,,,Barcelona,217,00:01:27.490,Pass,,2005/2006
,,,,,,,,,,,,,,,1.2452,,,,,,,,,,,,,,,698bf674-946f-4237-95b8-b05b429c770e,81,,"[120.0, 1.0]",68320,1,,,,1.6661348,,Right Foot,,,,"[116.5, 37.6]",,High Pass,True,36.766968,,Incomplete,,Samuel Eto''o Fils,19298.0,,,,Inswinging,,Corner,1,From Corner,Ronaldo de Assis Moreira,25879.0,Left Wing,6,Barcelona,217,"['424c036d-4adb-4d39-9391-7f158f0514af', 'c869d3a8-18d8-486d-a4db-806b327c3f66']",44,,,,,,,,,,,,,,,Barcelona,217,00:01:44.366,Pass,,2005/2006
,,,,,,,,,,,,,,,2.194454,,,,,,,,,,,,,,,5bd5a6d1-b0f1-4f8e-91af-686fd8f85c2c,84,,"[107.5, 12.1]",68320,1,,,,-2.5509722,,Head,,,,"[89.9, 0.3]",,Low Pass,,21.189621,,Out,,,,,,,,,Recovery,1,From Corner,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,6,Barcelona,217,,47,,,,,,,,,,,,,,,Barcelona,217,00:01:47.268,Pass,,2005/2006
,,,,,,,,,,,,,,,1.5701,,,,,,,,,,,,,,,2fbbc345-5388-4e2e-9f17-5ae30320892e,85,,"[36.1, 80.0]",68320,1,,,,-1.8263454,,,,,,"[33.2, 68.9]",,High Pass,,11.472576,,,,Marcos Antonio Senna da Silva,20135.0,,,,,,Throw-in,1,From Throw In,Javier Rodríguez Venta,25937.0,Right Back,7,Villarreal,222,['645a3c03-cba0-4ef9-98f5-75b4bfad33e4'],53,,,,,,,,,,,,,,,Villarreal,222,00:01:53.085,Pass,,2005/2006
,,,,,,,,,,,,,,,0.930052,,,,,,,,,,,,,,,05821da4-fe1e-428c-b4fb-1091c7058b74,88,,"[33.2, 68.9]",68320,1,,,,1.2341216,,Right Foot,,,,"[36.7, 78.9]",,Low Pass,,10.5948105,,,,Javier Rodríguez Venta,25937.0,,,,,,,1,From Throw In,Marcos Antonio Senna da Silva,20135.0,Left Center Midfield,7,Villarreal,222,['42c05d2d-a843-4d24-ac12-30e5adb8ff37'],54,,,,,,,,,,,,,,,Villarreal,222,00:01:54.735,Pass,,2005/2006
,,,,,,,,,,,,,,,0.327773,,,,,,,,,,,,,,,fbc2c6d2-bde7-4494-8833-8dfda42815ba,91,,"[36.7, 78.9]",68320,1,,,,-0.6932231,,Right Foot,,,,"[43.2, 73.5]",,Ground Pass,,8.450444,,,,Juan Román Riquelme,25934.0,,,,,,,1,From Throw In,Javier Rodríguez Venta,25937.0,Right Back,7,Villarreal,222,['8c73cae5-4d02-4e56-ade9-2027e32e280c'],57,,,,,,,,,,,,,,,Villarreal,222,00:01:57.750,Pass,,2005/2006
,,,,,,,,,,,,,,,3.958843,,,,,,,,,,,,,,,7188b27d-19a1-4977-8bbd-9f3223e1262f,95,,"[50.8, 75.9]",68320,1,,,,-0.31676996,,Right Foot,,,,"[105.1, 58.1]",,Low Pass,,57.143066,,Incomplete,,,,,,,,,,1,From Throw In,Juan Román Riquelme,25934.0,Right Wing,7,Villarreal,222,['1475e246-24ea-45ff-998a-03ba8e00a3e4'],59,,,,,,,,,,,,,,,Villarreal,222,00:01:59.778,Pass,,2005/2006
,,,,,,,,,,,,,,,2.1771,,,,,,,,,,,,,,,4bf7ed82-86a4-4af3-9016-236a811ab1ac,98,,"[22.4, 41.7]",68320,2,,,,-0.5651494,,Right Foot,,,,"[63.4, 15.7]",,High Pass,,48.548943,,Incomplete,,,,,,,,,,1,From Throw In,Víctor Valdés Arribas,20176.0,Goalkeeper,7,Villarreal,222,['13c5ccbe-771c-4a8a-a365-68cdc204b274'],17,,,,,,,,,,,,,,,Barcelona,217,00:02:17.020,Pass,,2005/2006
