50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.745177,,,,,,,,,,,,,,,f15ee8c7-98f0-43d2-ac9b-d399c44c556c,2062,,"[79.2, 50.6]",15973,54,,,,,-2.4329665,,Right Foot,,,,"[75.0, 47.0]",,Ground Pass,,5.531727,,Ivan Rakitić,5470.0,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,96,Barcelona,217,['af1d8091-8d77-469f-9619-c5357a271d83'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:32.431,Pass,,2018/2019
,,,,,,,,,,,,,,,0.656649,,,,,,,,,,,,,,,188127cd-6c9d-4419-a456-b7e4f4c84d24,2065,,"[74.4, 48.0]",15973,54,,,,,1.0598468,,Right Foot,,,,"[78.1, 54.6]",,Ground Pass,,7.566373,,Sergi Roberto Carnicer,6379.0,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,96,Barcelona,217,"['14fad3d8-2035-4256-af5d-689c2fafe2ae', 'd31a155f-5a46-45c5-a290-4ff95b863bbf']",33,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:33.176,Pass,True,2018/2019
,,,,,,,,,,,,,,,0.790139,,,,,,,,,,,,,,,e011464f-e606-4522-a988-ec676e5134e4,2067,,"[78.1, 54.6]",15973,54,,,,,-2.8100386,,Right Foot,,,,"[72.0, 52.5]",,Ground Pass,,6.4513564,,Ivan Rakitić,5470.0,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,96,Barcelona,217,['268acefa-6800-4906-9eb3-0a43a9e8361a'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:33.833,Pass,,2018/2019
,,,,,,,,,,,,,,,1.517525,,,,,,,,,,,,,,,8b689546-616f-4281-95da-30275e611160,2070,,"[68.0, 46.6]",15973,54,,,,,-1.744357,,Left Foot,,,,"[65.3, 31.2]",,Ground Pass,,15.634897,,Samuel Yves Umtiti,5492.0,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,96,Barcelona,217,['a46cba01-22f6-4f49-965a-485db963dfb7'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:37.264,Pass,,2018/2019
,,,,,,,,,,,,,,,0.897884,,,,,,,,,,,,,,,44088e07-9225-42c6-8092-1669e191e1d6,2073,,"[64.9, 29.7]",15973,54,,,,,-0.3183376,,Left Foot,,,,"[73.7, 26.8]",,Ground Pass,,9.265528,,Philippe Coutinho Correia,3501.0,,,,,,,2,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,96,Barcelona,217,['d01677e4-d1bd-44aa-a24f-9946621b4721'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:39.480,Pass,,2018/2019
,,,,,,,,,,,,,,,1.078205,,,,,,,,,,,,,,,f03b15cf-8b63-42a8-b6e2-0749f15767f0,2076,,"[77.9, 22.9]",15973,54,,,,,-1.1458538,,Right Foot,,,,"[86.0, 5.0]",,Ground Pass,,19.647392,,Ousmane Dembélé,5477.0,,,,,,,2,Regular Play,Philippe Coutinho Correia,3501.0,Left Center Midfield,96,Barcelona,217,['d058870d-0369-4756-8496-957cfbec8f35'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:42.303,Pass,,2018/2019
,,,,,,,,,,,,,,,2.12413,,,,,,,,,,,,,,,3a60eec9-faa0-4a37-96e0-e6f69e72bc5a,2085,,"[77.5, 0.1]",15973,54,,True,,,2.725781,,,,,,"[62.1, 6.9]",,Low Pass,,16.834488,,Samuel Yves Umtiti,5492.0,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,97,Barcelona,217,['44910118-ff61-4ed2-ad87-c7d341655817'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:57.024,Pass,,2018/2019
,,,,,,,,,,,,,,,1.18248,,,,,,,,,,,,,,,73101847-8e7c-4ba5-a784-b86c2e537ab3,2087,,"[56.6, 9.5]",15973,55,,,,,-0.38204485,,Left Foot,,,,"[67.8, 5.0]",,Ground Pass,,12.070211,,Jordi Alba Ramos,5211.0,,,,,,,2,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,97,Barcelona,217,['621f6816-f7a8-42d1-9651-fd65588d0a0b'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:03.031,Pass,,2018/2019
,,,,,,,,,,,,,,,0.72863,,,,,,,,,,,,,,,577e8ee5-d116-4ace-8fe6-2d7aae3dd114,2090,,"[71.2, 6.5]",15973,55,,,,,2.3932147,,Left Foot,,,,"[64.2, 13.0]",,Ground Pass,,9.552486,,Philippe Coutinho Correia,3501.0,,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,97,Barcelona,217,['0d0fe4f0-de73-4dc5-b4e7-5bdf836b3b68'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:06.427,Pass,,2018/2019
,,,,,,,,,,,,,,,0.632407,,,,,,,,,,,,,,,24eca69c-42b6-49f8-ac50-766d6d9e7dbd,2093,,"[64.5, 12.6]",15973,55,,,,,-0.87427235,,Right Foot,,,,"[69.1, 7.1]",,Ground Pass,,7.170077,,Jordi Alba Ramos,5211.0,,,,,,,2,From Throw In,Philippe Coutinho Correia,3501.0,Left Center Midfield,97,Barcelona,217,['841b38ea-22a8-4945-8b61-1dd17a557bf8'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:07.552,Pass,,2018/2019
,,,,,,,,,,,,,,,1.584907,,,,,,,,,,,,,,,f457a3af-0bbd-4359-8e4c-4038b2a13a2a,2095,,"[69.1, 7.1]",15973,55,,,,,2.7670803,,Right Foot,,,,"[51.8, 13.9]",,Ground Pass,,18.588438,,Samuel Yves Umtiti,5492.0,,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,97,Barcelona,217,['bac203f5-e8f3-4136-a15f-fd6516e49125'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:08.185,Pass,,2018/2019
,,,,,,,,,,,,,,,1.157115,,,,,,,,,,,,,,,aff40ec9-eaa8-45cb-b6cd-bcb9de737803,2098,,"[52.4, 13.9]",15973,55,,,,,2.0460713,,Left Foot,,,,"[43.6, 31.0]",,Ground Pass,,19.231485,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,97,Barcelona,217,['f947584c-a4db-449f-a571-affda67a84a8'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:10.648,Pass,,2018/2019
,,,,,,,,,,,,,,,2.126862,,,,,,,,,,,,,,,79784d82-c88b-4043-bef5-554ee6fc4daa,2100,,"[43.6, 31.0]",15973,55,,,,,-0.9242832,,Right Foot,,,,"[51.6, 20.4]",,Ground Pass,,13.28006,,Samuel Yves Umtiti,5492.0,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,97,Barcelona,217,['5c39b06c-23f3-4a1b-91d0-6ac6db47f8de'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:11.805,Pass,,2018/2019
,,,,,,,,,,,,,,,0.739557,,,,,,,,,,,,,,,8fc72d2e-134f-45bd-9044-1eb43133a8b9,2104,,"[57.1, 21.3]",15973,55,,,,,-1.4698745,,Left Foot,,,,"[57.9, 13.4]",,Ground Pass,,7.940403,,Philippe Coutinho Correia,3501.0,,,,,,,2,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,97,Barcelona,217,['83ce5d9c-2f4d-46cd-9123-4253086ad9eb'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:19.247,Pass,,2018/2019
,,,,,,,,,,,,,,,0.753024,,,,,,,,,,,,,,,d5bd51b6-53cb-4d26-a789-9bf7598866ad,2107,,"[57.5, 14.9]",15973,55,,,,,2.485897,,Right Foot,,,,"[48.4, 21.9]",,Ground Pass,,11.480854,,Samuel Yves Umtiti,5492.0,,,,,,,2,From Throw In,Philippe Coutinho Correia,3501.0,Left Center Midfield,97,Barcelona,217,['c702af9c-cdc9-4ddc-98a5-fc8667348088'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:21.310,Pass,,2018/2019
,,,,,,,,,,,,,,,2.629376,,,,,,,,,,,,,,,f6fedb60-2e72-4532-a295-d6c5af360705,2110,,"[37.7, 24.2]",15973,55,,,,,2.67639,,Left Foot,,,,"[12.0, 37.1]",,Ground Pass,,28.755869,,Marc-André ter Stegen,20055.0,,,,,,,2,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,97,Barcelona,217,['40474ed0-ff77-4e61-b815-e56016a278cb'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:24.363,Pass,,2018/2019
