50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.0569,,,,,,,,,,,,4a3457eb-4a20-4b60-830d-c26115d97a84,49,,,"[55.6, 54.2]",69326,0,,,,-2.2558613,,Right Foot,,,"[48.9, 46.0]",,Ground Pass,,10.589146,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,"['05516321-4c17-404d-9dd5-4f0d2fed765a', '20d9d4d8-c017-4399-9437-a722d0ca8f30']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.133,Pass,True,2011/2012
,,,,,,,,,,,,,,,1.9996,,,,,,,,,,,,567c2ca8-8a5e-4a12-9390-06899547811e,52,,,"[48.4, 41.3]",69326,0,,,,-1.5782868,,Left Foot,,,"[48.2, 14.6]",,Ground Pass,,26.700748,,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['3c276efe-7c4e-431f-874c-9c89499549bc'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.110,Pass,,2011/2012
,,,,,,,,,,,,,,,1.2113,,,,,,,,,,,,ee4e611b-c04f-4d15-9e1f-b3a16cd2833c,55,,,"[48.2, 14.6]",69326,0,,,,-0.48358798,,Right Foot,,,"[62.1, 7.3]",,Ground Pass,,15.700318,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['cb2c3b82-b908-41f6-9a1b-909bf6dd5dd4'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.806,Pass,,2011/2012
,,,,,,,,,,,,,,,1.0886,,,,,,,,,,,,70864c51-d048-4ad9-9ba5-f32f40ccb4ff,58,,,"[63.4, 5.0]",69326,0,,,,0.92006207,,Right Foot,,,"[70.1, 13.8]",,Low Pass,,11.060289,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,"['1cacb3fc-fa2a-4b70-a74c-b034798adf56', '6c054646-6380-4830-9fba-51fef091e1dc', '762d4e2a-9014-4560-9d7d-22edd45ded67']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.017,Pass,True,2011/2012
,,,,,,,,,,,,,,,0.633999,,,,,,,,,,,,1cacb3fc-fa2a-4b70-a74c-b034798adf56,60,,,"[50.9, 67.2]",69326,0,,,,0.12246106,,Right Foot,,,"[57.4, 68.0]",,Ground Pass,,6.5490456,,,,Jesús Navas González,6821.0,,,,,Recovery,1,From Kick Off,Gary Alexis Medel Soto,16453.0,Right Center Midfield,2,Barcelona,217,"['70864c51-d048-4ad9-9ba5-f32f40ccb4ff', '9cf23a86-49cb-4495-a79c-3fe608797951']",47,,,,,,,,,,,,,,,,,Sevilla,213,00:00:47.106,Pass,,2011/2012
,,,,,,,,,,,,,,,6.128051,,,,,,,,,,,,1e9e68e2-153c-4f1d-9e71-bb628dd88b4e,64,,,"[71.9, 60.9]",69326,0,,,,-0.8015258,,Right Foot,,,"[120.7, 10.5]",,Ground Pass,,70.15411,,Out,,Manuel del Moral Fernández,24507.0,,True,,,,1,From Kick Off,Jesús Navas González,6821.0,Right Midfield,2,Barcelona,217,"['19c073de-98b0-42fc-bcd9-9ad032a52c51', 'f078e8de-0702-4e5a-aed9-14ee5c0eb033']",50,,,,,,,,,,,,,,,,,Sevilla,213,00:00:50.716,Pass,True,2011/2012
,,,,,,,,,,,,,,,1.0259,,,,,,,,,,,,f14c32cb-43d8-4bf3-883d-af31c2e116e8,66,,,"[3.0, 80.0]",69326,1,,,,-0.49555168,,,,,"[10.4, 76.0]",,High Pass,,8.411897,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['e0e982c8-4a5a-4564-9b14-8ed96e8465e9'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.304,Pass,,2011/2012
,,,,,,,,,,,,,,,0.7925,,,,,,,,,,,,94553373-1c3e-41d7-a992-6789abf44dec,68,,,"[10.4, 76.0]",69326,1,,,,-3.0152845,,Left Foot,,,"[4.1, 75.2]",,Low Pass,,6.3505907,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,3,Barcelona,217,['18ec55f7-ae7e-4127-b48f-4d079beac2c0'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.330,Pass,,2011/2012
,,,,,,,,,,,,,,,3.494654,,,,,,,,,,,,bee35548-3f16-46c0-ab2b-0ec2ae41f198,72,,,"[4.7, 75.2]",69326,1,,,,0.11227099,,Right Foot,,,"[45.5, 79.8]",,High Pass,,41.058495,,Out,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['2fdfa537-f031-45a4-81b6-10cc8a9d61f6', '9bb6bc9f-4db0-4f8c-a357-f130d0861fb6']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.163,Pass,True,2011/2012
,,,,,,,,,,,,,,,0.2966,,,,,,,,,,,,f37aa7bd-e0dd-4d30-b155-7a39638e25ca,74,,,"[84.7, 1.0]",69326,1,,,,1.4948556,,,,,"[85.4, 10.2]",,Low Pass,,9.226592,,,,Frédéric Oumar Kanouté,25960.0,,,,,Throw-in,1,From Throw In,Fernando Navarro i Corbacho,6913.0,Left Back,4,Sevilla,213,['3111489c-4e6a-4ee4-8ac6-d5a7945c5cc9'],27,,,,,,,,,,,,,,,,,Sevilla,213,00:01:27.692,Pass,,2011/2012
