50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.970929,,,,,,,,,,,,,,,,9b640f1f-0d43-48ca-b3b3-9d0dbf9284f2,48,,"[52.1, 73.6]",70219,0,,,,,-1.2030613,,Right Foot,,,,"[75.1, 13.9]",,High Pass,,63.97726,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,True,,,,1,From Goal Kick,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['fcfcc22d-e9fc-4b63-9ae1-2c73b6f48c8f'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.369,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.071364,,,,,,,,,,,,,,,,4291aadd-a126-48b1-91e1-30c4173593c1,51,,"[85.2, 20.8]",70219,0,,,,,0.0,,Right Foot,,,,"[111.1, 20.8]",,Ground Pass,,25.9,,,,Francesc Fàbregas i Soler,3478.0,,,,Through Ball,True,,1,From Goal Kick,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,3,Barcelona,217,['1baab340-2aa9-483b-b0f9-0e8c6c6c5b2b'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.368,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.846375,,,,,,,,,,,,,,,,454724c7-7df9-45c8-a265-6fcfcbd3b648,55,,"[119.5, 15.3]",70219,1,,,,,2.5471177,,Right Foot,,True,,"[112.4, 20.1]",,Ground Pass,,8.570297,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,Through Ball,True,,1,From Goal Kick,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,3,Barcelona,217,"['a555927c-8d8b-4211-9f4a-4be9e82865d5', 'ed32bf28-197d-4ce3-abef-7d9ba44f00ef']",2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.563,Pass,True,2011/2012
,,,,,,,,,,,,,,,,4.087668,,,,,,,,,,,,,,,,a8b35fd1-3fd4-4612-aaf7-4a45d9019878,58,,"[114.6, 24.7]",70219,1,,,,,1.6127144,,Right Foot,True,,,"[112.7, 70.0]",,Ground Pass,,45.33983,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,True,,,,1,From Goal Kick,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,3,Barcelona,217,['cba0b606-8c87-47d8-9c9f-bb03b8f6a9d6'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.706,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.205345,,,,,,,,,,,,,,,,28a758c2-486a-487c-a4c3-8d5fbf294766,61,,"[114.0, 75.6]",70219,1,,,,,-3.0911305,,Left Foot,,,,"[104.1, 75.1]",,Ground Pass,,9.912619,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Goal Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,3,Barcelona,217,['e97ce43d-dda0-4efc-863b-23f0721462bd'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.955,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.773944,,,,,,,,,,,,,,,,1e574229-00c6-419b-8db4-f239615f02f0,64,,"[107.0, 72.8]",70219,1,,,,,-1.5957911,,Right Foot,,,,"[106.7, 60.8]",,Ground Pass,,12.00375,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,From Goal Kick,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['707f122f-13a4-4700-9912-39b488506e01'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.495,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.07016,,,,,,,,,,,,,,,,8b04b859-95be-45ad-8d83-a2a2fe7c973c,69,,"[106.7, 60.8]",70219,1,,,,,1.1995367,,Right Foot,,,,"[111.8, 73.9]",,High Pass,,14.057738,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Goal Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,3,Barcelona,217,['aaf41060-0fba-46fb-b935-f3cdde9652b7'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.802,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.943409,,,,,,,,,,,,,,,,898d65ab-bcdd-4d11-b8cc-47e88e1d6db2,72,,"[112.2, 74.6]",70219,1,,,,,-3.0986743,,Right Foot,,,,"[95.9, 73.9]",,Ground Pass,,16.315023,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,From Goal Kick,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['abb2c846-4eaa-4627-bf0d-690f665d1ca3'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.931,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.554141,,,,,,,,,,,,,,,,6fabaeca-2fdf-4de9-b4e6-0129a69a2108,75,,"[97.6, 66.8]",70219,1,,,,,-2.4450686,,Right Foot,,,,"[92.1, 62.2]",,Ground Pass,,7.170077,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Goal Kick,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,3,Barcelona,217,['cef68038-8276-4e57-aeb7-520016972486'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.616,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.688178,,,,,,,,,,,,,,,,ab0fc31c-5b3d-4f68-85cd-be2017d99564,78,,"[92.1, 62.2]",70219,1,,,,,0.913481,,Right Foot,,,,"[103.6, 77.1]",,Ground Pass,,18.821796,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Goal Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,['3d5549f4-ecb2-4b09-9258-358c38f9d24d'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.250,Pass,,2011/2012
