ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.5489,,,,,,,,,,,,,2924c43f-1c6a-4db4-8084-199699edef04,61,,"[47.0, 32.7]",267395,1,,,,0.4234394,,Right Foot,,,,"[54.1, 35.9]",,Ground Pass,,7.787811,,,,Jonathan Viera Ramos,10755.0,,,,,,,1,From Free Kick,Roque Mesa Quevedo,3610.0,Left Center Midfield,4,Las Palmas,208,['9eac4dbf-01fa-4098-a7bd-23e7988ebc4b'],50,,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:50.592,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.6506,,,,,,,,,,,,,6b11df94-5774-4398-9574-3b85531587e3,75,,"[7.0, 36.1]",267395,3,True,,,-1.2099595,,Right Foot,,,,"[17.0, 9.6]",,Ground Pass,,28.324018,,,,Hélder Filipe Oliveira Lopes,27565.0,,,,,,Goal Kick,1,From Goal Kick,Javier Varas Herrera,26753.0,Goalkeeper,7,Las Palmas,208,['ecedf74e-af22-459a-9c9e-6ca0b95afc91'],10,,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:10.408,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.6944,,,,,,,,,,,,,2306793c-412b-4228-adaf-496d3c0cb312,77,,"[19.0, 10.4]",267395,3,,,,1.4530796,,Right Foot,,,,"[26.9, 77.2]",,High Pass,,67.26552,,,,Míchel Macedo Rocha Machado,6922.0,,,True,,,,1,From Goal Kick,Hélder Filipe Oliveira Lopes,27565.0,Left Back,7,Las Palmas,208,['c08c5bb2-6954-46d1-82fc-02a9133230c2'],11,,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:11.112,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.0134,,,,,,,,,,,,,c08aafd4-165f-4c7e-8a25-039dc0e89176,80,,"[27.8, 76.9]",267395,3,,,,-0.05502913,,Right Foot,,,,"[51.4, 75.6]",,High Pass,,23.635778,,Incomplete,,Nabil El Zhar,6608.0,,,,,,,1,From Goal Kick,Míchel Macedo Rocha Machado,6922.0,Right Back,7,Las Palmas,208,"['10103e28-7cfe-4bcc-8da7-db63cb21d272', '7770168c-222e-4a63-b67e-1635af3cdfa6']",14,,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:14.481,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,7770168c-222e-4a63-b67e-1635af3cdfa6,83,,"[68.7, 4.5]",267395,3,,,True,-0.4081491,,,,,,"[76.1, 1.3]",,Low Pass,,8.062258,,Out,,Arda Turan,11094.0,,,,,,Recovery,1,From Goal Kick,Jordi Alba Ramos,5211.0,Left Back,7,Las Palmas,208,"['7a88151f-06f5-471d-8bc3-6cf3f7fb76dd', '805d704e-6448-4fc9-be4f-e82ce1c031ed', 'c08aafd4-165f-4c7e-8a25-039dc0e89176']",16,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:16.495,Pass,True,2016/2017
,,,,,,,,,,,,,,,,0.9214,,,,,,,,,,,,,695b0367-59cf-4871-8617-ad26a6ed919e,85,,"[43.5, 80.0]",267395,3,,,,-1.5901488,,,,,,"[43.2, 64.5]",,High Pass,,15.502903,,,,Roque Mesa Quevedo,3610.0,,,,,,Throw-in,1,From Throw In,Míchel Macedo Rocha Machado,6922.0,Right Back,8,Las Palmas,208,['a57719e2-ebf5-42d5-9868-b0cae0a3e1b5'],23,,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:23.344,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.0407,,,,,,,,,,,,,31edd2bd-c25a-45d9-8dc0-16cfc6f12d5a,89,,"[44.0, 66.2]",267395,3,,,,2.7437837,,Left Foot,,,,"[25.2, 74.1]",,Ground Pass,,20.3924,,,,David García Santana,6927.0,,,,,,,1,From Throw In,Roque Mesa Quevedo,3610.0,Left Center Midfield,8,Las Palmas,208,"['12867119-5039-48d0-a847-c0874b31679f', 'a8ac7f8e-9f0d-494b-b572-e67c85c3aa6d']",25,,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:25.081,Pass,True,2016/2017
,,,,,,,,,,,,,,,,2.5285,,,,,,,,,,,,,e1dce47a-2906-4366-8b43-93916a0ad2a4,92,,"[25.6, 74.6]",267395,3,,,,0.031078074,,Right Foot,,,,"[64.2, 75.8]",,High Pass,,38.61865,,,,Nabil El Zhar,6608.0,,,,,,,1,From Throw In,David García Santana,6927.0,Right Center Back,8,Las Palmas,208,['71d5faf2-5ffc-482e-9f7f-c0547501163f'],26,,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:26.162,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.0858,,,,,,,,,,,,,57b5c2a1-5eb8-466b-acaa-f9e6ce6cfbaa,94,,"[64.2, 75.8]",267395,3,,,True,-0.15660188,,,,,,"[66.1, 75.5]",,High Pass,,1.9235384,,Incomplete,,,,,,,,,,1,From Throw In,Nabil El Zhar,6608.0,Right Midfield,8,Las Palmas,208,"['46eb83ed-a4d9-4c0b-844f-78f2b2ce9164', 'a85d7424-5229-4971-a7e2-d892441bf8d4']",28,,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:28.605,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.027079,,,,,,,,,,,,,7ddbec85-01e3-4e2a-95d5-5a903755674c,101,,"[58.2, 1.6]",267395,3,,,,3.025451,,Right Foot,,,,"[52.2, 2.3]",,Ground Pass,,6.040695,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Rafael Alcântara do Nascimento,6998.0,Left Center Midfield,9,Barcelona,217,"['658801f8-8f65-4b5d-8e0b-f5aa6f2977a4', 'aa5b9ce3-55db-4066-98b5-dec49ecfc937']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:34.878,Pass,True,2016/2017
