50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.0187,,,,,,,,,,,,,2485f95e-9e82-42d4-99fc-a5c65bcf9e46,16,,"[34.3, 26.7]",267183,0,,,,1.8475103,,Left Foot,,,,"[27.2, 51.7]",,Ground Pass,,25.988651,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['bf3c5f4d-be29-4ebd-8b3c-ea8753a936ae'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.058,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.814312,,,,,,,,,,,,,00f34c92-402b-4f98-9983-53c0182f8ea4,19,,"[34.7, 54.4]",267183,0,,,,-1.5790949,,Right Foot,,,,"[34.5, 30.3]",,Ground Pass,,24.10083,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['64169f23-5e69-4195-b44c-9e914a032a5a'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.114,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.84078,,,,,,,,,,,,,9b6328a8-c3d1-4098-9694-838b76adabed,23,,"[44.8, 24.5]",267183,0,,,,1.9392014,,Left Foot,,,,"[34.3, 51.7]",,Ground Pass,,29.156303,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,"['176a5694-b595-45e0-a933-f56129b7698b', '51fc7147-302c-43d0-8411-96bbd2b8897c']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.227,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,1.179754,,,,,,,,,,,,,7dd6a4e7-600f-4199-9185-5b22e35f8d28,26,,"[41.3, 47.6]",267183,0,,,,-0.14189705,,Right Foot,,,,"[52.5, 46.0]",,Ground Pass,,11.313708,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['25802cfc-91c5-4303-a397-74059a31bf3c'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.362,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.156805,,,,,,,,,,,,,20166fe4-e1cd-4f13-a3eb-b1071add75c9,30,,"[51.8, 46.4]",267183,0,,,,-2.1714108,,Right Foot,,,,"[43.1, 33.7]",,Ground Pass,,15.394155,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['e42d9a3c-6c96-4eb0-847a-d53c31b529b7'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.152,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.011245,,,,,,,,,,,,,e228d168-e83c-4e0c-a9cc-05206fb68bc3,33,,"[48.8, 28.0]",267183,0,,,,-0.5926974,,Left Foot,,,,"[73.3, 11.5]",,Ground Pass,,29.53811,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['7d31c774-8663-4346-864b-34b78478f959'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.252,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.9482,,,,,,,,,,,,,87eb62a7-62fd-4b0c-ae6d-09b7c0d63274,37,,"[77.5, 10.5]",267183,0,,,,-0.5055811,,Right Foot,,,,"[88.7, 4.3]",,Ground Pass,,12.801562,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['0846dab2-23c1-4ab3-9805-f6edb6365fb7'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.771,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.8084,,,,,,,,,,,,,523b69b7-66f0-4859-8e6f-4eb15da6714e,41,,"[90.7, 6.5]",267183,0,,,,1.5707964,,Right Foot,,,,"[90.7, 20.1]",,Ground Pass,,13.6,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['ae5c10a4-03b2-48c9-8d39-71d9c4e9ece4'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.398,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.3237,,,,,,,,,,,,,967d3d28-b364-493c-b231-afc56d070fe6,43,,"[91.1, 20.7]",267183,0,,,,-2.4207811,,Right Foot,,,,"[80.4, 11.3]",,Ground Pass,,14.242542,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['35c14a72-9ad3-48be-81c1-3d42749253f9'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.206,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.9747,,,,,,,,,,,,,ef66041f-49c9-45c4-85ed-70ac0f576623,45,,"[80.1, 10.7]",267183,0,,,,1.0146301,,Left Foot,,,,"[84.7, 18.1]",,Ground Pass,,8.713208,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['cf093bf9-ec9e-47e3-b848-ec85e2bc7710'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.530,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.3742,,,,,,,,,,,,,e24dac6e-ac9b-47ab-a6b2-29701712859d,48,,"[84.7, 18.1]",267183,0,,,,0.86718255,,Right Foot,,,,"[90.3, 24.7]",,Ground Pass,,8.655634,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,"['3fa8c269-1f3d-4026-b36c-7f6b45ac147a', 'ffea56dc-2918-4f73-8ddc-c93259eb20dd']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.663,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.410308,,,,,,,,,,,,,625a5194-5e7e-4b29-a94c-9460b3860770,52,,"[42.3, 47.7]",267183,0,,,,-1.3646517,,Right Foot,,,,"[50.1, 10.4]",,Ground Pass,,38.106823,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,1,From Kick Off,Luka Modrić,5463.0,Right Center Midfield,2,Barcelona,217,['b23b9fd6-4e8c-4f50-b44f-5b03979d029d'],40,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:40.636,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.093523,,,,,,,,,,,,,91133412-af61-415f-aa07-6b53ad24e547,59,,"[36.2, 63.1]",267183,0,,,,-2.042574,,Right Foot,,,,"[31.2, 53.3]",,Ground Pass,,11.001818,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['5623770f-d3be-434f-9d27-b00ab1d6c8ea'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.457,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,2.0515,,,,,,,,,,,,,1e6b0ef5-b067-4795-9dbd-c938b77e35e3,62,,"[31.4, 53.3]",267183,1,,,,-1.8524792,,Right Foot,,,,"[23.5, 26.0]",,Ground Pass,,28.420063,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['95e07edc-79ce-41ee-99e6-9d6c56fdbb6a'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.937,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.9502,,,,,,,,,,,,,35b1cc33-ec47-4864-a5b3-f29d2e06ba76,65,,"[29.0, 20.9]",267183,1,,,,-1.1196481,,Right Foot,,,,"[36.8, 4.8]",,Ground Pass,,17.889942,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['aa2297de-2271-4c96-ae97-a0a29e892487'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.357,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,2.40779,,,,,,,,,,,,,9005f8d3-2378-4552-bf11-625270db9a10,69,,"[35.4, 17.2]",267183,1,,,,1.88093,,Left Foot,,,,"[24.6, 50.9]",,Ground Pass,,35.388275,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['06fb31d8-25c6-468e-9741-54571d63c083', '67ea106c-fd3c-4274-810f-67dce7aa4912']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.923,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,1.112253,,,,,,,,,,,,,885c6405-27e6-41ec-8316-694261f3441d,73,,"[50.3, 55.2]",267183,1,,,,0.99804306,,Right Foot,,,,"[64.1, 76.6]",,Ground Pass,,25.4637,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['3788c15c-e08a-4eda-b6d8-78d6386479ba', '5a5707c4-53e6-4390-971c-5a1d35f32a1d']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.011,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,1.478067,,,,,,,,,,,,,bdb30e3c-68d9-45c8-a27b-757fb58246e1,77,,"[65.0, 75.4]",267183,1,,,,-0.49499622,,Left Foot,,,,"[87.6, 63.2]",,Low Pass,,25.682678,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['9964e9d2-d82a-40ab-bd94-d94ccb5f3609'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.890,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.17963,,,,,,,,,,,,,66ab4234-2166-45bf-acd6-e95ad5410e66,80,,"[87.8, 66.0]",267183,1,,,,2.1396441,,Right Foot,,,,"[83.9, 72.1]",,Low Pass,,7.2401657,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['ccc0767e-d102-43a1-a190-2cabba68b578'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.174,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.0553,,,,,,,,,,,,,09fcaf64-8f33-4dc3-8180-734f587557a8,84,,"[93.1, 74.1]",267183,1,,,,0.5070985,,Right Foot,,,,"[99.4, 77.6]",,Ground Pass,,7.206941,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,"['065839ad-da3a-4b6d-b221-e283ff0d2625', '523b40ce-41d3-4574-b1de-fc957b86c235']",25,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.262,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,0.8399,,,,,,,,,,,,,2158d48a-460b-4acd-b4b3-0a4a86c6d685,87,,"[99.4, 77.6]",267183,1,,,,-1.7572832,,Left Foot,,,,"[98.4, 72.3]",,Low Pass,,5.3935146,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['32c1ad3f-1aae-4153-9282-1aed2523576b'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.397,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.908105,,,,,,,,,,,,,abb91732-5600-4cce-a730-a01f9f73c700,94,,"[21.5, 7.7]",267183,1,,,,2.070143,,Right Foot,,,,"[14.3, 20.9]",,Ground Pass,,15.035957,,,Toni Kroos,5574.0,,,,,,1,Regular Play,Sergio Ramos García,5201.0,Left Center Back,3,Real Madrid,220,['c4fc36b1-8b2b-4635-8547-fb3a6201f4c2'],30,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:30.912,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.253208,,,,,,,,,,,,,8d7895f2-3fbb-4184-8b32-2ef1d828ba63,98,,"[13.1, 24.1]",267183,1,,,,2.2932148,,Right Foot,,,,"[2.7, 35.9]",,Ground Pass,,15.728954,,,Iker Casillas Fernández,11179.0,,,,,,1,Regular Play,Toni Kroos,5574.0,Center Defensive Midfield,3,Real Madrid,220,"['0cbb6a7c-1b6d-4db1-ab89-374f92f7da4e', '996c6ca6-25b6-4fd3-b499-5bcf53bb4463']",33,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:33.281,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,3.371781,,,,,,,,,,,,,9ab89660-6c3e-4f1e-9ef5-f5944d5df697,101,,"[2.7, 35.9]",267183,1,,,,-0.89092374,,Left Foot,,,,"[31.4, 0.4]",,High Pass,,45.650192,Out,,,,,,,,,1,Regular Play,Iker Casillas Fernández,11179.0,Goalkeeper,3,Real Madrid,220,,34,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:34.574,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,2.9289,,,,,,,,,,,,,e344af1e-8b97-42ad-b581-14be27396f74,102,,"[86.5, 80.0]",267183,1,True,,,-2.7057564,,,,,,"[58.8, 67.1]",,Low Pass,,30.556505,,,Gerard Piqué Bernabéu,5213.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['a2b0ec5b-4526-4a95-bed6-fab040f0dbbb'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.565,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.9402,,,,,,,,,,,,,dc76c0ab-2904-4bb5-b47c-51fc4bc8ecfe,104,,"[62.1, 67.1]",267183,1,,,,-0.67196316,,Right Foot,,,,"[70.9, 60.1]",,Ground Pass,,11.2445545,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['1a2e6cd3-cb2c-4ce9-9330-34189143c37f'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.204,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.471824,,,,,,,,,,,,,f06287f6-ba95-4a24-a3a0-64c05fc883e7,106,,"[70.5, 59.9]",267183,1,,,,2.1861358,,Left Foot,,,,"[62.3, 71.5]",,Ground Pass,,14.205632,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,4,Barcelona,217,['04ec46b9-7fa3-4be1-82ec-ea51cb21a770'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:01:51.144,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.416455,,,,,,,,,,,,,6dd195c5-30bc-42a9-a70e-4702e0d0e934,109,,"[62.3, 71.5]",267183,1,,,,0.25156474,,Right Foot,,,True,"[83.7, 77.0]",,Ground Pass,,22.095474,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['3bef506b-0305-405c-9a90-32b2f6f3b78d'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:01:53.013,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.7728,,,,,,,,,,,,,a950f83a-f1ce-419c-8582-c8f869462c65,114,,"[84.8, 75.6]",267183,1,,,,-1.2099595,,Right Foot,,,,"[86.8, 70.3]",,Ground Pass,,5.6648035,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,4,Barcelona,217,"['336abf1e-5715-44ed-aa6d-0387b0092fe4', '8bf76598-1ab3-41bd-bfe8-e44c20316d04']",55,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.701,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,0.2053,,,,,,,,,,,,,632054b7-e60d-4f62-b01f-06209695770f,116,,"[86.8, 70.3]",267183,1,,,,2.082027,,Left Foot,,,,"[84.5, 74.4]",,Ground Pass,,4.7010636,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['abd379f4-84bc-4c6a-97f8-ab4aa1ec8830'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:01:56.474,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.955207,,,,,,,,,,,,,9bc01a8d-12a3-482f-9524-778864fa1c78,119,,"[84.5, 74.4]",267183,1,,,,-2.1842017,,Right Foot,,,,"[75.7, 61.9]",,Ground Pass,,15.286922,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,4,Barcelona,217,['0ea4b2ca-08c6-4a58-8443-f615ffbfb32b'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:01:59.137,Pass,,2014/2015
