50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.379783,,,,,,,,,,,,,,,ad21b125-af0d-417c-a3b1-7afb4372b4c7,62,,"[81.0, 72.5]",69138,0,,,,2.9724915,,Right Foot,,,,"[68.7, 74.6]",,Ground Pass,,12.477981,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,"['5415ff05-5288-4394-9a6a-3015c3374e30', '937f64d2-847c-45fe-a2cf-7fbc9f81bf7d']",49,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.442,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.811937,,,,,,,,,,,,,,,9d30babc-ae70-41b2-86be-11cce033bc88,66,,"[66.5, 68.4]",69138,0,,,,2.9398303,,Right Foot,,,,"[48.9, 72.0]",,Ground Pass,,17.964409,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['fb65d83e-06c0-44fd-8976-aecfbe1db7c4'],51,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.828,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.99022,,,,,,,,,,,,,,,2bded839-ec5f-40d6-a861-affa46db2643,69,,"[48.9, 72.0]",69138,0,,,,-1.7446976,,Right Foot,,,,"[42.4, 35.0]",,Ground Pass,,37.56661,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['82a7b279-8c0a-40a5-a92a-61547a951ef0'],54,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.844,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.725267,,,,,,,,,,,,,,,00858154-e2f0-44d8-ad0e-3b538c90e8b0,72,,"[45.7, 33.9]",69138,0,,,,-0.85843873,,Right Foot,,,,"[64.7, 11.9]",,Ground Pass,,29.068884,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['f0cbc423-183e-48a3-a303-f62ffdae63e3'],58,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.132,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.943739,,,,,,,,,,,,,,,d4f49428-f90f-443b-b162-f3efabd3a081,76,,"[65.8, 18.7]",69138,1,,,,1.5051016,,Left Foot,,,,"[66.8, 33.9]",,Ground Pass,,15.23286,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['0be97c60-620b-499a-877b-d255dd6c50bc'],1,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.715,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.427283,,,,,,,,,,,,,,,0dcb5ef9-4b7f-4d52-b6d8-22d54aedf2c9,80,,"[67.1, 32.8]",69138,1,,,,-2.0961633,,Right Foot,,,,"[63.1, 25.9]",,Ground Pass,,7.975588,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['1b77175e-37d7-4677-855c-6fc5f2711c76'],3,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.162,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.348239,,,,,,,,,,,,,,,323871b3-fd07-40cc-a1a2-a2f50f42d424,83,,"[63.1, 25.9]",69138,1,,,,-1.2424669,,Left Foot,,,,"[69.3, 7.7]",,Ground Pass,,19.227064,,,,Seydou Kéita,20169.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['38e7fa3c-3b75-4669-84e4-a177a86fdfab'],4,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.958,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.610825,,,,,,,,,,,,,,,6d4a134c-d144-4dc6-b8a2-aeaa065d3528,89,,"[78.1, 6.8]",69138,1,,,,-3.0227523,,Left Foot,,,,"[71.4, 6.0]",,Ground Pass,,6.747592,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,"['72458831-6048-4782-8407-018c8eebeb4b', 'ed4356ce-6fdc-4b55-b85c-bdc1ddf40d59']",15,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.750,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.053318,,,,,,,,,,,,,,,787a832f-da6c-4d81-9ff8-4d4c0e162801,92,,"[73.0, 4.8]",69138,1,,,,1.6974728,,Left Foot,,,,"[70.3, 26.0]",,Ground Pass,,21.371243,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['dc8dd5ee-d3be-40e2-878f-6d4ed597253f'],17,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.725,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.969404,,,,,,,,,,,,,,,2c26b4f6-d8f1-4a6d-9728-08377c10af41,96,,"[72.9, 23.7]",69138,1,,,,-0.91614646,,Right Foot,,,,"[87.1, 5.2]",,Ground Pass,,23.32145,,,,Seydou Kéita,20169.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['0a40aaf1-74a5-4700-a859-db16f084422c'],19,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.884,Pass,,2008/2009
