50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.103733,,,,,,,,,,,,,,8ac46876-2024-45ab-9d57-8eb2a7dedb70,56,,"[31.1, 68.0]",265857,0,,,,1.0802494,,Right Foot,,,,"[35.8, 76.8]",,Ground Pass,,9.976472,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,['88982884-ea77-4a56-8719-91f093e55476'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.056,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.6254,,,,,,,,,,,,,,8c3c6ac8-fe4a-4744-ad9f-df7fc7a56c66,65,,"[98.2, 7.7]",265857,1,,,,1.3410546,,Left Foot,,,,"[101.1, 20.1]",,Ground Pass,,12.734598,,,,Karim Benzema,19677.0,,,,,,,1,From Free Kick,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,5,Barcelona,217,"['c1424f25-dd0b-4765-95f7-bc71285372fe', 'c27cefa0-b409-448f-85f7-dfea3864e26c']",1,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:01.958,Pass,True,2013/2014
,,,,,,,,,,,,,,,,,,0.2205,,,,,,,,,,,,,,245104e5-f226-4837-8503-dbab8893a979,67,,"[100.8, 20.1]",265857,1,,,,-0.5337082,,Right Foot,,,,"[103.0, 18.8]",,Ground Pass,,2.5553865,,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,,1,From Free Kick,Karim Benzema,19677.0,Center Forward,5,Barcelona,217,"['35c6c524-9aef-4d0e-a1fa-f6aac2cc83e4', '47e09556-7222-4b80-9e94-a3ca50acecea']",2,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:02.584,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.53004,,,,,,,,,,,,,,746e371a-21c9-4a86-a202-8ed43fd600ae,70,,"[28.4, 65.3]",265857,1,,,,-2.9123607,,Right Foot,,,,"[22.4, 63.9]",,Ground Pass,,6.1611686,,,,Javier Alejandro Mascherano,5506.0,,,,,,Recovery,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,['b2dcf6b5-5194-4501-beb8-0a3a2d8a1622'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.709,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,eeb4492d-4bc0-4716-ae79-b637fe83038e,73,,"[22.8, 63.6]",265857,1,,,,-1.0392746,,Right Foot,,,,"[35.5, 42.0]",,Low Pass,,25.056934,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,5,Barcelona,217,['99800ff4-ae13-4118-b079-0873711d8dde'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.598,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,1.818371,,,,,,,,,,,,,,95865bfb-4b86-481a-9e06-d928b0a2efb8,78,,"[37.3, 39.5]",265857,1,,,,-1.6412677,,Right Foot,,,,"[36.1, 22.5]",,Ground Pass,,17.042301,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,5,Barcelona,217,"['5e05602b-d5cf-4bea-b8cc-914e1ea0dcb0', '8642e86b-a64c-4c58-b4a3-24f54db434e3']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.698,Pass,True,2013/2014
,,,,,,,,,,,,,,,,,,1.045474,,,,,,,,,,,,,,df5535ef-6261-49fe-81f8-975badf15de4,81,,"[50.3, 19.4]",265857,1,,,,-1.5506648,,Right Foot,,,,"[50.6, 4.5]",,Ground Pass,,14.90302,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['ffc5bfde-82b6-4b2e-bd5b-ebfd0c686e2b'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.783,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.571104,,,,,,,,,,,,,,21385d07-29d0-4d8f-8836-f7fb1250ec57,84,,"[49.5, 9.4]",265857,1,,,,2.010639,,Right Foot,,,,"[44.7, 19.6]",,Ground Pass,,11.272977,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Wing,5,Barcelona,217,['a858dc12-39ba-4c57-b61a-573525c45bc3'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.471,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.5867,,,,,,,,,,,,,,2c3273e3-1fe0-4030-8c04-b91ab9786181,88,,"[42.6, 15.0]",265857,1,,,,-0.7524431,,Right Foot,,,,"[52.0, 6.2]",,Ground Pass,,12.876335,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,5,Barcelona,217,['58158460-03f9-4601-8fba-3fe30e407048'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.591,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,1.348196,,,,,,,,,,,,,,0c830986-5b82-400b-9073-74b9d480e806,97,,"[43.5, 1.0]",265857,1,,,,2.6271412,,,,,,"[22.8, 12.7]",,Low Pass,,23.777721,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['38edd994-eb95-412c-869e-26f499b87d5a'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.518,Pass,,2013/2014
