50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.280488,,,,,,,,,,,,aa120928-c3af-4a2d-832f-380592491451,64,,"[72.3, 54.2]",303493,1,,,,,-1.4496533,,Left Foot,,,,"[75.1, 31.2]",Ground Pass,,23.169807,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['6eddd6c6-1915-4ffe-b3e4-d4128b5410af'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.271,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.551838,,,,,,,,,,,,eabfc99a-a346-4ffe-b31b-78514616dc8d,67,,"[76.1, 26.7]",303493,1,,,,,-0.95978725,,Right Foot,,,,"[92.7, 3.0]",Low Pass,,28.935272,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Right Center Midfield,3,Barcelona,217,['2deea36a-655b-4b03-86b2-ed7abc582e8a'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.551,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,2.283006,,,,,,,,,,,,5898195a-e6a7-4762-ac48-b673fb84c3fb,70,,"[97.1, 2.4]",303493,1,,,,,1.0171576,,Left Foot,True,,,"[116.2, 33.3]",Ground Pass,,36.326572,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,"['b03914c2-116f-48ab-b15a-e1b7c9dccd8a', 'de522bc5-71d3-4b8d-b725-852e5c1286c9']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.182,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,5.567945,,,,,,,,,,,,561d398f-6b87-4b2a-9f73-198187d71f6d,74,,"[17.3, 47.1]",303493,1,,,,,0.4593558,,Drop Kick,,,,"[64.0, 70.2]",High Pass,,52.100864,,Incomplete,,,,,,,,,1,Regular Play,Unai Simón Mendibil,11748.0,Goalkeeper,3,Barcelona,217,['9d593caa-a178-4772-be43-bbef284da624'],27,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:27.262,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,0.962115,,,,,,,,,,,,9d593caa-a178-4772-be43-bbef284da624,75,,"[56.1, 9.9]",303493,1,,,,,-0.057080783,,Head,,,,"[63.1, 9.5]",Low Pass,,7.0114193,,,,Antoine Griezmann,5487.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['561d398f-6b87-4b2a-9f73-198187d71f6d', '84771ede-8967-4997-ad90-ff0f7b8ac16e']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.830,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,0.366779,,,,,,,,,,,,0f7e453b-eb93-498c-b73c-9b04c9b8b615,78,,"[63.0, 9.9]",303493,1,,,,,2.4558632,,Left Foot,,,,"[59.7, 12.6]",Low Pass,,4.263801,,Incomplete,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Left Wing,3,Barcelona,217,"['616c1730-0765-4502-80bb-4c3d6e0571af', 'a424e7d3-d97e-4c3d-853b-4df1801bfccd']",33,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.832,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.183411,,,,,,,,,,,,e54674b2-2faa-4130-b262-7f45f8698f11,82,,"[64.0, 14.4]",303493,1,,,,,1.3101939,,Right Foot,,,,"[64.8, 17.4]",Ground Pass,,3.104835,,Incomplete,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['e307cb78-bd65-4a6e-ac81-fd99c10ad070', 'e32f97fe-95ca-43be-80df-deb0267af31d', 'e6c20a65-be3f-4505-acb5-1ad2a94e018a']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.889,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,,1.730308,,,,,,,,,,,,e32f97fe-95ca-43be-80df-deb0267af31d,85,,"[55.3, 62.7]",303493,1,,,,,3.1042964,,Left Foot,,,,"[41.9, 63.2]",Ground Pass,,13.409325,,,,Unai Núñez Gestoso,6397.0,,,,,Recovery,1,Regular Play,Mikel Vesga Arruti,6667.0,Left Defensive Midfield,4,Athletic Club,215,"['0140c58b-1c7e-4bee-8e0b-3c6224b605be', '8afa9149-3367-4c1c-9ed9-41ae0c69609a', 'e54674b2-2faa-4130-b262-7f45f8698f11']",36,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:36.072,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,,0.879751,,,,,,,,,,,,6ecacf47-2310-4abf-861e-271fe66976d7,87,,"[42.6, 62.9]",303493,1,,,,,-0.21938425,,Right Foot,,,,"[57.4, 59.6]",Ground Pass,,15.163443,,,,Oihan Sancet Tirapu,30225.0,,,,,,1,Regular Play,Unai Núñez Gestoso,6397.0,Right Center Back,4,Athletic Club,215,['c75ccff1-2a7f-4bf5-9cea-c125c762b3c2'],37,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:37.802,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,2.357545,,,,,,,,,,,,fd439760-4fd8-43d3-88c3-5298eeea6e75,91,,"[64.7, 66.8]",303493,1,,,,,0.23454063,,Right Foot,,,,"[98.6, 74.9]",Ground Pass,,34.854267,,Incomplete,,Iñaki Williams Arthuer,6393.0,,,,,,1,Regular Play,Oihan Sancet Tirapu,30225.0,Center Attacking Midfield,4,Athletic Club,215,"['c7ed035d-36b1-4930-aac9-899ff17fa313', 'ee2f7fa5-45f4-491c-8812-ea7701aedaff']",40,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:40.408,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,0.97035,,,,,,,,,,,,f3daf575-778c-401d-a9dc-d02e96a4d33e,95,,"[93.9, 80.0]",303493,1,,,,,-1.1602389,,,,,,"[97.6, 71.5]",Low Pass,,9.270383,,,,Íñigo Lekue Martínez,6392.0,,,,,Throw-in,1,From Throw In,Óscar de Marcos Arana,6649.0,Right Back,5,Athletic Club,215,['67b0aa66-24dd-49b2-b4d2-ec53411aefde'],59,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:59.121,Pass,,2019/2020
