ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,"[25.7, 20.5]",,,,,,,,,,,,0.3824,,,,,,,,,,,,,,a4c7728d-0c12-443e-91db-87e2b2f50bbb,2503,,"[25.5, 20.1]",69319,58,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ignacio Pérez Santamaría,25892.0,Left Back,142,Real Betis,218,"['2e3f01bf-724a-487a-ad9f-42c9db520fb3', '46117856-ca3e-4ea3-bd0b-70d46fe7d712']",12,,,,,,,,,,,,,,,,,Real Betis,218,00:13:12.449,Carry,,2011/2012
,,"[40.0, 28.7]",,,,,,,,,,,,0.6593,,,,,,,,,,,,,,6d1505b6-4d49-4930-8e44-5023e116534e,2506,,"[40.0, 28.7]",69319,58,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Beñat Etxebarria Urkiaga,6396.0,Left Center Midfield,142,Real Betis,218,"['bcb57262-8ec6-4c53-957c-65a26a950151', 'dcf6fb71-4844-4a90-8c9b-594fd84fb088']",13,,,,,,,,,,,,,,,,,Real Betis,218,00:13:13.832,Carry,,2011/2012
,,"[35.4, 10.2]",,,,,,,,,,,,0.902,,,,,,,,,,,,,,99ee8724-1511-42b8-a4a7-d36df7c7a41a,2510,,"[36.0, 10.5]",69319,58,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ignacio Pérez Santamaría,25892.0,Left Back,142,Real Betis,218,"['976f0eb4-4839-4d5d-9507-093c9e850081', 'b3bad62f-f1aa-4a58-8217-752c9ed072dc', 'c383178d-cd9f-4d82-b4dd-5dbfc10d4933']",15,,,,,,,,,,,,,,,,,Real Betis,218,00:13:15.531,Carry,True,2011/2012
,,"[42.3, 5.4]",,,,,,,,,,,,0.2098,,,,,,,,,,,,,,c4b2aa88-135c-486d-af1d-77c81120dae1,2513,,"[42.3, 5.4]",69319,58,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alejandro Pozuelo Melero,16558.0,Right Center Forward,142,Real Betis,218,"['934b9bbe-4b68-40f1-9dd5-68a1bbfa01fa', 'd5f0691e-b795-40d8-9dd9-3a6d8d9b97ab']",16,,,,,,,,,,,,,,,,,Real Betis,218,00:13:16.648,Carry,,2011/2012
,,"[79.8, 63.0]",,,,,,,,,,,,2.374719,,,,,,,,,,,,,,bffcdc57-4339-421e-90ad-62e4d30879d7,2517,,"[78.7, 68.4]",69319,58,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,143,Barcelona,217,"['04fcc04c-b5a9-4fc1-be7b-fff7a59fb088', '385f3e77-361f-4e2d-a1a7-d0785914b8b2', '60e56a14-8c08-4d3d-b486-9e9d652382dc']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:13:18.301,Carry,True,2011/2012
,,"[87.1, 75.4]",,,,,,,,,,,,0.021475,,,,,,,,,,,,,,dc643b5b-1a4e-41ac-a3d2-45751d500984,2525,,"[87.1, 75.4]",69319,58,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Martín Montoya Torralbo,6593.0,Left Wing,144,Barcelona,217,"['d9e4ff44-b2b6-468e-b578-2113a5e12fed', 'ea218e5f-8b2e-4c26-8b0b-9da41e214597']",55,,,,,,,,,,,,,,,,,Barcelona,217,00:13:55.780,Carry,,2011/2012
,,"[88.4, 65.5]",,,,,,,,,,,,2.854201,,,,,,,,,,,,,,fbeff9e0-23b7-4368-884d-c04bc62cd6ff,2528,,"[83.7, 65.9]",69319,58,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,144,Barcelona,217,"['1c088e5e-b12f-4845-9e1d-318b4bd062a3', 'b5930dcf-8a10-4bb5-bdf1-1bf9cc3455d8', 'd713bfa0-3f9b-4ef4-90a1-823115884930']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:13:56.840,Carry,True,2011/2012
,,"[86.9, 64.5]",,,,,,,,,,,,0.129506,,,,,,,,,,,,,,d6b18f05-328f-4847-9551-3d427c63caf2,2534,,"[86.9, 64.2]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,144,Barcelona,217,"['5806d3f4-fb17-40c9-9791-31eba5b960db', '63b15ad7-2e34-4b61-a904-005babb3709c']",1,,,,,,,,,,,,,,,,,Barcelona,217,00:14:01.127,Carry,,2011/2012
,,"[78.9, 50.0]",,,,,,,,,,,,1.748358,,,,,,,,,,,,,,fc858ff9-0a7d-4feb-bb26-e75e3c2859f2,2537,,"[78.9, 50.0]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,144,Barcelona,217,"['576e4c8e-a7fc-425c-b933-82c306ecc151', 'd876a814-0268-4d33-a732-2b04218019dc']",2,,,,,,,,,,,,,,,,,Barcelona,217,00:14:02.577,Carry,,2011/2012
,,"[94.0, 56.9]",,,,,,,,,,,,0.353278,,,,,,,,,,,,,,3dc3e5da-b0b1-43c3-b549-20f8c527fced,2540,,"[93.8, 56.7]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,144,Barcelona,217,"['05bb395f-8593-4353-8b79-924037f19c06', '884f304d-5055-4d04-b066-6bf1c4d67f16']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:14:05.218,Carry,,2011/2012
,,"[65.0, 19.1]",,,,,,,,,,,,0.8,,,,,,,,,,,,,,b281b855-0f04-41d5-a77d-4cd3b4ff6210,2549,,"[65.0, 19.1]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Alejandro Pozuelo Melero,16558.0,Right Center Forward,145,Real Betis,218,"['82c4e3e1-380e-4c0e-9cf8-6f9e03c14666', '99352df9-1ff8-487e-a17e-b46927a93738']",27,,,,,,,,,,,,,,,,,Real Betis,218,00:14:27.159,Carry,,2011/2012
,,"[56.8, 27.3]",,,,,,,,,,,,0.8233,,,,,,,,,,,,,,63faced4-8711-4e84-bd5b-cae6d7a4c1f0,2552,,"[56.8, 27.3]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,José Alberto Cañas Ruiz Herrera,18407.0,Right Center Midfield,145,Real Betis,218,"['8945c6ea-85a3-4fad-b74d-16ae06bac3ea', 'de5e6ba5-b95e-42a6-b761-699c8ac1b888']",29,,,,,,,,,,,,,,,,,Real Betis,218,00:14:29.239,Carry,,2011/2012
,,"[91.3, 25.0]",,,,,,,,,,,,3.086793,,,,,,,,,,,,,,fc3bd8b1-af0d-41fd-b7ab-1d2d3b285447,2555,,"[69.4, 22.2]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Alejandro Pozuelo Melero,16558.0,Right Center Forward,145,Real Betis,218,"['1215ba1e-958c-488b-99c7-1f245b69d755', '2c81e80b-3fc2-42d2-945c-61cbc5e687e4', 'c84dbea2-08e0-4c56-b0f1-0192e7c40321']",30,,,,,,,,,,,,,,,,,Real Betis,218,00:14:30.779,Carry,True,2011/2012
,,"[103.0, 14.0]",,,,,,,,,,,,0.08,,,,,,,,,,,,,,4c2a97e0-921b-4fbd-b1aa-c0e876ce5a04,2559,,"[103.0, 14.2]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jonathan Pereira Rodríguez,23804.0,Right Midfield,145,Real Betis,218,"['46a5b361-2169-47c7-8043-5c759a790549', '738a338b-beac-46ca-b815-e3f045d993c8']",35,,,,,,,,,,,,,,,,,Real Betis,218,00:14:35.305,Carry,,2011/2012
,,"[36.3, 47.0]",,,,,,,,,,,,1.510435,,,,,,,,,,,,,,35347c5f-c3f2-4206-8665-4359f4e0b27a,2566,,"[25.7, 49.1]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,146,Barcelona,217,"['16df7fed-9dbe-4f15-b5d1-7035d3063693', '3903821d-c9c0-45fd-b6d8-56f309708075', '7e25ef86-e271-4b06-91e3-8e4c66c6434a', 'e7c82fbf-59b9-498b-a7b8-c78e93787f50']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:14:39.794,Carry,True,2011/2012
,,"[36.3, 47.0]",,,,,,,,,,,,1.486605,,,,,,,,,,,,,,4e39f5e8-16bc-4d81-b675-fe4c578ee77e,2569,,"[36.3, 47.0]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,146,Barcelona,217,"['16df7fed-9dbe-4f15-b5d1-7035d3063693', '3903821d-c9c0-45fd-b6d8-56f309708075', '552aca7d-5652-4231-9d37-7d2dedc735dd']",41,,,,,,,,,,,,,,,,,Barcelona,217,00:14:41.305,Carry,True,2011/2012
,,"[66.5, 38.8]",,,,,,,,,,,,0.120009,,,,,,,,,,,,,,39840e9d-636a-4254-ab06-b512b15ec804,2575,,"[66.5, 38.8]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Beñat Etxebarria Urkiaga,6396.0,Left Center Midfield,146,Barcelona,217,"['e904bc8c-bd85-4a34-9145-f4186c3aaf52', 'eb50973f-9f9a-4791-8f5c-231908c0d611']",47,,,,,,,,,,,,,,,,,Real Betis,218,00:14:47.234,Carry,,2011/2012
,,"[37.9, 20.5]",,,,,,,,,,,,2.293679,,,,,,,,,,,,,,2da6cc63-9eaa-400e-a58b-ae2ccfd9e88c,2580,,"[35.8, 20.1]",69319,59,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Adriano Correia Claro,22102.0,Left Back,146,Barcelona,217,"['16b4a98b-18c3-4f2b-83c2-8609e3d3262f', 'ee03e372-883f-4019-bcdf-312e9a671e1d']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:14:49.915,Carry,,2011/2012
