bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,"[94.1, 19.4]",,,,,,,,,,,,0.233604,,,,,,,,,,,,,,,d866fb0d-4024-4451-a45b-17bcf58fc50f,710,,"[94.6, 18.8]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Left Center Midfield,31,Barcelona,217,"['0d19d4fe-b185-4ab9-88ed-77445ca4b641', '1334ae60-da9c-4c45-8c68-c7816faddcc3']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:25.511,Carry,,2019/2020
,,,,,,"[79.7, 15.5]",,,,,,,,,,,,3.407989,,,,,,,,,,,,,,,903ee7b9-c4bc-4fe8-bff4-7c99cc4a27f2,713,,"[91.2, 23.4]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ricard Puig Martí,24841.0,Center Attacking Midfield,31,Barcelona,217,"['13eeb15e-e0b2-40e7-b1bf-6fd9e3e427de', 'e450e43b-2fcc-4bad-8770-54c26f5886dd']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:26.466,Carry,,2019/2020
,,,,,,"[64.3, 25.6]",,,,,,,,,,,,0.82113,,,,,,,,,,,,,,,1d3853be-25ff-4bb5-9e70-d4271c3de6eb,716,,"[63.6, 24.5]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,31,Barcelona,217,"['1eae4618-a5dc-428f-94a7-fbfa2562fa2e', '78b2ac50-0b72-4225-b477-1d9e4283c362']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:30.977,Carry,,2019/2020
,,,,,,"[69.9, 53.3]",,,,,,,,,,,,2.4831,,,,,,,,,,,,,,,70cc3345-d8c2-4657-84ab-74d34dbf56e1,719,,"[68.4, 49.9]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,31,Barcelona,217,"['13308114-d85c-432f-9c45-2e94298be9c1', '5e9af37f-24eb-414b-8a6e-8224c897a8a7']",33,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:33.554,Carry,,2019/2020
,,,,,,"[95.8, 70.9]",,,,,,,,,,,,2.241713,,,,,,,,,,,,,,,23c20955-3f22-40ad-8f44-9a75b179f09e,722,,"[92.7, 71.9]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,31,Barcelona,217,"['297c8276-4b70-4f9a-966b-cac62b91054a', 'b03eaf74-b208-4693-b337-27ba1ea4ebab']",37,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:37.664,Carry,,2019/2020
,,,,,,"[16.3, 21.4]",,,,,,,,,,,,1.723275,,,,,,,,,,,,,,,39708ca5-9643-4fe1-81cb-112c3bff9c35,727,,"[15.2, 24.5]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Saúl Ñíguez Esclapez,6381.0,Left Defensive Midfield,31,Barcelona,217,"['7ccf3e53-7144-4e10-a36c-357d8ab00a10', 'bea040c9-a9f0-4d43-b38e-9799f827a2ac', 'cf71c2e8-a469-41d3-b550-55c6f590bc29']",41,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:21:41.561,Carry,True,2019/2020
,,,,,,"[110.1, 70.8]",,,,,,,,,,,,1.961928,,,,,,,,,,,,,,,ffefeaf8-d4ae-4c31-899a-ea08ec3a5ec6,730,,"[106.2, 58.3]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nélson Cabral Semedo,6374.0,Right Back,31,Barcelona,217,"['c3436604-587e-4893-9e1d-6fa8f459cd09', 'd3bcf703-45f3-40bc-8a8d-a341207785a3']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:43.188,Carry,,2019/2020
,,,,,,"[102.9, 58.3]",,,,,,,,,,,,1.704766,,,,,,,,,,,,,,,1e4b23fc-c0ca-4f88-8852-0fb211d5b2ae,737,,"[98.0, 64.0]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,31,Barcelona,217,"['15803e8d-a51c-4f66-b6a5-60c68ecbdadd', '519f189f-22dc-4515-a66b-9a7b1654f0c3', '84aecc36-385d-4c6e-bd97-b1e408e1165c']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:47.235,Carry,True,2019/2020
,,,,,,"[56.3, 42.4]",,,,,,,,,,,,0.387492,,,,,,,,,,,,,,,a01632ed-7e82-458d-a808-486353ef36e9,752,,"[58.0, 39.0]",303696,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,33,Barcelona,217,"['6e862421-d42a-406c-811f-c3a2249a0e73', 'bdce2605-9576-4a4b-a570-8bfd94f28da1', 'f923c90f-8a57-4405-9a5f-fe2959077af9']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:22:31.069,Carry,True,2019/2020
,,,,,,"[85.0, 32.9]",,,,,,,,,,,,10.964843,,,,,,,,,,,,,,,27fc60d8-2e57-463c-850b-0014763c31b4,756,,"[77.4, 34.0]",303696,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marcos Llorente Moreno,6840.0,Right Center Forward,34,Atlético Madrid,212,"['128b9351-30cc-4527-b2ed-7728401110ed', '3b101f69-bacb-4b9f-9d9c-ecffd5e89708']",32,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:22:32.900,Carry,,2019/2020
,,,,,,"[85.8, 55.2]",,,,,,,,,,,,1.249638,,,,,,,,,,,,,,,a2fd2664-c497-4bcc-b101-6cfbea8af357,759,,"[84.3, 49.8]",303696,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Thomas Teye Partey,6383.0,Right Defensive Midfield,34,Atlético Madrid,212,"['48867069-5879-475b-8da6-cbe992dc3318', 'ac4671a5-db53-4dd3-b1c6-eec215666c6c', 'ccb63ab7-6205-4828-831f-447b789cac13']",45,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:22:45.056,Carry,True,2019/2020
,,,,,,"[84.8, 67.1]",,,,,,,,,,,,1.717576,,,,,,,,,,,,,,,d41444fe-88b3-4b9d-b62e-ee91732bb6a8,763,,"[83.9, 67.1]",303696,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Santiago Arias Naranjo,5696.0,Right Back,34,Atlético Madrid,212,"['3809fb30-53e7-4116-bafe-f6a9c92bf51e', 'f6b372e4-8b5e-43a6-8fde-ca8528b4784b']",47,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:22:47.816,Carry,,2019/2020
,,,,,,"[92.1, 53.5]",,,,,,,,,,,,0.785423,,,,,,,,,,,,,,,40cf4b6a-6d37-41a3-96a9-7cb75c6b4b4a,767,,"[92.6, 55.8]",303696,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ángel Martín Correa,6377.0,Right Midfield,34,Atlético Madrid,212,"['2ff33316-80b5-4f9a-bbef-6f897ef09c1a', '479f44f3-cc35-4969-b24e-36c6ba66e46c', '59c4cd30-e082-49c7-94a0-a217861b599e']",50,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:22:50.333,Carry,True,2019/2020
,,,,,,"[98.6, 27.3]",,,,,,,,,,,,2.044875,,,,,,,,,,,,,,,2e7702c6-d378-4235-b6b4-7c09e63e8abf,773,,"[93.8, 31.3]",303696,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yannick Ferreira Carrasco,5633.0,Left Midfield,34,Atlético Madrid,212,"['49e6dd0a-b525-4819-8377-d061ac5830cf', 'b5dde645-df5e-45df-b6ed-642cef8e374d', 'bd1f29e3-9098-4c9f-bbe4-633ba4b50170']",54,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:22:54.122,Carry,True,2019/2020
,,,,,,"[111.4, 19.9]",,,,,,,,,,,,0.04,,,,,,,,,,,,,,,b8252b0d-dbbf-4ec3-b36a-f51ac7ba4103,777,,"[111.4, 19.9]",303696,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Renan Augusto Lodi dos Santos,26532.0,Left Back,34,Atlético Madrid,212,"['0831a6c7-ca53-415f-877e-87481e5b5507', '9798b67e-4537-46fc-8371-c25f0126c5db']",57,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:22:57.476,Carry,,2019/2020
,,,,,,"[12.0, 43.6]",,,,,,,,,,,,5.999998,,,,,,,,,,,,,,,dc5484b0-1430-4730-958a-b5cf1ed65884,780,,"[4.1, 40.3]",303696,22,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Marc-André ter Stegen,20055.0,Goalkeeper,35,Barcelona,217,"['2c2bbfdf-23fa-4100-aa4b-bfb335e48704', 'b37f3579-2cce-44f6-9246-4a579c169a35']",58,,,,,,,,,,,,,,,,,,Barcelona,217,00:22:58.700,Carry,,2019/2020
