50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.4405,,,,,,,,,,,,,998853d3-6175-4070-996c-af71a2c33385,1210,,"[63.9, 59.8]",69181,27,,True,,,-2.1112158,,Right Foot,,,"[55.2, 45.3]",,Ground Pass,16.909761,,,,Andrés Iniesta Luján,5216.0,,,,,Free Kick,1,From Free Kick,Xavier Hernández Creus,20131.0,Center Defensive Midfield,66,Barcelona,217,['ff868a22-07cc-4a85-b216-a389a932a11a'],17,,,,,,,,,,,,,,,,Barcelona,217,00:27:17.142,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.8192,,,,,,,,,,,,,7af56599-21a9-4405-8291-e834ec98a4d4,1212,,"[54.7, 45.5]",69181,27,,,,,-2.0462081,,Right Foot,,,"[46.0, 28.6]",,Ground Pass,19.007893,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,66,Barcelona,217,['00bc4d5e-709d-4940-9d0e-d98f0d7aae73'],18,,,,,,,,,,,,,,,,Barcelona,217,00:27:18.001,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.3636,,,,,,,,,,,,,f34398cd-f783-4bae-85df-d56699bc24d4,1215,,"[46.0, 27.0]",69181,27,,,,,1.1984435,,Right Foot,,,"[57.6, 56.7]",,Ground Pass,31.884949,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Left Center Back,66,Barcelona,217,['563eb5ce-9c12-4c72-b8e6-a7346f12599d'],22,,,,,,,,,,,,,,,,Barcelona,217,00:27:22.161,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.168,,,,,,,,,,,,,fddcf104-527f-45ce-b81d-cf95fe7ba429,1218,,"[62.9, 60.7]",69181,27,,,,,0.008928334,,Right Foot,,,"[74.1, 60.8]",,Ground Pass,11.200446,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Center Defensive Midfield,66,Barcelona,217,['6a096a4c-5201-4007-8d44-edd1c0876d93'],24,,,,,,,,,,,,,,,,Barcelona,217,00:27:24.834,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.5819,,,,,,,,,,,,,2ffe1a8c-4d33-436b-a2c6-82687bc0b5ec,1223,,"[48.7, 21.2]",69181,27,,,,,-0.49312967,,Right Foot,,,"[63.4, 13.3]",,Ground Pass,16.68832,,,,Francisco Javier Yeste Navarro,26035.0,,,,,Recovery,1,Regular Play,David López Moreno,25869.0,Left Wing,67,Athletic Club,215,['6983705b-1a82-4f40-87eb-0630db6883a4'],28,,,,,,,,,,,,,,,,Athletic Club,215,00:27:28.336,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.3128,,,,,,,,,,,,,40d0ca0b-7c83-4eb3-93ee-9c5a8761b5eb,1227,,"[74.7, 15.7]",69181,27,,,,,2.0572143,,Left Foot,,,"[64.6, 34.8]",,Ground Pass,21.606018,,,,Pablo Orbaiz Lesaka,26086.0,,,,,,1,Regular Play,Francisco Javier Yeste Navarro,26035.0,Center Attacking Midfield,67,Athletic Club,215,['8234b853-137b-400d-ab3f-d9a8a9367a0e'],35,,,,,,,,,,,,,,,,Athletic Club,215,00:27:35.056,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.1254,,,,,,,,,,,,,0fde0467-9e9e-4c84-a3fb-6f74849f494d,1230,,"[64.6, 34.8]",69181,27,,,,,-1.6685232,,Right Foot,,,"[63.1, 19.5]",,Ground Pass,15.373354,,,,Javier Martínez Aginaga,9399.0,,,,,,1,Regular Play,Pablo Orbaiz Lesaka,26086.0,Right Defensive Midfield,67,Athletic Club,215,['73014a4f-e481-44bb-8be0-a1b612a19d09'],36,,,,,,,,,,,,,,,,Athletic Club,215,00:27:36.408,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.7118,,,,,,,,,,,,,4c6a99f8-444c-44c6-9db3-b8f700a6aa6a,1233,,"[64.1, 15.7]",69181,27,,,,,-0.9285973,,Right Foot,,,"[73.3, 3.4]",,Ground Pass,15.360013,,,,Koikili Lertxundi Del Campo,26479.0,,,,,,1,Regular Play,Javier Martínez Aginaga,9399.0,Left Defensive Midfield,67,Athletic Club,215,['f37e9003-1192-41d5-a43e-8974fe23a64d'],37,,,,,,,,,,,,,,,,Athletic Club,215,00:27:37.679,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.082,,,,,,,,,,,,,e002cd65-7188-4cd4-8e95-e96a67acf0ff,1236,,"[77.9, 14.2]",69181,27,,,,,1.0506506,d0e1969c-1223-43a8-b5bd-a29122314d95,Left Foot,,,"[96.4, 46.5]",,Ground Pass,37.222843,,,,Markel Susaeta Laskurain,6390.0,True,,,,,1,Regular Play,Koikili Lertxundi Del Campo,26479.0,Left Back,67,Athletic Club,215,['3c677343-600d-4c8c-9278-80fde767a8c1'],42,,,,,,,,,,,,,,,,Athletic Club,215,00:27:42.348,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.2737,,,,,,,,,,,,,a75c01fd-d968-455c-af17-bb180344576a,1248,,"[40.2, 27.5]",69181,27,,,,,-1.7935565,,Right Foot,,,"[36.1, 9.4]",,Ground Pass,18.558556,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,Regular Play,Bojan Krkíc Pérez,4913.0,Center Forward,68,Barcelona,217,['2783a67d-4b05-4650-95df-77c90f725322'],52,,,,,,,,,,,,,,,,Barcelona,217,00:27:52.115,Pass,,2007/2008
