bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,"[90.3, 14.8]",,,,,,,,,,,,0.929561,,,,,,,,,,,,,685975be-1b66-4dec-b021-935a2d8d78f5,1413,,"[91.7, 14.0]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,71,Barcelona,217,"['2049e903-1cf6-4f0d-ab26-966160f351e7', 'c6db40a8-c300-4bfc-bd6b-70aafc05374e']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:32:22.346,Carry,,2017/2018
,,,,,"[68.9, 29.2]",,,,,,,,,,,,1.245239,,,,,,,,,,,,,36100671-1340-4336-801b-9471639d37fb,1416,,"[70.8, 24.6]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,71,Barcelona,217,"['38725050-70d2-4ed6-af05-0f8d2c777e5d', '65d0a66d-52bf-44a5-bf5f-43ccf43cf388']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:32:24.528,Carry,,2017/2018
,,,,,"[89.5, 70.4]",,,,,,,,,,,,2.857089,,,,,,,,,,,,,a84d6b06-91bb-48c9-a8c3-d984344b4eb3,1419,,"[83.6, 70.4]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,71,Barcelona,217,"['5c35fd4e-fc02-46e5-b26f-7e4cbf8ae555', '8dea31ac-47fe-41d2-9a36-498dafbc4e44']",27,,,,,,,,,,,,,,,,,Barcelona,217,00:32:27.698,Carry,,2017/2018
,,,,,"[90.6, 66.3]",,,,,,,,,,,,0.833672,,,,,,,,,,,,,a816d0bb-1aa4-45e1-adcc-d01d956e0d04,1422,,"[93.3, 64.4]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,71,Barcelona,217,"['6d754d6e-e955-440e-8ae9-912965b4740a', 'aec3b5af-9a9c-4396-9fff-cad299aa2d93']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:32:31.183,Carry,,2017/2018
,,,,,"[79.8, 38.4]",,,,,,,,,,,,3.696574,,,,,,,,,,,,,fc422af5-a0e6-4e82-9bb1-28f5899d5adb,1425,,"[75.4, 48.2]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,71,Barcelona,217,"['13e2ef8b-7567-4877-a38a-f9666d122535', 'a20bc080-2fdd-4434-b432-3538d350c1f3']",33,,,,,,,,,,,,,,,,,Barcelona,217,00:32:33.610,Carry,,2017/2018
,,,,,"[84.6, 19.1]",,,,,,,,,,,,3.53588,,,,,,,,,,,,,617a14c1-a4f4-4d9e-8858-8660d84c7234,1428,,"[80.6, 18.6]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yerry Fernando Mina González,6196.0,Left Center Back,71,Barcelona,217,"['05ab7004-8315-4d16-b817-9d923ae55191', '9f0e4524-c001-42a0-896f-ad9a5b541ac0']",38,,,,,,,,,,,,,,,,,Barcelona,217,00:32:38.662,Carry,,2017/2018
,,,,,"[83.6, 38.9]",,,,,,,,,,,,1.841205,,,,,,,,,,,,,a444478b-32d5-47c3-8c88-dca69f289f94,1431,,"[83.0, 36.8]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,71,Barcelona,217,"['3e971d95-2899-410b-8dc2-a181644190ce', '6065e970-b638-4d46-972e-f700d799b713']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:32:43.210,Carry,,2017/2018
,,,,,"[100.9, 53.6]",,,,,,,,,,,,2.069583,,,,,,,,,,,,,703b2e62-5eb3-4da1-a344-caf8df9b5639,1434,,"[88.2, 59.6]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,71,Barcelona,217,"['2cbee24b-927e-49af-b8df-9e1a0d1d5860', 'aab6c69d-e930-4f65-8510-f068bda11411', 'ab239f36-c2f8-4f77-8654-c9c6d7ebe41b']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:32:46.458,Carry,True,2017/2018
,,,,,"[18.9, 30.3]",,,,,,,,,,,,1.100296,,,,,,,,,,,,,2b926774-ef7d-421b-9ce3-ef94ffd91278,1440,,"[18.4, 30.6]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Asier Illarramendi Andonegi,6671.0,Right Defensive Midfield,72,Real Sociedad,210,"['08c48584-e921-4a52-99ca-6dd96a6620d2', '9ea8bf80-c24d-4b50-87c1-44fd7027ad9c']",49,,,,,,,,,,,,,,,,,Real Sociedad,210,00:32:49.459,Carry,,2017/2018
,,,,,"[49.8, 58.3]",,,,,,,,,,,,1.341741,,,,,,,,,,,,,02067929-2a6c-4bb2-9b07-2e027d4e1190,1448,,"[39.3, 61.0]",9948,33,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Diego Javier Llorente Ríos,6713.0,Right Center Back,73,Real Sociedad,210,"['6768884a-1d91-40f7-bf41-d61611a555ba', '987c75f1-8ca5-4b7d-8d26-2943ede25a2d']",20,,,,,,,,,,,,,,,,,Real Sociedad,210,00:33:20.230,Carry,,2017/2018
,,,,,"[58.6, 14.0]",,,,,,,,,,,,0.039998002,,,,,,,,,,,,,b02745d6-6de8-4da7-81d7-bf6bc1dcc5a6,1452,,"[58.6, 14.0]",9948,33,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,74,Barcelona,217,"['48d50426-b8b9-45ed-9eb3-516aa568e75a', 'fcea5581-8f39-4852-b39e-0e6e23e9336d']",23,,,,,,,,,,,,,,,,,Barcelona,217,00:33:23.816,Carry,,2017/2018
,,,,,"[69.4, 15.6]",,,,,,,,,,,,0.04,,,,,,,,,,,,,ec30c0d1-3a89-4037-b127-cf472cdf7a3c,1456,,"[69.7, 17.5]",9948,33,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,74,Barcelona,217,"['0a765eff-da05-4eb6-b826-33248e6d784f', '91a976d3-d69f-4b52-b86c-c5cacf7fa7f8', '93141a55-0758-43dc-8fea-8497f9fdf6a7']",25,,,,,,,,,,,,,,,,,Barcelona,217,00:33:25.127,Carry,True,2017/2018
