50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.810113,,,,,,,,,,,,,,,,f1d2e63b-3f90-4545-be50-2be25b1647eb,58,,"[8.9, 55.3]",69307,1,,,,,0.89463896,,Right Foot,,,"[22.7, 72.5]",,Ground Pass,,22.051758,,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['84a14c2b-4c60-4b92-86d4-c7101db7dae4'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.702,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.360176,,,,,,,,,,,,,,,,fa2f796e-e291-4d80-acd2-d92975de09d8,62,,"[22.0, 75.3]",69307,1,,,,,-1.0815601,,Right Foot,,,"[33.5, 53.7]",,Ground Pass,,24.470594,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['3e0b3228-efbd-4025-bbe6-6ef3cee60ebd'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.324,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.8313,,,,,,,,,,,,,,,,9188099a-9c82-4c99-ba54-528bd11c5ee0,66,,"[28.5, 62.2]",69307,1,,,,,-0.28532943,,Left Foot,,,"[43.5, 57.8]",,Ground Pass,,15.632018,,,Incomplete,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,"['3221f11f-8440-4412-9944-20d702668d69', 'f5171b14-9e27-4b92-909a-6d9414a80505']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.784,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.72791,,,,,,,,,,,,,,,,3221f11f-8440-4412-9944-20d702668d69,68,,"[76.6, 22.3]",69307,1,,,,,0.7127987,,Right Foot,,,"[88.4, 32.5]",,Ground Pass,,15.597436,,,,,Juan Francisco Torres Belén,6375.0,,,,,Recovery,1,Regular Play,Francisco Puñal Martínez,25874.0,Left Defensive Midfield,7,Osasuna,422,"['135662bc-3db0-478c-adf3-2c3653980cb3', '9188099a-9c82-4c99-ba54-528bd11c5ee0']",8,,,,,,,,,,,,,,,,,Osasuna,422,00:01:08.616,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.395015,,,,,,,,,,,,,,,,f65bab25-b2ef-4451-9fdc-71a5a1e57ba5,71,,"[88.4, 32.5]",69307,1,,,,,-1.0452125,,Right Foot,,,"[97.1, 17.5]",,Ground Pass,,17.340416,,,,,Javier Camuñas Gallego,26169.0,,,,,,1,Regular Play,Juan Francisco Torres Belén,6375.0,Right Wing,7,Osasuna,422,['9f6cde0f-7a5c-4468-8d4f-98602daa8414'],10,,,,,,,,,,,,,,,,,Osasuna,422,00:01:10.549,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.313552,,,,,,,,,,,,,,,,88827c38-522b-4a5c-a592-11ce45ca75cf,74,,"[107.0, 19.8]",69307,1,,,,,2.9053473,60c2b431-fba3-4b83-849e-407958f3937b,Right Foot,,,"[96.2, 22.4]",,Ground Pass,,11.108555,,,,,Masoud Shojaei Soleimani,5238.0,True,,,,,1,Regular Play,Javier Camuñas Gallego,26169.0,Center Forward,7,Osasuna,422,['921f1594-c59e-4cd6-bfe2-42bbf228bde3'],14,,,,,,,,,,,,,,,,,Osasuna,422,00:01:14.652,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.7712,,,,,,,,,,,,,,,,4f3180c3-3dba-4072-8c92-0a46a7e78d0f,84,,"[120.0, 0.1]",69307,1,,,,,1.64706,,Right Foot,,,"[117.7, 30.2]",,High Pass,True,30.187746,,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Francisco Puñal Martínez,25874.0,Left Defensive Midfield,8,Osasuna,422,['aa3172d6-f1cc-485f-af1c-69b7071b2f1e'],54,,,,,,,,,,,,,,,,,Osasuna,422,00:01:54.898,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.6126,,,,,,,,,,,,,,,,fbf645c9-b370-4d12-a59d-1c074d7c0d28,87,,"[46.6, 59.9]",69307,2,,,,,-0.821527,,Head,,,"[50.6, 55.6]",,High Pass,,5.872819,,,Incomplete,,,,,,,,Recovery,1,From Corner,David Villa Sánchez,12737.0,Left Wing,8,Osasuna,422,['4f56f600-590a-42c5-87f2-b6712bcb669b'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.111,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.4025,,,,,,,,,,,,,,,,4f56f600-590a-42c5-87f2-b6712bcb669b,88,,"[69.5, 24.5]",69307,2,,,,,0.07485985,,Left Foot,,,"[73.5, 24.8]",,Low Pass,,4.0112343,,,Incomplete,,,,,,,,Recovery,1,From Corner,Javad Nekounam,26002.0,Right Defensive Midfield,8,Osasuna,422,"['aeb63644-6471-430c-8001-4093e9f8359c', 'fbf645c9-b370-4d12-a59d-1c074d7c0d28']",2,,,,,,,,,,,,,,,,,Osasuna,422,00:02:02.724,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.8887,,,,,,,,,,,,,,,,56f0ad81-1c9c-4b75-8bd6-67682adfbe76,97,,"[65.7, 4.5]",69307,2,,,,,-0.024994794,,Left Foot,,,"[77.7, 4.2]",,Ground Pass,,12.00375,,,,,Masoud Shojaei Soleimani,5238.0,,,,,,1,From Corner,Javad Nekounam,26002.0,Right Defensive Midfield,8,Osasuna,422,"['2b399896-1fe6-40f0-94e1-8b727688d774', 'f10a50e7-d7a5-44e6-9352-2e904843b6f5']",6,,,,,,,,,,,,,,,,,Osasuna,422,00:02:06.675,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.440998,,,,,,,,,,,,,,,,906c9504-37ac-49f5-a5cd-b2d487cbfe4d,103,,"[81.8, 6.6]",69307,2,,,,,-0.11848996,,Left Foot,,,"[86.0, 6.1]",,Ground Pass,,4.229657,,,,,Javier Camuñas Gallego,26169.0,,,,,Recovery,1,From Corner,Masoud Shojaei Soleimani,5238.0,Left Wing,8,Osasuna,422,"['57f3d98f-91fd-4502-9a2b-693ce79fde9e', 'bbf6ab86-cfdb-4e1b-8498-adc856699216']",8,,,,,,,,,,,,,,,,,Osasuna,422,00:02:08.172,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.316492,,,,,,,,,,,,,,,,f9cb4a20-084f-4ad2-a6f4-0cda7e7d4161,115,,"[109.3, 2.8]",69307,2,,,,,1.5981867,,Left Foot,True,,"[108.5, 32.0]",,Low Pass,,29.210957,,,Incomplete,,Fernando Soriano Marco,26435.0,,,,,,1,From Corner,Javier Camuñas Gallego,26169.0,Center Forward,8,Osasuna,422,"['2b1bd6b9-1437-4b7a-98df-b45ce0fe5a34', '94be7b48-e9f8-4e12-b12e-0731cc444d11', 'e59e5001-a82d-4885-af56-22c45c069892']",13,,,,,,,,,,,,,,,,,Osasuna,422,00:02:13.150,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,3.075579,,,,,,,,,,,,,,,,86639023-6a82-4880-bdb5-81c01c134661,118,,"[120.0, 0.1]",69307,2,,True,,,1.704785,,Right Foot,,,"[115.7, 32.0]",,High Pass,True,32.188507,,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Francisco Puñal Martínez,25874.0,Left Defensive Midfield,9,Osasuna,422,['4f871ce1-e0d2-4dc2-bead-285fce6efed0'],30,,,,,,,,,,,,,,,,,Osasuna,422,00:02:30.373,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.3498,,,,,,,,,,,,,,,,ecb62497-2582-4557-b751-f350b9fbd2e3,120,,"[77.3, 23.1]",69307,2,,,,,0.5184555,,Head,,,"[92.9, 32.0]",,High Pass,,17.960234,,,Incomplete,,,,,,,,Recovery,1,From Corner,Ignacio Monreal Eraso,3498.0,Left Back,9,Osasuna,422,['cc0ef3f3-4774-4ce2-8ea2-77915bfcc3ac'],36,,,,,,,,,,,,,,,,,Osasuna,422,00:02:36.803,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.5775,,,,,,,,,,,,,,,,8cc5413d-7934-4e63-b05a-8a3a7bc143b7,125,,"[40.4, 53.2]",69307,2,,,,,0.6283316,,Right Foot,,,"[53.2, 62.5]",,Ground Pass,,15.82182,,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,10,Barcelona,217,['1f632d6b-6c5a-480a-ad62-52264470a0de'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:02:43.137,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.747732,,,,,,,,,,,,,,,,43f73745-5177-4418-84b0-10827d16c2f7,129,,"[55.0, 60.5]",69307,2,,,,,-1.5031033,,Right Foot,,,"[55.4, 54.6]",,Ground Pass,,5.9135437,,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,10,Barcelona,217,['df01c75e-cbf7-4a43-bd0d-54938974ed62'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:02:47.551,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.342636,,,,,,,,,,,,,,,,0cd92d3c-9e82-464d-a4e0-e6953cf0daf3,132,,"[55.4, 54.6]",69307,2,,,,,0.65107673,,Right Foot,,,"[65.9, 62.6]",,Low Pass,,13.200378,,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,10,Barcelona,217,['6ca64aa7-21d3-4812-89b3-7ae8f7be6f6f'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:02:48.432,Pass,,2010/2011
,,,,,,,,,,,,,,,,,0.7604,,,,,,,,,,,,,,,,bec2ba71-8b0d-4bac-84f8-f9f8eb12b565,136,,"[64.5, 62.1]",69307,2,,,,,-0.6000502,,Right Foot,,,"[68.3, 59.5]",,Ground Pass,,4.604346,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,10,Barcelona,217,"['41674d15-1ca7-40e5-adb3-aaf401cb6ea9', '984ae68c-6b5d-478d-bea7-3c0ab750a796']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:02:49.815,Pass,True,2010/2011
