bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.315192,,,,,,,,,,,,,01b23426-e9b4-4b4c-8b3c-5ee274d0fe1e,52,,"[7.3, 36.0]",3773474,0,,,,,1.1438209,,Right Foot,,,,"[27.0, 79.3]",Ground Pass,47.57079,,,Out,,Sergino Dest,21881.0,,True,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['450b90c9-ccb3-47c7-bafc-8cfdbf3c279f'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.698,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.128784,,,,,,,,,,,,,1d1e8361-9f97-459e-89fc-b52636dd8055,54,,"[93.4, 0.1]",3773474,0,,,,,1.0702528,,,,,,"[99.8, 11.8]",Low Pass,13.336041,,,,,Sergio Guardiola Navarro,17027.0,,,,,Throw-in,1,From Throw In,José Ignacio Martínez García,11298.0,Left Wing Back,4,Real Valladolid,901,['e2a2f7c2-4936-4453-b7c6-46b44541cabd'],58,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:58.544,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.62267,,,,,,,,,,,,,f88e1541-103d-4e87-bb9e-d3d576055e6b,58,,"[92.9, 6.9]",3773474,1,,,,,-0.69192135,,Left Foot,,,,"[96.4, 4.0]",Ground Pass,4.545327,,,,,José Ignacio Martínez García,11298.0,,,,,,1,From Throw In,Sergio Guardiola Navarro,17027.0,Right Center Forward,4,Real Valladolid,901,"['9429fdef-438f-43a7-b24a-9d95060d3d73', 'e7121362-6681-46a8-92e7-6daef34cdda7']",1,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:01.439,Pass,True,2020/2021
,,,,,,,,,,,,,,,,1.076844,,,,,,,,,,,,,87f447a6-d84e-4eca-8129-97e86fb9aaea,62,,"[97.2, 5.1]",3773474,1,,,,,3.1415927,,Left Foot,,,,"[78.4, 5.1]",Ground Pass,18.8,,,,,Rubén Alcaraz Jiménez,11300.0,,,,,,1,From Throw In,José Ignacio Martínez García,11298.0,Left Wing Back,4,Real Valladolid,901,"['432b1ce5-df4b-48f4-a361-7aeeb650b52c', 'ea2883a3-de81-45c8-bf2d-699218f8f583']",2,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:02.548,Pass,True,2020/2021
,,,,,,,,,,,,,,,,3.654527,,,,,,,,,,,,,48f912bb-8210-4ebc-b5a5-c09c17f7558e,66,,"[78.1, 5.6]",3773474,1,,,,,1.5707964,,Right Foot,,,,"[78.1, 74.2]",High Pass,68.6,,,,,Saidy Janko,3417.0,,True,,,,1,From Throw In,Rubén Alcaraz Jiménez,11300.0,Left Center Midfield,4,Real Valladolid,901,['27f16d37-ffe9-46b7-adc6-65298880fbfe'],5,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:05.665,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.431142,,,,,,,,,,,,,da818baa-250a-45e2-9103-962beabd2d27,69,,"[77.8, 73.9]",3773474,1,,,,,-0.723462,,Head,,,,"[91.5, 61.8]",High Pass,18.278402,,,Incomplete,,,,,,,,,1,From Throw In,Saidy Janko,3417.0,Right Wing Back,4,Real Valladolid,901,"['8907f5a0-334d-46b9-9445-9cf85e92f43c', 'd4cec4af-e136-4a4b-a2d0-5875c506efa4']",9,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:09.319,Pass,True,2020/2021
,,,,,,,,,,,,,,,,3.050488,,,,,,,,,,,,,8907f5a0-334d-46b9-9445-9cf85e92f43c,70,,"[28.6, 18.3]",3773474,1,,,,,0.102117054,,Head,,,,"[56.9, 21.2]",High Pass,28.448198,,,,,Ousmane Dembélé,5477.0,,,,,Recovery,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,4,Real Valladolid,901,"['da818baa-250a-45e2-9103-962beabd2d27', 'ee00a603-c80a-4e14-a1f5-87d54f12fdc3']",10,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.751,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.689254,,,,,,,,,,,,,971abd1e-4745-4454-9270-7c36c2acdf0b,72,,"[56.9, 21.2]",3773474,1,,,,True,0.74876535,,,,,,"[66.8, 30.4]",Low Pass,13.514807,,,Incomplete,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Center Forward,4,Real Valladolid,901,"['1ca2a154-992c-4f0d-9089-077882e8f321', '2544b2e2-06a7-4109-80d0-13fb911d18f9', '54061ef9-4d75-436b-a70d-6d16f5dfb872']",13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.841,Pass,True,2020/2021
,,,,,,,,,,,,,,,,3.216432,,,,,,,,,,,,,a3ff8b84-7dd8-41c1-a3b9-d82da0fece9f,78,,"[45.2, 48.2]",3773474,1,,,,,-3.0041666,,Right Foot,,,,"[7.6, 43.0]",Ground Pass,37.95787,,,,,Jordi Masip López,11302.0,,,,,,1,From Throw In,Rubén Alcaraz Jiménez,11300.0,Left Center Midfield,4,Real Valladolid,901,['9b5fc089-64bf-437e-8ad5-0e73c91b5c7c'],17,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:17.076,Pass,,2020/2021
,,,,,,,,,,,,,,,,3.176431,,,,,,,,,,,,,23f92077-5bac-44e4-9b4b-ea4d977682d6,82,,"[8.8, 44.1]",3773474,1,,,,,-0.28469288,,Right Foot,,,,"[68.6, 26.6]",High Pass,62.308025,,,Incomplete,,Sergio Guardiola Navarro,17027.0,,,,,,1,From Throw In,Jordi Masip López,11302.0,Goalkeeper,4,Real Valladolid,901,"['2a5de1ac-4bd3-45dd-bc7d-ce5ce8f8a33c', '664cc8a1-af58-491c-a046-6721f5d9b239', 'b3841127-3c56-443d-940b-b8758fad197b']",21,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:21.684,Pass,True,2020/2021
,,,,,,,,,,,,,,,,1.496124,,,,,,,,,,,,,664cc8a1-af58-491c-a046-6721f5d9b239,84,,"[51.5, 53.5]",3773474,1,,,,,-0.88467234,,Head,,,,"[62.8, 39.7]",Low Pass,17.836199,,,Incomplete,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,From Throw In,Óscar Mingueza García,43728.0,Right Center Back,4,Real Valladolid,901,"['16db1218-39b2-4044-8abf-26d30a4fafd5', '23f92077-5bac-44e4-9b4b-ea4d977682d6', 'c9e1f469-97a7-40e6-8a5f-3522f482be19']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.860,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.836854,,,,,,,,,,,,,1f9a0745-d231-4237-950a-690cb2d859b8,89,,"[58.4, 29.1]",3773474,1,,,,,-1.771082,,Right Foot,,,,"[55.7, 15.8]",Ground Pass,13.571293,,,,,José Ignacio Martínez García,11298.0,,,,,,1,From Throw In,Roque Mesa Quevedo,3610.0,Right Center Midfield,4,Real Valladolid,901,['a80d542a-bb9a-4739-bbf3-765b3aa4ed6e'],27,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:27.970,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.706952,,,,,,,,,,,,,bbd72572-8350-4015-80d6-60d7a44679ba,93,,"[48.4, 14.7]",3773474,1,,,,,-2.555635,,Left Foot,,,,"[37.1, 7.2]",Ground Pass,13.5624485,,,,,Lucas René Olaza Catrofe,24730.0,,,,,,1,From Throw In,José Ignacio Martínez García,11298.0,Left Wing Back,4,Real Valladolid,901,"['3d8f46ae-43cb-4d77-aa60-10b2b532f839', 'bab0a708-e132-4d47-83e8-f836d173831e']",29,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:01:29.872,Pass,True,2020/2021
