bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.089648,,,,,,,,,,,,,,9ed42126-ce50-4372-b629-ee07d146a940,3607,,"[98.7, 31.8]",69215,93,,,,True,1.7979397,,,,,"[93.8, 53.0]",High Pass,,21.758905,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,221,Barcelona,217,"['42a1e86d-4481-47cd-8539-c7c6a12b219f', 'e1df2920-ce77-4afd-9002-ede6c8c96b2c', 'e829182c-d78c-43e8-91fd-4729eb0daff6']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:48:44.185,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,3.996721,,,,,,,,,,,,,,c859591c-2c18-47bb-8856-aece29e571f8,3611,,"[40.7, 27.5]",69215,93,,,,,0.24902359,,Left Foot,,,"[93.0, 40.8]",High Pass,,53.96462,,Incomplete,,,,,,,,,2,From Free Kick,Christian Fernández Salas,24075.0,Left Back,221,Barcelona,217,['f7e4830f-8d54-4a91-9b76-2bb2281fc8f5'],47,,,,,,,,,,,,,,,,,Racing Santander,1217,00:48:47.862,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.572396,,,,,,,,,,,,,,2cb10259-7a32-4ee0-b58c-17f44a652d4d,3614,,"[27.9, 41.4]",69215,93,,,,,-0.33155417,,Right Foot,,,"[52.3, 33.0]",Ground Pass,,25.805426,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,221,Barcelona,217,['2e097179-0cc4-45be-afd7-d67f95c89fb6'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:48:52.093,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df54b2b1-0d5e-4b1e-b9eb-824a7ee85e12,6,,"[60.5, 37.2]",69215,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['3074c841-a3ef-492d-a720-2db4378f4b0c'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.776,Ball Receipt*,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c47ecc92-1142-43d2-892e-cafe210563de,10,,"[66.6, 54.5]",69215,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['beaf0d60-1382-4197-bd2e-57d8c38657fc'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.734,Ball Receipt*,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199ae52b-595d-465f-b742-eb7351865ee8,13,,"[76.0, 73.5]",69215,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Aliaksandr Hleb,18882.0,Left Wing,2,Barcelona,217,['4cc00e86-df9c-43a1-a561-3c4637c0e008'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.740,Ball Receipt*,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afb9bf5d-168c-4f9b-ad89-2c9a5d5acdc1,17,,"[77.5, 52.9]",69215,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['03f08a02-522f-454a-adc9-01683d60ab1e'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.311,Ball Receipt*,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9cb0841a-4b79-40c2-bc14-8d30f468e17c,21,,"[72.9, 10.1]",69215,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['8eab52f8-4296-4e40-81ed-aad2bb411c97'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.761,Ball Receipt*,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34a4735f-fb2d-45bf-b9bf-0c242dab9008,24,,"[78.4, 3.3]",69215,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,2,Barcelona,217,['1a13ab8a-1d91-4eba-84ac-afca1ceeb5c4'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.737,Ball Receipt*,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8fccd791-c1c8-4e77-aaf2-6e8a7df42d68,28,,"[72.3, 13.7]",69215,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,"['0d2b881b-15e8-4b4d-bd84-79051ab32b6a', '175a112f-2c4e-4efa-acc5-d2d2c62f7e94']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.967,Ball Receipt*,True,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494273c-b101-4507-bdc5-370fe8900046,34,,"[87.4, 74.8]",69215,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Juan Valera Espín,26195.0,Right Midfield,3,Racing Santander,1217,['fdfa37d8-7fc1-463d-b027-1406437ad1b5'],0,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:00.685,Ball Receipt*,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3864f63b-c30e-4934-9740-24ca383b1454,37,,"[88.2, 71.6]",69215,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pedro Manuel Munitis Álvarez,19577.0,Right Center Forward,3,Racing Santander,1217,['af27dc68-7880-40a8-ad7d-e6b184760b61'],2,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:02.603,Ball Receipt*,,2008/2009
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52846271-9d4f-4a63-9b2c-9bfc7f1d20f3,41,,"[75.7, 77.6]",69215,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pablo Pinillos Caro,25889.0,Right Back,3,Racing Santander,1217,['5413b035-476a-4860-95cd-2238227b5c9a'],5,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:05.067,Ball Receipt*,,2008/2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5363fb26-5ec6-4e9f-8143-8fe7fd8ce13d,43,,"[33.6, 12.4]",69215,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['27af5454-e26e-435f-b276-fcb8b09edca1'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.632,Ball Receipt*,,2008/2009
