50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.339256,,,,,,,,,,,,,,604d2465-8368-4bb0-8d34-499fd461ca1b,2765,,"[75.6, 16.9]",303516,65,,,,0.44610554,,Right Foot,,,,"[80.2, 19.1]",,Low Pass,,5.0990195,,,Incomplete,,,,,,,,,Recovery,2,Regular Play,Jacobo González Rodrigañez,41116.0,Left Wing Back,134,Barcelona,217,['34a40cad-bdac-493e-84ff-58f73cd30f98'],14,,,,,,,,,,,,,,,,,Celta Vigo,209,00:20:14.174,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.902803,,,,,,,,,,,,,,7d36e897-73ff-45d4-8d62-0208b703c5f6,2768,,"[52.7, 46.4]",303516,65,,,,-3.1159573,,Right Foot,,,,"[44.9, 46.2]",,Ground Pass,,7.8025637,,,,,Ricard Puig Martí,24841.0,,,,,,Recovery,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,134,Barcelona,217,"['b726114d-7cea-4bad-b789-b1f5a101a02f', 'd238346d-4b0f-4d84-a0fe-16bd8c5544b5']",16,,,,,,,,,,,,,,,,,Barcelona,217,00:20:16.622,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,2.145255,,,,,,,,,,,,,,270b173f-32bc-4dba-a31f-c92e2c7e8510,2771,,"[55.0, 39.4]",303516,65,,,,-0.9457487,,Right Foot,,,,"[79.1, 6.0]",,High Pass,,41.18701,,,,,Anssumane Fati,30756.0,,,,,,,2,Regular Play,Ricard Puig Martí,24841.0,Left Center Midfield,134,Barcelona,217,['8cfd5ad0-80d8-4aa6-8250-e7bfe20602fa'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:20:19.693,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.405585,,,,,,,,,,,,,,2b63fa6b-4beb-42bb-96a7-8ca4e122858d,2780,,"[120.0, 0.1]",303516,65,,,,1.6450003,,Right Foot,,,,"[116.9, 41.8]",,High Pass,True,41.815067,,,Incomplete,,,,,,True,Inswinging,,Corner,2,From Corner,Ivan Rakitić,5470.0,Center Defensive Midfield,135,Barcelona,217,['b9006e3c-1f74-4829-b983-54339871696d'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:20:59.595,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.985011,,,,,,,,,,,,,,b4f9b101-a9c7-4838-b606-73ea2df27040,2784,,"[35.8, 12.4]",303516,66,,,,0.9107873,,Right Foot,,,,"[41.0, 19.1]",,Ground Pass,,8.481155,,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,,2,Regular Play,Denis Suárez Fernández,6609.0,Left Center Midfield,136,Celta Vigo,209,['ad73942c-48d8-4e44-aa59-2b3082bb4ca7'],10,,,,,,,,,,,,,,,,,Celta Vigo,209,00:21:10.884,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.495931,,,,,,,,,,,,,,aa97f2cb-f1da-4be5-8396-e1c171cf682d,2788,,"[43.0, 18.3]",303516,66,,,,-2.2597208,,Left Foot,,,,"[33.2, 6.4]",,Ground Pass,,15.415901,,,,,Jacobo González Rodrigañez,41116.0,,,,,,,2,Regular Play,Rafael Alcântara do Nascimento,6998.0,Right Center Midfield,136,Celta Vigo,209,"['7e896d0d-4b32-4e05-8998-97b771984c08', 'd930e4f1-0c3a-4a01-bf85-64eaabaa914f']",13,,,,,,,,,,,,,,,,,Celta Vigo,209,00:21:13.029,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,2.072115,,,,,,,,,,,,,,ce0a7032-490a-4532-b0f7-341215a6c5e4,2792,,"[27.9, 8.3]",303516,66,,,,2.5525124,,Right Foot,,,,"[6.5, 22.6]",,Ground Pass,,25.738104,,,,,Rubén Blanco Veiga,6795.0,,,,,,,2,Regular Play,Jacobo González Rodrigañez,41116.0,Left Wing Back,136,Celta Vigo,209,['8c0cfcea-a6a8-4e24-b34d-085884e9f1a9'],16,,,,,,,,,,,,,,,,,Celta Vigo,209,00:21:16.331,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.805723,,,,,,,,,,,,,,3c547f32-ed38-4e4e-b246-3406dca7f8fa,2794,,"[6.5, 22.6]",303516,66,,,,-1.0946716,,Left Foot,,,,"[18.0, 0.3]",,High Pass,,25.090635,,,Out,,,,,,,,,,2,Regular Play,Rubén Blanco Veiga,6795.0,Goalkeeper,136,Celta Vigo,209,,18,,,,,,,,,,,,,,,,,Celta Vigo,209,00:21:18.403,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.599273,,,,,,,,,,,,,,8a00163d-262c-4f76-80a4-a0d1363fc121,2795,,"[98.8, 80.0]",303516,66,True,,,-2.2170985,,,,,,"[94.5, 74.3]",,Low Pass,,7.140028,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,Throw-in,2,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,137,Barcelona,217,['b373705c-5367-4d25-a918-21aa3df66bcd'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:21:36.475,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.968069,,,,,,,,,,,,,,6dfa5ad3-3efc-4167-a839-96f36f92f894,2797,,"[91.9, 74.6]",303516,66,,,,2.5105133,,Right Foot,,,,"[86.7, 78.4]",,Ground Pass,,6.440497,,,,,Nélson Cabral Semedo,6374.0,,,,,,,2,From Throw In,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,137,Barcelona,217,['4f5e3747-612f-48f5-800b-ccbf53db3c68'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:21:39.056,Pass,,2019/2020
