ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.102438,,,,,,,,,,,,,,bc853dcd-5d13-40a9-b355-6e0ccdc44e30,51,,"[62.9, 78.1]",3773477,0,,,,,-2.0230591,,Right Foot,,,,"[42.3, 35.7]",,Ground Pass,,47.139366,,,,,Marc Bartra Aregall,7068.0,,,True,,,,1,Regular Play,William Silva de Carvalho,5214.0,Right Center Midfield,4,Real Betis,218,['8d778c57-95e3-4245-af7c-559e93b58be0'],42,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:42.857,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.984684,,,,,,,,,,,,,,5f810a2a-db97-4689-ae74-9f896736c2fb,54,,"[42.6, 35.4]",3773477,0,,,,,-1.2924967,,Right Foot,,,,"[50.6, 7.4]",,Ground Pass,,29.12044,,,,,Alejandro Moreno Lopera,11538.0,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,4,Real Betis,218,['180e3f3f-460f-4514-a602-0bec737d468a'],45,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:45.263,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.832407,,,,,,,,,,,,,,407c3049-d0ae-486d-bc9b-19755c530f2b,57,,"[50.5, 12.9]",3773477,0,,,,,2.3823664,,Left Foot,,,,"[30.9, 31.5]",,Ground Pass,,27.020733,,,,,Marc Bartra Aregall,7068.0,,,,,,,1,Regular Play,Alejandro Moreno Lopera,11538.0,Left Back,4,Real Betis,218,['84f779bf-1762-40de-b7da-f7999a6b1c4f'],48,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:48.172,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.506117,,,,,,,,,,,,,,e06b874b-9d66-495b-a61c-d23446e21dbf,60,,"[35.0, 33.7]",3773477,0,,,,,1.9302648,,Left Foot,,,,"[29.1, 49.4]",,Ground Pass,,16.772001,,,,,Aïssa Mandi,6648.0,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,4,Real Betis,218,['beb7915d-4e9f-468c-9bea-063a98efd43a'],53,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:53.989,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.73679,,,,,,,,,,,,,,bbcbfeeb-1b12-431c-8324-2c88ac2fcaf3,63,,"[28.9, 50.0]",3773477,0,,,,,-0.3021452,,Right Foot,,,,"[44.3, 45.2]",,Ground Pass,,16.130716,,,,,Guido Rodríguez,26404.0,,,,,,,1,Regular Play,Aïssa Mandi,6648.0,Right Center Back,4,Real Betis,218,['36a69a58-8dd9-4e49-944f-13fabf554013'],56,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:56.009,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.083262,,,,,,,,,,,,,,94a9a030-7b66-4f77-96f0-d6690adfe59c,65,,"[44.3, 44.6]",3773477,0,,,,,-2.961739,,Right Foot,,,,"[31.1, 42.2]",,Ground Pass,,13.416408,,,,,Aïssa Mandi,6648.0,,,,,,,1,Regular Play,Guido Rodríguez,26404.0,Left Center Midfield,4,Real Betis,218,['3134e978-2521-4366-abe1-8c150fba2470'],56,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:56.746,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.351918,,,,,,,,,,,,,,deedc0d3-b298-4d42-9863-5b88d05107b6,68,,"[33.9, 44.6]",3773477,0,,,,,1.3273363,,Right Foot,,,,"[41.6, 75.6]",,Ground Pass,,31.941978,,,,,Emerson Aparecido Leite de Souza Junior,23522.0,,,,,,,1,Regular Play,Aïssa Mandi,6648.0,Right Center Back,4,Real Betis,218,['0a36aad1-4af1-4ee4-8fec-e68aeb131a6f'],59,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:59.370,Pass,,2020/2021
,,,,,,,,,,,,,,,,3.302622,,,,,,,,,,,,,,286ca16a-2ce5-4c80-b0a7-7609a067a8f6,71,,"[48.2, 77.8]",3773477,1,,,,,-0.5639807,,Right Foot,,,,"[104.8, 42.0]",,High Pass,,66.971634,,,Incomplete,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,,,,1,Regular Play,Emerson Aparecido Leite de Souza Junior,23522.0,Right Back,4,Real Betis,218,"['0e59e378-5a08-4493-a833-6daf107c65ff', 'da795800-9414-4e3c-9dc2-f082bc0690e8']",2,,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:02.887,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.399099,,,,,,,,,,,,,,a1adb6d1-6057-42c7-aea7-22c768dd39f1,74,,"[15.3, 36.3]",3773477,1,,True,,,-1.181699,,Keeper Arm,,,,"[23.5, 16.3]",,Ground Pass,,21.615734,,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,5,Barcelona,217,['5bfad859-f830-437a-a48c-fc2604a86a5a'],9,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.356,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.523411,,,,,,,,,,,,,,3fdf0b3d-0c74-41e7-83ad-e1d842df2985,76,,"[26.8, 15.5]",3773477,1,,,,,0.27335533,,Left Foot,,,,"[37.5, 18.5]",,Ground Pass,,11.112605,,,,,Frenkie de Jong,8118.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,5,Barcelona,217,['514b9b02-7782-4ad1-8a21-6cd9d156df90'],11,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.760,Pass,,2020/2021
