50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.498814,,,,,,,,,,,,,a7e65f03-3ed8-4d94-80a3-89b5b5d08c77,45,,"[56.7, 11.5]",303517,0,,,,,2.4087775,,Left Foot,,"[47.7, 19.6]",,Ground Pass,,12.108262,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Carles Aleña Castillo,13599.0,Left Center Midfield,2,Barcelona,217,['55d8ddb3-0843-46ca-9295-b06f1acccfe4'],48,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.364,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.85668,,,,,,,,,,,,,6b030062-20cf-4c49-b58f-07251fdab39b,48,,"[48.2, 19.8]",303517,0,,,,,-0.8718871,,Right Foot,,"[56.1, 10.4]",,Ground Pass,,12.278844,,,,Carles Aleña Castillo,13599.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['213f1818-7a02-46af-a7e4-23d17069bf1c'],50,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.581,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.617517,,,,,,,,,,,,,764abac1-f3d7-4c79-8bd9-1eaad67cfc4d,52,,"[57.2, 13.0]",303517,0,,,,,2.4781165,,Left Foot,,"[43.0, 24.1]",,Ground Pass,,18.023596,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Carles Aleña Castillo,13599.0,Left Center Midfield,2,Barcelona,217,"['84f2aaf5-c967-4d99-b351-187573c326ff', '895593df-8e6c-4e88-9661-11641c765c9b']",52,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.474,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.623641,,,,,,,,,,,,,ee277bd7-2765-4312-b457-1e7c85b425bc,55,,"[48.6, 25.6]",303517,0,,,,,1.7353952,,Left Foot,,"[43.7, 55.1]",,Ground Pass,,29.90418,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['57aff4be-a4e3-4b69-b210-08168164a295'],55,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.794,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.294017,,,,,,,,,,,,,359aa41f-5b26-45a4-8bd7-df23059944f9,58,,"[47.5, 55.6]",303517,0,,,,,0.91116756,,Right Foot,,"[62.7, 75.2]",,Ground Pass,,24.803226,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['fa3a5918-d380-4602-8ecf-c54c8d76ee3c'],58,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.642,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.699049,,,,,,,,,,,,,9c664618-86d6-48b9-8fde-cd5ae063245e,61,,"[63.8, 74.2]",303517,1,,,,,0.70449406,,Right Foot,,"[67.8, 77.6]",,Ground Pass,,5.249762,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['3dff4d43-4f47-4a8f-a5ba-2b882a73089a'],1,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.363,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.701444,,,,,,,,,,,,,ef9dda3e-4434-44fc-8386-fea67896c39e,64,,"[77.9, 77.0]",303517,1,,,,,-0.5880026,,Left Foot,,"[85.4, 72.0]",,Ground Pass,,9.013878,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['c2b15b07-6132-4d97-a746-181e20e95531'],3,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.913,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,2.152113,,,,,,,,,,,,,4b628667-2bfc-4838-81cc-a19f6ae1e017,73,,"[86.7, 60.7]",303517,1,,,,,-0.03388533,,Right Foot,,"[104.4, 60.1]",,Low Pass,,17.710167,,,,Lionel Andrés Messi Cuccittini,5503.0,,,Through Ball,True,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['8d8d31e3-7be5-4fd6-900e-9ac068db469d'],6,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.859,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.626157,,,,,,,,,,,,,3589e731-dd21-4a4b-8a41-8f7bebbc3910,83,,"[116.6, 57.3]",303517,1,,,,,-2.2228901,,Right Foot,True,"[105.3, 42.5]",,High Pass,,18.620687,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['9839fae9-debc-461f-b2f2-3d6e2367acb8'],12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.393,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.647996,,,,,,,,,,,,,93098e15-1631-4f1b-97d9-5273e755bcd2,87,,"[17.0, 34.6]",303517,1,,,,,-0.018689413,,Right Foot,,"[27.7, 34.4]",,Ground Pass,,10.701869,,,,Javier Muñoz Jiménez,24078.0,,,,,Recovery,1,Regular Play,Pere Pons Riera,6565.0,Right Center Midfield,3,Deportivo Alavés,206,['0561f12a-9bf7-4b45-9e85-34eb7a66f352'],15,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:01:15.196,Pass,,2019/2020
