ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.337036,,,,,,,,,,,,,,4c7084b2-2b9e-4e9d-a535-61db11a5fe2a,55,,"[52.2, 80.0]",9774,1,,,,-0.32175055,,,,,,"[71.7, 73.5]",,High Pass,,20.554804,,,Incomplete,,Rubén Sobrino Pozuelo,6613.0,,,,,Throw-in,1,From Throw In,Alexis Ruano Delgado,6614.0,Right Back,5,Deportivo Alavés,206,"['0043bf38-4993-4c8a-91bf-d119c331be4d', '26524f8d-b253-49fe-be25-666b9c235cd6']",2,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:01:02.154,Pass,,2017/2018
,,,,,,,,,,,,,,1.264323,,,,,,,,,,,,,,1cfaf1e3-577b-4682-ba6f-4260d2ff2558,63,,"[23.4, 0.1]",9774,1,,,,1.1047846,,,,,,"[31.9, 17.0]",,High Pass,,18.917189,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Throw-in,1,From Throw In,Lucas Digne,6849.0,Left Back,6,Barcelona,217,['f6f5cb42-117b-4297-ba96-26fd953e7cfd'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.994,Pass,,2017/2018
,,,,,,,,,,,,,,0.855046,,,,,,,,,,,,,,b9111fda-89fb-4ab7-aeae-01373d7691de,67,,"[24.4, 9.6]",9774,1,,,,-2.617413,,Left Foot,,,,"[18.0, 5.9]",,Ground Pass,,7.392564,,,,,Lucas Digne,6849.0,,,,,,1,From Throw In,Luis Alberto Suárez Díaz,5246.0,Right Center Forward,6,Barcelona,217,['43507ef9-168b-48ba-8037-a381de63df2a'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.733,Pass,,2017/2018
,,,,,,,,,,,,,,1.380143,,,,,,,,,,,,,,970265ea-cc2c-4f4f-968e-03f73566fc9c,70,,"[18.0, 5.9]",9774,1,,,,2.5121503,,Left Foot,,,,"[8.8, 12.6]",,Ground Pass,,11.3811245,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Lucas Digne,6849.0,Left Back,6,Barcelona,217,['7db1b132-d3f1-4fa6-860e-4108b7bf4a0b'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.668,Pass,,2017/2018
,,,,,,,,,,,,,,2.293811,,,,,,,,,,,,,,e868a34d-e7c1-420d-b715-d8929b4e95b7,74,,"[7.5, 13.2]",9774,1,,,,1.7593006,,Left Foot,,,,"[1.3, 45.7]",,Ground Pass,,33.0861,,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,6,Barcelona,217,"['5fd45dd3-e755-4b72-9ed6-45715f23b5ad', '91fc56e0-4de5-4fac-b5d3-e612613969c3']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.638,Pass,True,2017/2018
,,,,,,,,,,,,,,2.66295,,,,,,,,,,,,,,ca8da17d-8edd-46ee-9330-56ed6c266a54,78,,"[3.9, 46.1]",9774,1,,,,0.65107673,,Right Foot,,,,"[35.4, 70.1]",,Low Pass,,39.601135,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Throw In,Marc-André ter Stegen,20055.0,Goalkeeper,6,Barcelona,217,"['d8abe0ed-2271-4192-8f1b-ee69f0a9e5b5', 'f76c4578-4da9-4433-bdb9-b3088b487baa']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.764,Pass,True,2017/2018
,,,,,,,,,,,,,,0.964743,,,,,,,,,,,,,,df8ad8b8-3727-4e97-9818-c69bdeaa47e9,85,,"[25.7, 57.9]",9774,1,True,,,0.68088526,,Right Foot,,,,"[33.6, 64.3]",,Ground Pass,,10.167104,,,,,Gerard Piqué Bernabéu,5213.0,,,,,Free Kick,1,From Free Kick,Marc-André ter Stegen,20055.0,Goalkeeper,7,Barcelona,217,['f9b6cc07-940d-4995-b4a5-287e3f557b68'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.915,Pass,,2017/2018
,,,,,,,,,,,,,,1.284757,,,,,,,,,,,,,,dd59afa5-eb6b-47f0-b457-30adc04a108e,87,,"[48.0, 64.3]",9774,1,,,,0.52888155,,Right Foot,,,,"[63.4, 73.3]",,Ground Pass,,17.83704,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['f91d6549-8a81-45c2-8d3b-31ccedac6ebe'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.797,Pass,,2017/2018
,,,,,,,,,,,,,,1.06446,,,,,,,,,,,,,,7f90fce9-4e34-4a9e-902b-b1701835977b,90,,"[63.4, 73.3]",9774,1,,,,-2.6069984,,Right Foot,,,,"[48.2, 64.3]",,Ground Pass,,17.664654,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Nélson Cabral Semedo,6374.0,Right Back,7,Barcelona,217,['caa10b05-c62a-4e86-8304-19c6ecd98df5'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.742,Pass,,2017/2018
,,,,,,,,,,,,,,1.459271,,,,,,,,,,,,,,36a1fbb2-cd50-40f1-bcaa-4ee00020cb34,93,,"[48.2, 64.3]",9774,1,,,,-1.507298,,Right Foot,,,,"[49.3, 47.0]",,Ground Pass,,17.334936,,,,,Ivan Rakitić,5470.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['86a6e085-6240-4d73-a91f-954a5125a7e5'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.042,Pass,,2017/2018
