50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,2.302531,,,,,,,,,,,,,,27b2d373-4c50-479e-9baf-22f1ca2f0b4b,62,,"[6.0, 44.0]",69164,1,,,,,-0.034233198,,Right Foot,,,"[64.4, 42.0]",,High Pass,,58.43424,,Incomplete,,Salvador Ballesta Vialcho,26246.0,,,,,,Goal Kick,1,From Goal Kick,Francesc Arnau,26460.0,Goalkeeper,6,Málaga,223,"['9abb4d72-ddcf-45cc-82f4-698d92183e43', 'eb0186e2-55ad-4d89-acba-16f57a2abfea']",18,,,,,,,,,,,,,,,,,,,Málaga,223,00:01:18.197,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,3.484798,,,,,,,,,,,,,,9abb4d72-ddcf-45cc-82f4-698d92183e43,64,,"[55.7, 38.1]",69164,1,,,,,-0.8902751,,Head,,,"[86.3, 0.3]",,High Pass,,48.633324,,Out,,Ronaldo de Assis Moreira,25879.0,,,,,,Recovery,1,From Goal Kick,Mark van Bommel,19296.0,Left Center Midfield,6,Málaga,223,"['27b2d373-4c50-479e-9baf-22f1ca2f0b4b', 'b7968c19-0fb8-4b54-bf2f-072f476c03b2']",20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.499,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,1.660839,,,,,,,,,,,,,,1c95c7ed-ba61-4384-965b-09771ece081c,66,,"[33.7, 80.0]",69164,1,,,,,-0.13040331,,,,,"[64.2, 76.0]",,High Pass,,30.761177,,Incomplete,,Edgar Patricio De Carvalho Pacheco,25882.0,,,,,,Throw-in,1,From Throw In,Alexis Ruano Delgado,6614.0,Right Back,7,Málaga,223,"['c656e8e5-b935-44ab-a16b-64503d203e07', 'fe39954f-6ec5-4109-ba47-07c73851509f']",33,,,,,,,,,,,,,,,,,,,Málaga,223,00:01:33.714,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,1.229764,,,,,,,,,,,,,,b1644a31-b36c-4af6-95e8-c19842b86604,69,,"[71.6, 80.0]",69164,1,,,,,-0.4911636,,,,,"[80.2, 75.4]",,Low Pass,,9.752948,,,,Salvador Ballesta Vialcho,26246.0,,,,,,Throw-in,1,From Throw In,Alexis Ruano Delgado,6614.0,Right Back,8,Málaga,223,['925b0397-6899-4007-9112-86a9b93f3870'],52,,,,,,,,,,,,,,,,,,,Málaga,223,00:01:52.075,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,0.666932,,,,,,,,,,,,,,a3d5a1b7-f856-45c5-ba33-90c6f43804e4,75,,"[32.6, 6.1]",69164,1,,,,,0.660009,,Left Foot,,,"[39.3, 11.3]",,Low Pass,,8.481155,,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,9,Barcelona,217,['9ae300e9-2b57-4353-a095-19dee6cbed03'],55,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.923,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,0.594796,,,,,,,,,,,,,,21f9830b-e6ec-4e8d-9c7e-bac133de438e,78,,"[39.7, 15.2]",69164,1,,,,,-2.960793,,Right Foot,,,"[30.4, 13.5]",,Low Pass,,9.4541,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,9,Barcelona,217,['78bb3f6c-c3cf-43cf-9ac2-1b578bc81753'],57,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.480,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,2.103029,,,,,,,,,,,,,,77bd18f8-a6f0-4759-801f-c52cbc0bec55,82,,"[32.4, 10.6]",69164,2,,,,,-0.04026259,,Left Foot,,,"[74.6, 8.9]",,High Pass,,42.234226,,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,9,Barcelona,217,"['106de757-42b3-46d7-ad78-cf875ed950a8', 'c6e51a92-b968-40e8-979b-fe296b2bafba', 'da9b9a8b-1dfd-472e-939d-9c9d8e8e2e77']",0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.829,Pass,True,2005/2006
,,,,,,,,,,,,,,,,,,,1.3062,,,,,,,,,,,,,,da9b9a8b-1dfd-472e-939d-9c9d8e8e2e77,84,,"[45.5, 71.2]",69164,2,,,,,-0.072832316,,Right Foot,,,"[68.8, 69.5]",,High Pass,,23.361935,,,,Gerardo García León,26462.0,,,,,,Recovery,1,Regular Play,César González Navas,26044.0,Right Center Back,10,Málaga,223,"['16d281b6-22ec-40ed-94e2-cf4e7b9c924a', '77bd18f8-a6f0-4759-801f-c52cbc0bec55']",2,,,,,,,,,,,,,,,,,,,Málaga,223,00:02:02.932,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,2.22196,,,,,,,,,,,,,,af4acd71-d059-4d06-81b4-41f33a554f25,86,,"[68.8, 69.5]",69164,2,,,,,-2.6898491,,Head,,,"[35.0, 53.1]",,Low Pass,,37.568604,,,,Fernando Sanz Durán,25868.0,,,,,,,1,Regular Play,Gerardo García León,26462.0,Right Center Midfield,10,Málaga,223,['9a7a373c-b6c4-4a24-bb10-99e992a756c7'],4,,,,,,,,,,,,,,,,,,,Málaga,223,00:02:04.319,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,2.391386,,,,,,,,,,,,,,78abfd76-3dd9-43e6-85ad-132fe1292f0e,89,,"[30.2, 51.8]",69164,2,,,,,-2.9686394,,Right Foot,,,"[13.6, 48.9]",,Ground Pass,,16.85141,,,,Francesc Arnau,26460.0,,,,,,,1,Regular Play,Fernando Sanz Durán,25868.0,Left Center Back,10,Málaga,223,['26b6c862-b0ac-4e7b-ad77-4ad65d364233'],7,,,,,,,,,,,,,,,,,,,Málaga,223,00:02:07.245,Pass,,2005/2006
