50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.720277,,,,,,,,,,,,,,df93dc67-e805-4a98-aaec-fca0e2f0f544,79,,"[84.9, 60.5]",9581,2,,,,-0.22923194,,Right Foot,,,,"[93.9, 58.4]",,Ground Pass,,9.241753,,,,Aleix Vidal Parreu,6400.0,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,['08fae120-4813-4e95-b720-72231368aaf8'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:11.167,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.089426,,,,,,,,,,,,,,c7b6fee0-8deb-4fe5-92ec-7035fd331a8a,83,,"[92.2, 58.4]",9581,2,,,,1.4102844,,Right Foot,,,,"[93.9, 68.9]",,Ground Pass,,10.636729,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Free Kick,Aleix Vidal Parreu,6400.0,Right Wing,5,Barcelona,217,"['4f8b3474-f74e-4966-bffb-3b4389819108', 'c49534cf-d8f0-431e-90e3-6a77899fcafe']",11,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:11.928,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.033466,,,,,,,,,,,,,,37f9a5a3-4eb4-4c57-80ea-46cf893d548b,86,,"[90.5, 70.9]",9581,2,,,,-2.700842,,Right Foot,,,,"[79.9, 65.9]",,Ground Pass,,11.720068,,,,Ivan Rakitić,5470.0,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,5,Barcelona,217,['b137c985-507f-4881-9332-40de2dc82e0c'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:15.131,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.530354,,,,,,,,,,,,,,c4f7de38-2a90-4176-9096-c18e8fb6a02e,89,,"[78.5, 65.7]",9581,2,,,,-1.9151125,,Right Foot,,,,"[66.2, 31.4]",,Ground Pass,,36.438717,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,['83ec64e5-e7a1-4c72-a039-7217339f6696'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:17.361,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.504101,,,,,,,,,,,,,,98615e4b-addd-435f-b149-df7d8cb7480c,92,,"[72.8, 17.8]",9581,2,,,,-0.67738646,,Left Foot,,,,"[91.2, 3.0]",,Ground Pass,,23.613556,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['f2de6334-dd4c-4151-8d5f-df316eb4a4d4'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:20.610,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.089949,,,,,,,,,,,,,,88b8b126-2af2-4fad-9d4b-c8b106db4682,96,,"[89.7, 2.8]",9581,2,,,,3.0309355,,Left Foot,,,,"[81.6, 3.7]",,Ground Pass,,8.149847,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,"['391f3457-5083-4a83-ada6-14e0fc232ccd', 'bf759b7b-dc10-4d66-81ea-c55bd6220173']",23,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:23.554,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.12557,,,,,,,,,,,,,,89e31ce2-0e71-4ef2-9225-468b55157998,99,,"[80.8, 7.2]",9581,2,,,,1.8830684,,Right Foot,,,,"[68.5, 45.3]",,Ground Pass,,40.036232,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,['ad6f491c-aadd-4f55-9be6-6fdad6dd0bc0'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:26.388,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.345425,,,,,,,,,,,,,,4bd2431b-9d7e-47ed-b198-827265fda1fb,102,,"[71.4, 48.0]",9581,2,,,,1.0936563,,Right Foot,,,,"[85.1, 74.5]",,Ground Pass,,29.831861,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['196ad38f-715c-4540-91dc-aab1c1a4f7fe'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:29.820,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.004286,,,,,,,,,,,,,,d8fe36ef-ca2a-4416-b140-bed51c630e6e,105,,"[87.0, 67.2]",9581,2,,,,-2.3089569,,Right Foot,,,,"[73.9, 52.8]",,Ground Pass,,19.467152,,,,Ivan Rakitić,5470.0,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,5,Barcelona,217,['06d6a62d-8b38-4179-b051-6e02fab9b237'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:33.805,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.116505,,,,,,,,,,,,,,8aef6bc9-105e-4309-a616-e7947ea67aa3,108,,"[73.9, 52.8]",9581,2,,,,-1.5141195,,Right Foot,,,,"[74.7, 38.7]",,Ground Pass,,14.122677,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,['4468687c-00e0-4867-b5e1-bd115a7bb599'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:35.311,Pass,,2017/2018
