50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.071872,,,,,,,,,,,,,,,9c7cffdc-3634-4e41-83ea-9e344ae643d1,55,,"[89.6, 1.8]",69183,1,,,,2.4318445,,Left Foot,,"[67.6, 20.7]",,Ground Pass,,29.00362,,,Seydou Kéita,20169.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,"['39ae3255-4316-4b42-a2c6-fdd86e176b81', '4351c9e1-d8da-49b2-95af-98c85ab2efd2']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.768,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.700768,,,,,,,,,,,,,,,57367e9d-eb68-43e0-84f9-5d2aaf004659,58,,"[67.6, 20.7]",69183,1,,,,2.946201,,Left Foot,,"[48.4, 24.5]",,Ground Pass,,19.57243,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Seydou Kéita,20169.0,Left Center Midfield,5,Barcelona,217,['89f73104-6950-447e-a4e0-4dd5e1013f68'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.057,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.077737,,,,,,,,,,,,,,,9dc2d3a3-7b6e-49a7-a464-4ac2af2e4261,61,,"[46.5, 23.9]",69183,1,,,,1.4226745,,Right Foot,,"[52.2, 62.1]",,Ground Pass,,38.62292,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,5,Barcelona,217,['3b86c6f3-90bf-46cd-afd6-f4f68252cfb1'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.087,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.149011,,,,,,,,,,,,,,,f2ab6336-2a6a-4497-b271-835df8ad4b9b,65,,"[50.8, 69.5]",69183,1,,,,-1.7946045,,Right Foot,,"[41.9, 30.4]",,Ground Pass,,40.100124,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['73241b16-86da-4e99-8123-6553cce07eab'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.795,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.438116,,,,,,,,,,,,,,,6482055f-4b29-448b-be4b-28dd90420ea2,68,,"[59.6, 22.0]",69183,1,,,,-1.193183,,Right Foot,,"[66.7, 4.1]",,Ground Pass,,19.256687,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,5,Barcelona,217,['3100ae46-d90c-4b82-b480-7d4e5483b3f7'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.370,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.005246,,,,,,,,,,,,,,,f599f8ed-b2fe-4268-818b-2c40f27de229,71,,"[66.9, 2.7]",69183,1,,,,0.05258306,,Left Foot,,"[82.1, 3.5]",,Ground Pass,,15.221038,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['c1dbd59a-63af-420a-a635-052c9abb10a0'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.608,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.9522,,,,,,,,,,,,,,,c1f5df34-71dc-4071-8bd3-7e822fd9b9cc,75,,"[84.8, 18.0]",69183,1,,,,1.0873493,,Right Foot,,"[89.0, 26.0]",,Ground Pass,,9.035485,,,Thierry Henry,15516.0,,,,,,1,From Throw In,Samuel Eto''o Fils,19298.0,Center Forward,5,Barcelona,217,['4000bd54-1014-46b4-a88f-52da562bf609'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.682,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.643933,,,,,,,,,,,,,,,e8ad7301-d243-4f55-8c90-095793a6685e,78,,"[89.0, 26.0]",69183,1,,,,-0.20644054,,Right Foot,,"[108.1, 22.0]",,Ground Pass,,19.514353,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,1,From Throw In,Thierry Henry,15516.0,Left Wing,5,Barcelona,217,"['16876290-99ac-4cb2-9101-985f6fefffd6', 'f7398f94-9ea5-4f09-87d6-e634781e6e8a']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.674,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.237997,,,,,,,,,,,,,,,f7398f94-9ea5-4f09-87d6-e634781e6e8a,81,,"[12.9, 59.0]",69183,1,,,,-2.2672281,,Left Foot,,"[3.2, 47.4]",,Ground Pass,,15.121178,,,Daniel Aranzubia Aguado,26029.0,,,,,Recovery,1,From Throw In,Manuel Pablo García Díaz,26209.0,Right Back,5,Barcelona,217,"['96face47-21d5-442d-97f1-cd18873bb285', 'e8ad7301-d243-4f55-8c90-095793a6685e', 'f3843da6-49ea-4f5f-9d2b-dfed4e37c5d8']",38,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:38.318,Pass,True,2008/2009
,,,,,,,,,,,,,,,,2.9673,,,,,,,,,,,,,,,326a1ff8-5abf-4c66-80c0-c7431d821f3b,84,,"[3.8, 47.9]",69183,1,,,,0.6834993,,Right Foot,,"[35.6, 73.8]",,High Pass,,41.012802,Incomplete,,Cristian Hidalgo González,26212.0,,,,,,1,From Throw In,Daniel Aranzubia Aguado,26029.0,Goalkeeper,5,Barcelona,217,"['698dcd52-a9d0-4448-a309-f4ad521ac85b', '82e01e73-2365-41b8-ab4c-176c790ab744']",40,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:40.791,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.314354,,,,,,,,,,,,,,,698dcd52-a9d0-4448-a309-f4ad521ac85b,88,,"[85.4, 7.2]",69183,1,,,,-0.084796175,,Left Foot,,"[105.4, 5.5]",,Low Pass,,20.07212,,,Thierry Henry,15516.0,,,,,Recovery,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,"['326a1ff8-5abf-4c66-80c0-c7431d821f3b', 'c8708640-f8ac-466c-95a9-957d141723a7', 'e3007235-feab-4ce2-bfd8-4cd5634d3a75']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.758,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.402046,,,,,,,,,,,,,,,a76b61e1-954c-4721-b645-baed9ecf5ca3,91,,"[110.9, 3.7]",69183,1,,,,3.0796564,,Right Foot,,"[98.0, 4.5]",,Ground Pass,,12.924783,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Throw In,Thierry Henry,15516.0,Left Wing,5,Barcelona,217,['59631206-5a08-4b0e-88ff-5a3d7b93501a'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.212,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.161608,,,,,,,,,,,,,,,942b97e4-abaa-4984-bbe7-642cf644aafe,95,,"[95.8, 5.8]",69183,1,,,,0.98279375,a9164989-8536-4ec7-b23a-ba774e9e752c,Left Foot,,"[105.6, 20.5]",,Ground Pass,,17.667202,,,Thierry Henry,15516.0,True,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,"['4b744281-0489-40e6-83db-261b4620943d', 'd4e22c62-9720-4db7-871b-b86d2e985cae']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.124,Pass,True,2008/2009
,,,,,,,,,,,,,,,,4.8652,,,,,,,,,,,,,,,97c6278b-5134-4d21-a849-3e61644210d5,100,,"[12.4, 50.5]",69183,2,True,,,-0.2839964,,Drop Kick,,"[107.3, 22.8]",,High Pass,,98.86,Incomplete,,,,,,,,,1,From Keeper,Daniel Aranzubia Aguado,26029.0,Goalkeeper,6,RC Deportivo La Coruña,219,['cd542f95-861b-4442-afcd-05d0b6ad2bb9'],11,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:02:11.594,Pass,,2008/2009
