bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.174287,,,,,,,,,,,,,,82212a7f-9d2a-49cd-9cb8-fe3a22a80d8f,3912,,"[87.9, 70.9]",3773689,95,,,,-0.4531585,,Right Foot,,,"[99.4, 65.3]",,Ground Pass,,12.791013,,Incomplete,Moriba Kourouma Kourouma,39073.0,,,,,,2,From Free Kick,Óscar Mingueza García,43728.0,Right Wing Back,185,Barcelona,217,"['2d50b6e2-025e-481a-98c1-2cb05a2579e9', '3e910df7-fbc8-4766-9d1a-b1f13f9fa141']",1,,,,,,,,,,,,,,,,,,Barcelona,217,00:50:01.094,Pass,,2020/2021
,,,,,,,,,,,,,,,0.35242,,,,,,,,,,,,,,cd8ad9f8-d16c-4ff3-b695-1cc77d7bc66c,3917,,"[33.6, 1.6]",3773689,95,,,,2.2455373,,Left Foot,,,"[31.6, 4.1]",,Ground Pass,,3.2015622,,Incomplete,Moisés Gómez Bordonado,11675.0,,,,,,2,From Free Kick,Pervis Josué Estupiñán Tenorio,24085.0,Left Back,185,Barcelona,217,"['93fd13b9-19fe-468a-a11b-cd259cdfcfb9', 'acce9110-d778-48d2-a995-d9eeda9a2367', 'c5378cc6-12f3-4f82-b875-969828e1f091']",4,,,,,,,,,,,,,,,,,,Villarreal,222,00:50:04.627,Pass,True,2020/2021
,,,,,,,,,,,,,,,2.744419,,,,,,,,,,,,,,0f88075a-70d1-4b05-aaf8-6f86765d4af4,3920,,"[55.5, 0.1]",3773689,95,,,,0.12728432,,,,,"[89.1, 4.4]",,High Pass,,33.87403,,,Yeremi Jesús Pino Santos,50494.0,,,,,Throw-in,2,From Throw In,Pervis Josué Estupiñán Tenorio,24085.0,Left Back,186,Villarreal,222,['f539da7c-285e-4494-a89e-1f1f4205a640'],8,,,,,,,,,,,,,,,,,,Villarreal,222,00:50:08.955,Pass,,2020/2021
,,,,,,,,,,,,,,,1.013802,,,,,,,,,,,,,,d16c24de-9b8a-49d1-ac23-62a115b0a836,3931,,"[54.9, 5.0]",3773689,95,,,,-0.35354197,,Left Foot,,,"[63.3, 1.9]",,Ground Pass,,8.95377,,,Moisés Gómez Bordonado,11675.0,,,,,Recovery,2,From Throw In,Pau Francisco Torres,6892.0,Left Center Back,186,Villarreal,222,['53b69775-c9ab-4362-9709-f2bc2b091a11'],22,,,,,,,,,,,,,,,,,,Villarreal,222,00:50:22.327,Pass,,2020/2021
,,,,,,,,,,,,,,,1.608047,,,,,,,,,,,,,,b9fd14d7-4202-4964-9e31-e042d5834b71,3935,,"[61.3, 3.3]",3773689,95,,,,0.08413824,,Right Foot,,,"[77.9, 4.7]",,Ground Pass,,16.658932,,,Pervis Josué Estupiñán Tenorio,24085.0,,,,,,2,From Throw In,Moisés Gómez Bordonado,11675.0,Left Midfield,186,Villarreal,222,['f46f7dc5-9b41-4746-9063-f0be1695c0ba'],23,,,,,,,,,,,,,,,,,,Villarreal,222,00:50:23.981,Pass,,2020/2021
,,,,,,,,,,,,,,,1.680063,,,,,,,,,,,,,,75e7cb02-7761-41a1-9679-4b94371a679a,3938,,"[76.8, 10.0]",3773689,95,,,,1.9885472,,Left Foot,,,"[68.1, 29.6]",,Low Pass,,21.444113,,,Daniel Parejo Muñoz,6595.0,,,,,,2,From Throw In,Pervis Josué Estupiñán Tenorio,24085.0,Left Back,186,Villarreal,222,['3e922b8c-3f81-4ed8-8f7f-c7b1cbc9dc92'],27,,,,,,,,,,,,,,,,,,Villarreal,222,00:50:27.017,Pass,,2020/2021
,,,,,,,,,,,,,,,0.583878,,,,,,,,,,,,,,2037a01f-e78c-48c3-b7d9-94c78d2cd6d5,6,,"[56.4, 40.3]",3773689,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Right Center Midfield,2,Villarreal,222,"['4ec18d2e-5ac1-4428-a983-444f6b285293', '9730775a-1cbb-426e-a04d-0d975a7e31da', 'c8b088ce-a6f5-48f8-b45d-e26e4d9cdd85']",2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.319,Pressure,,2020/2021
,,,,,,,,,,,,,,,0.42318,,,,,,,,,,,,,,eb4e6d6d-930d-406a-9824-afbe1b93fd7b,36,,"[51.0, 66.2]",3773689,0,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Etienne Capoue,3721.0,Right Center Midfield,3,Barcelona,217,,53,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:53.874,Pressure,,2020/2021
,,,,,,,,,,,,,,,1.026475,,,,,,,,,,,,,,22ee8fe0-df12-4dd7-ab67-baa3cfb7c555,108,,"[83.8, 44.8]",3773689,2,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,4,Villarreal,222,"['30cb0336-8c3b-46c0-b3ec-1fa13960f49e', '790135d1-e52a-4db4-8965-7534392df31f']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:05.266,Pressure,,2020/2021
,,,,,,,,,,,,,,,0.605255,,,,,,,,,,,,,,2cec41e2-75b4-4ad8-8eba-4748424e49b1,112,,"[76.2, 15.4]",3773689,2,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,4,Villarreal,222,"['69d1fc3f-49f2-42f1-bf93-83a243e2b388', 'f5053a6b-9e25-4faa-afe5-9481ca818960']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:08.760,Pressure,,2020/2021
