50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.219925,,,,,,,,,,,,,,8aaa8fe6-ed0e-4f10-8e39-31a05519e590,2627,,"[72.1, 71.8]",15986,55,,,,,-2.2476184,,Right Foot,,,,"[62.7, 60.1]",,Ground Pass,,15.008331,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,122,Barcelona,217,['3e409937-4857-414e-bac9-fb2583905da3'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:38.752,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.303116,,,,,,,,,,,,,,ab1cda39-35ad-4797-8821-1f7da25f9ff8,2630,,"[71.0, 59.3]",15986,55,,,,,0.62964517,,Right Foot,,,,"[92.0, 74.6]",,Ground Pass,,25.982494,,,,,Nélson Cabral Semedo,6374.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,122,Barcelona,217,['45b73225-04be-4256-8c73-4550ea0a44c0'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:42.974,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.482524,,,,,,,,,,,,,,df6d788e-4c16-4220-9946-037faaa8783f,2634,,"[90.2, 72.8]",15986,55,,,,,-2.6438673,,Left Foot,,,,"[72.9, 63.4]",,Ground Pass,,19.68883,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,122,Barcelona,217,"['37d44526-918e-4f68-8595-7015475c8c3e', '5182ac18-ccc4-43f0-a60b-0f60e0adb507']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:49.537,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,0.915076,,,,,,,,,,,,,,c6153eec-3a57-452b-95fe-3daaf0e4767b,2637,,"[72.9, 63.4]",15986,55,,,,,-0.98635244,,Right Foot,,,,"[81.5, 50.4]",,Ground Pass,,15.587174,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,122,Barcelona,217,['462ebeec-3b50-4b1d-9c89-d814445999e5'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:52.097,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.014347,,,,,,,,,,,,,,9ce3a449-31c7-464c-90f7-000f6f7a0d70,2640,,"[78.8, 51.9]",15986,55,,,,,2.3680987,,Right Foot,,,,"[70.3, 60.2]",,Ground Pass,,11.880236,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Throw In,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,122,Barcelona,217,['ee056e86-fcc1-4e96-b210-e996ecf4f487'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:53.978,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.715446,,,,,,,,,,,,,,85df6d19-a440-414e-abd9-16e0a31c1161,2643,,"[70.3, 60.2]",15986,55,,,,,-1.978628,,Right Foot,,,,"[57.9, 31.5]",,Ground Pass,,31.264196,,,,,Samuel Yves Umtiti,5492.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,122,Barcelona,217,['fc727fa6-8956-4ef0-89c1-499c350507c6'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:55.739,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.392463,,,,,,,,,,,,,,34d1c09e-6639-45b6-bd6e-768ab766843f,2646,,"[67.1, 25.1]",15986,56,,,,,1.6814536,,Left Foot,,,,"[64.1, 52.1]",,Ground Pass,,27.166155,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,122,Barcelona,217,['c2edc107-df24-4f49-8288-8b9f9a76d7aa'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:01.647,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.568572,,,,,,,,,,,,,,9ca1ac32-2f42-439f-b104-2b364102a114,2649,,"[69.6, 53.9]",15986,56,,,,,0.98048955,,Right Foot,,,,"[83.0, 73.9]",,Ground Pass,,24.074053,,,,,Nélson Cabral Semedo,6374.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,122,Barcelona,217,['8ae05270-b438-48fa-85b6-6fcd18cdc9af'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:05.535,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.560287,,,,,,,,,,,,,,1b5b0a34-0b7d-497c-a878-2ccfdcf61384,2652,,"[83.0, 73.9]",15986,56,,,,,-1.7529646,,Right Foot,,,,"[81.6, 66.3]",,Ground Pass,,7.7278714,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,,2,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,122,Barcelona,217,['443bcdce-404d-4aeb-9e08-ecd5864ca1ea'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:07.746,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.697336,,,,,,,,,,,,,,dbcb62e6-b3e4-4250-b5f8-309b39dba065,2654,,"[81.6, 66.3]",15986,56,,,,,1.5707964,,Right Foot,,,,"[81.6, 73.2]",,Ground Pass,,6.9,,,,,Nélson Cabral Semedo,6374.0,,,,,,,2,From Throw In,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,122,Barcelona,217,['2095bb62-7a08-4d21-8e7e-bf9f3d682778'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:08.306,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.595615,,,,,,,,,,,,,,c11ff8c4-3dc0-4053-97b8-fba7ae3dbd7d,2658,,"[81.2, 73.5]",15986,56,,,,,-2.220525,,Right Foot,,,,"[67.6, 55.6]",,Ground Pass,,22.480436,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,122,Barcelona,217,"['56ae732e-4d35-4664-a21d-86d3372ec03f', 'f6f4996c-3d38-4c29-8d2b-63f9bdfabd80']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:09.687,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,0.963956,,,,,,,,,,,,,,e5db7525-6a32-4edb-bc4b-6a90f3815f99,2661,,"[75.5, 52.8]",15986,56,,,,,0.5490251,,Right Foot,,,,"[84.0, 58.0]",,Ground Pass,,9.964437,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,122,Barcelona,217,['9b8428db-1765-400f-88ab-f136910fe992'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:13.864,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.028686,,,,,,,,,,,,,,130e76e2-79ba-4638-986f-5b877d6c9601,2664,,"[83.4, 58.0]",15986,56,,,,,2.0647378,,Right Foot,,,,"[77.8, 68.4]",,Ground Pass,,11.811858,,,,,Nélson Cabral Semedo,6374.0,,,,,,,2,From Throw In,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,122,Barcelona,217,['d735ad6a-2a28-4c48-a866-4fbf37f75d0b'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:15.197,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.072075,,,,,,,,,,,,,,423f4232-fb45-4721-89de-7dfdd749c4b0,2667,,"[77.8, 68.4]",15986,56,,,,,-2.017119,,Right Foot,,,,"[70.0, 52.1]",,Ground Pass,,18.07014,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,122,Barcelona,217,['b27f3d20-a6cd-44d2-921d-e359e2dd1d55'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:17.135,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.093582,,,,,,,,,,,,,,ebec88bf-aea0-42c3-a98f-545ff3a83815,2670,,"[70.5, 51.9]",15986,56,,,,,-1.7512443,,Right Foot,,,,"[67.8, 37.1]",,Ground Pass,,15.044268,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,122,Barcelona,217,['cdd3c014-0dd2-4b76-ab85-6c2400261beb'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:20.339,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.864849,,,,,,,,,,,,,,ad87bfb2-5938-4776-80b8-e6def98d418e,2673,,"[72.1, 35.1]",15986,56,,,,,-0.16910122,,Right Foot,,,,"[84.4, 33.0]",,Ground Pass,,12.477981,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,122,Barcelona,217,['e99ec2fd-d61f-4000-a43d-f0b71e3b81ec'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:23.505,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.207008,,,,,,,,,,,,,,098bc24a-8963-44dc-974c-ade94ac448e9,2675,,"[84.4, 33.0]",15986,56,,,,,1.7178746,,Right Foot,,,,"[81.6, 51.9]",,Low Pass,,19.106281,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Throw In,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,122,Barcelona,217,['7c7aab70-3db8-458b-8aeb-138f91933214'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:24.370,Pass,,2018/2019
