bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.864385,,,,,,,,,,,,,4b4dc467-d530-4169-92d9-7227879287dd,50,,,"[82.1, 76.9]",267197,0,,,,,-2.684634,,Right Foot,,,,"[70.1, 71.0]",,Ground Pass,,13.371985,,,,,Adriano Correia Claro,22102.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['f6151053-0489-40ac-b710-0bac87382c63'],54,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.454,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.493328,,,,,,,,,,,,,772c6951-5bd1-4dc0-9c43-53dfbd14fb2f,53,,,"[70.3, 71.2]",267197,0,,,,,-2.5563755,,Right Foot,,,,"[53.7, 60.2]",,Ground Pass,,19.913815,,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Right Back,4,Barcelona,217,['2e5b57da-c492-4c77-8716-b177b367034c'],56,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.842,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.242168,,,,,,,,,,,,,c913ba70-5f7f-4077-a42e-7ed7858a19c6,56,,,"[56.6, 53.9]",267197,1,,,,,-1.2114695,,Right Foot,,,,"[64.0, 34.2]",,Ground Pass,,21.044,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,4,Barcelona,217,['15aa8f1b-237d-4f44-9ca8-9f162c2c9be5'],0,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.627,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.391252,,,,,,,,,,,,,f02c7a33-7afc-4279-ac76-d8f64b166840,59,,,"[63.2, 31.0]",267197,1,,,,,-1.3076693,,Right Foot,,,,"[70.5, 3.9]",,Ground Pass,,28.065994,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,4,Barcelona,217,['3d5cc2c4-c826-414c-9a0b-cbb6ac8124a4'],3,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.151,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.320441,,,,,,,,,,,,,58998dad-7203-45f1-8b1b-167fecdc9fe2,62,,,"[70.5, 3.9]",267197,1,,,,,1.7539071,,Left Foot,,,,"[68.0, 17.4]",,Ground Pass,,13.72953,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Jérémy Mathieu,10609.0,Left Back,4,Barcelona,217,['c3720c13-32a8-449a-a630-28dec390700e'],5,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.339,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.427939,,,,,,,,,,,,,81906f11-2153-4988-b073-7ba6e12f3a04,65,,,"[65.3, 20.9]",267197,1,,,,,1.4478245,,Right Foot,,,,"[68.6, 47.6]",,Ground Pass,,26.90316,,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['a8c2e528-5a85-45b9-892a-0137f3800727'],8,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.489,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.246672,,,,,,,,,,,,,83c0446c-542c-4c52-a1b1-4f404ad5bb8a,68,,,"[72.4, 56.3]",267197,1,,,,,1.0430344,,Left Foot,,,,"[84.0, 76.2]",,Ground Pass,,23.034105,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Rafael Alcântara do Nascimento,6998.0,Right Center Midfield,4,Barcelona,217,['3c148736-be47-4473-a619-47547b9b5bd8'],11,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.995,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.3293,,,,,,,,,,,,,43ff1c89-00cd-4661-ad1c-f8bdb19c8e23,71,,,"[79.8, 71.6]",267197,1,,,,,-1.0899091,,Left Foot,,,,"[97.8, 37.1]",,High Pass,,38.913364,True,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,"['20684b1a-838a-4dc3-995d-77a896e77f86', '4484f98e-c83e-4650-a12c-898f1804afed']",16,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.553,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.134537,,,,,,,,,,,,,ca94128f-028c-4af7-9f2a-564745261baf,76,,,"[77.7, 16.1]",267197,1,,,,,2.0131705,,Left Foot,,,,"[73.2, 25.6]",,Ground Pass,,10.511898,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,['47af0ce1-997e-443f-aac7-1e2dc9c30392'],21,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.435,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.847433,,,,,,,,,,,,,0c780571-1081-4f38-9a02-efb33195de38,79,,,"[73.2, 25.2]",267197,1,,,,,2.105994,,Right Foot,,,,"[66.5, 36.5]",,Ground Pass,,13.1369705,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['1f7b0592-ce1f-4fa7-98e5-9fe77f1eff86'],23,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.856,Pass,,2014/2015
