bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.2577,,,,,,,,,,,,adc04271-823e-4f7c-8c05-f037b6f96627,83,,"[82.8, 26.2]",265952,1,,,,2.0214577,,Right Foot,,,,"[81.3, 29.3]",,Low Pass,3.443835,,,Incomplete,,Sergio Álvarez Díaz,13107.0,,,,,,,1,Regular Play,Jorge Franco Alviz,6624.0,Left Midfield,4,Sporting Gijón,1041,"['80bea034-0b58-428e-afdd-ac6d19e5674a', '824b8c8a-4edb-4991-9490-472f143ebaaf']",16,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:16.873,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.1723,,,,,,,,,,,,09ef3511-7060-4ac1-9766-33ed44dbc001,88,,"[96.7, 6.6]",265952,1,,,,1.253161,,Left Foot,True,,,"[106.3, 35.8]",,High Pass,30.737598,,,,,Douglas Pereira dos Santos,27318.0,,,,,,,1,Regular Play,Elderson Uwa Echiejile,27558.0,Left Back,4,Sporting Gijón,1041,['3e14326e-6922-45b7-8771-4c00662acd66'],20,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:20.881,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.616034,,,,,,,,,,,,dffebd15-f6a5-4f05-aa75-550da04e04ed,91,,"[6.0, 44.0]",265952,1,True,,,-1.0390723,,Right Foot,,,,"[23.0, 15.1]",,Ground Pass,33.52924,,,,,Jordi Alba Ramos,5211.0,,,,,,Goal Kick,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,5,Barcelona,217,['0c98a93b-6a51-4918-96df-7b77f3265e80'],31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.634,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.5413,,,,,,,,,,,,0e9cc731-f897-497c-a054-0693524ad768,93,,"[28.7, 14.4]",265952,1,,,,-0.47096008,,Left Foot,,,,"[50.5, 3.3]",,Ground Pass,24.463238,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Goal Kick,Jordi Alba Ramos,5211.0,Left Center Back,5,Barcelona,217,['4e69a4a6-ae7e-4fde-a61d-97df1668e7a9'],35,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.745,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.763891,,,,,,,,,,,,af02c175-3e2a-4b67-a43a-b66ecd3f27af,97,,"[49.7, 3.1]",265952,1,,,,0.041355718,,Right Foot,,,,"[64.2, 3.7]",,Ground Pass,14.512408,,,,,Denis Suárez Fernández,6609.0,,,,,,,1,From Goal Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,5,Barcelona,217,['66a8b2c3-0179-4fe8-a4d5-d0d972325e89'],37,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.591,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.6531,,,,,,,,,,,,c5da8a58-aed5-47e8-8c2e-8997609feb23,103,,"[63.4, 2.5]",265952,1,,,,1.5308176,,Right Foot,,,,"[63.6, 7.5]",,Ground Pass,5.0039983,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,Recovery,1,From Goal Kick,Denis Suárez Fernández,6609.0,Left Wing Back,5,Barcelona,217,['1e3eda8e-e9ff-45a0-84f5-7f0ac4587cd5'],42,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.676,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.906973,,,,,,,,,,,,c8352e08-2c16-4fdc-9647-c9356567649c,106,,"[72.4, 3.1]",265952,1,,,,2.1711695,,Right Foot,,,,"[64.8, 14.2]",,Ground Pass,13.452509,,,,,Denis Suárez Fernández,6609.0,,,,,,,1,From Goal Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,5,Barcelona,217,['4e511cbe-0c93-42ab-9c26-07dabe3155d1'],46,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.704,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.253354,,,,,,,,,,,,9e3ee949-dcff-4ab3-8b28-d8ec67127018,109,,"[65.0, 19.7]",265952,1,,,,1.6120951,,Right Foot,,,,"[64.0, 43.9]",,Ground Pass,24.220652,,,,,Ivan Rakitić,5470.0,,,,,,,1,From Goal Kick,Denis Suárez Fernández,6609.0,Left Wing Back,5,Barcelona,217,['0fe5d0f4-4f0e-4162-9b0c-10d89e2c82f8'],49,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.421,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.7278,,,,,,,,,,,,ea54c491-b97e-4a4d-8f28-0c0bc806d406,112,,"[66.5, 44.9]",265952,1,,,,1.0416687,,Right Foot,,,,"[73.4, 56.7]",,Ground Pass,13.669309,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Goal Kick,Ivan Rakitić,5470.0,Right Center Midfield,5,Barcelona,217,['f8e323a2-853a-43d4-a0d2-4569b299a4c7'],52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.805,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.640575,,,,,,,,,,,,86989756-4ede-41a0-8995-f88509182521,115,,"[73.4, 56.7]",265952,1,,,,-2.16501,,Left Foot,,,,"[68.4, 49.3]",,Ground Pass,8.930845,,,,,Ivan Rakitić,5470.0,,,,,,,1,From Goal Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,5,Barcelona,217,['68701131-7464-4fb5-9a49-0f98da5718e9'],53,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:53.573,Pass,,2016/2017
