bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,3.058805,,,,,,,,,,,,,0f675334-61fe-4e88-aca2-6c40c938c160,57,,"[29.2, 58.8]",15978,0,,,,-2.554635,,Right Foot,,,"[7.1, 44.1]",,Ground Pass,,26.54242,,,Gerónimo Rulli,6694.0,,,,,,,1,Regular Play,Aritz Elustondo Irribaria,6679.0,Right Center Back,4,Real Sociedad,210,['d059e3ee-3523-4da4-ab29-5a9f017090aa'],59,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:59.627,Pass,,2018/2019
,,,,,,,,,,,,,,,2.133321,,,,,,,,,,,,,41293430-889f-48c1-9526-5a59230edabb,60,,"[8.2, 44.2]",15978,1,,,,-1.0863184,,Right Foot,,,"[20.2, 21.4]",,Low Pass,,25.765093,,,Héctor Alfredo Moreno Herrera,5573.0,,,,,,,1,Regular Play,Gerónimo Rulli,6694.0,Goalkeeper,4,Real Sociedad,210,['c5f314ec-dc6f-49d6-acdc-4d48cc28bf34'],3,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:03.748,Pass,,2018/2019
,,,,,,,,,,,,,,,2.544896,,,,,,,,,,,,,6559e3b0-5a97-42b7-832f-5a3cec966448,63,,"[23.6, 21.7]",15978,1,,,,1.599002,,Left Foot,,,"[22.7, 53.6]",,Ground Pass,,31.912693,,,Aritz Elustondo Irribaria,6679.0,,,,,,,1,Regular Play,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,4,Real Sociedad,210,['ee6bbfa8-4f75-4e00-8d6a-397929f85216'],8,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:08.864,Pass,,2018/2019
,,,,,,,,,,,,,,,2.558968,,,,,,,,,,,,,96fd61f1-a0d7-461c-9177-6a106b64a1c8,66,,"[22.7, 55.9]",15978,1,,,,-2.4049363,,Right Foot,,,"[9.8, 44.2]",,Ground Pass,,17.41551,,,Gerónimo Rulli,6694.0,,,,,,,1,Regular Play,Aritz Elustondo Irribaria,6679.0,Right Center Back,4,Real Sociedad,210,['8328448e-d929-4f67-9ded-bfc90ddee671'],13,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:13.646,Pass,,2018/2019
,,,,,,,,,,,,,,,3.337968,,,,,,,,,,,,,91d5ba18-2ee4-49d2-847b-a27e1d0ec726,69,,"[12.8, 45.6]",15978,1,,,,-0.049323022,,Right Foot,,,"[75.6, 42.5]",,High Pass,,62.876465,Incomplete,,,,,,,,,,1,Regular Play,Gerónimo Rulli,6694.0,Goalkeeper,4,Real Sociedad,210,['cf7dd029-8a08-4837-b0c0-a6fdee56ec07'],25,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:25.883,Pass,,2018/2019
,,,,,,,,,,,,,,,1.602159,,,,,,,,,,,,,1b83c270-1fa2-4ec2-8e66-31990af24977,72,,"[44.3, 37.6]",15978,1,,,,-1.6027855,,Right Foot,,,"[43.5, 12.6]",,Ground Pass,,25.012796,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['d55f4e28-2148-42d6-876a-1e58b301d995'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.116,Pass,,2018/2019
,,,,,,,,,,,,,,,1.086662,,,,,,,,,,,,,8efde330-2758-4f72-85bb-23360582dd2f,75,,"[42.6, 10.5]",15978,1,,,,2.2538507,,Right Foot,,,"[34.3, 20.7]",,Ground Pass,,13.150285,,,Samuel Yves Umtiti,5492.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['144a9d30-63c8-49aa-86f5-b77b56340176'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.528,Pass,,2018/2019
,,,,,,,,,,,,,,,2.781299,,,,,,,,,,,,,9e7ba5c3-5fc4-4229-b153-f54355a273f7,78,,"[39.4, 19.7]",15978,1,,,,1.3932434,,Left Foot,,,"[49.7, 77.1]",,Low Pass,,58.316807,,,Nélson Cabral Semedo,6374.0,,,True,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['f8225fb4-fc3a-4daf-9908-89855f3b4079'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.354,Pass,,2018/2019
,,,,,,,,,,,,,,,1.637912,,,,,,,,,,,,,e8fe42c8-83cd-4483-b5a3-4a9d4377cb6d,81,,"[56.4, 77.9]",15978,1,,,,-2.6090007,,Right Foot,,,"[41.3, 69.0]",,Ground Pass,,17.527693,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,['b29d900a-268e-45cd-ad03-0483d20f52b6'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.777,Pass,,2018/2019
,,,,,,,,,,,,,,,3.275607,,,,,,,,,,,,,10d7e8b0-da73-4097-9fed-64969a629872,84,,"[41.3, 69.0]",15978,1,,,,-1.6562549,,Right Foot,,,"[36.1, 8.3]",,Ground Pass,,60.92233,,,Samuel Yves Umtiti,5492.0,,,True,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['b9cdfe3d-1da1-4655-ad01-61c18bb9186f'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.455,Pass,,2018/2019
,,,,,,,,,,,,,,,1.564579,,,,,,,,,,,,,f4579253-49c4-4b53-bbb5-5e7e09844095,87,,"[48.2, 9.9]",15978,1,,,,1.5127221,,Left Foot,,,"[49.2, 27.1]",,Ground Pass,,17.229046,,,Rafael Alcântara do Nascimento,6998.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['bd5a6051-463a-4802-9582-9b97da80502a'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.393,Pass,,2018/2019
,,,,,,,,,,,,,,,2.102338,,,,,,,,,,,,,4dba7f8e-55d9-4330-8d2a-152e90a55067,90,,"[63.8, 42.8]",15978,2,,,,-1.8308644,,Left Foot,,,"[57.6, 19.5]",,Ground Pass,,24.110786,,,Samuel Yves Umtiti,5492.0,,,,,,,1,Regular Play,Rafael Alcântara do Nascimento,6998.0,Left Center Midfield,5,Barcelona,217,['698daf5e-fa33-4ac2-a334-faea65c862f5'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.935,Pass,,2018/2019
,,,,,,,,,,,,,,,1.13015,,,,,,,,,,,,,395640c8-2ea4-423a-a46d-d9350ad4540d,93,,"[70.3, 12.3]",15978,2,,,,-0.6283316,,Left Foot,,,"[83.1, 3.0]",,Ground Pass,,15.82182,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['9c69d68e-e6d1-4c11-8f0a-84af84db06be'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:08.979,Pass,,2018/2019
,,,,,,,,,,,,,,,2.655676,,,,,,,,,,,,,40c2f204-bdb6-44d2-a0c1-4ce40db172a7,95,,"[83.5, 3.6]",15978,2,True,,,1.5083776,,Right Foot,,,"[84.2, 14.8]",,Ground Pass,,11.221853,Incomplete,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['2a8ce070-80a7-4cc9-a23e-86ca0f0343df'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:10.126,Pass,,2018/2019
,,,,,,,,,,,,,,,0.968189,,,,,,,,,,,,,8d1a640e-0c86-4876-b04f-8e30a7e36b8f,97,,"[35.2, 67.4]",15978,2,,,,-1.6856729,,Left Foot,,,"[34.0, 57.0]",,Ground Pass,,10.469002,,,Igor Zubeldia Elorza,6676.0,,,,,,,1,Regular Play,Mikel Oyarzabal Ugarte,6685.0,Right Midfield,5,Barcelona,217,['35761afe-3c87-4267-bced-14f5dc3430dc'],13,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:02:13.010,Pass,,2018/2019
