50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.991127,,,,,,,,,,,,,858c87d0-ac58-4094-a00f-7c179b93a159,51,,"[45.0, 54.4]",70304,0,,,,1.8925469,,Right Foot,,"[41.0, 66.4]",,Ground Pass,,12.649111,,,,,Laureano Sanabria Ruiz,23800.0,,,,,,1,Regular Play,Juan Carlos Valerón Santana,15602.0,Center Attacking Midfield,3,RC Deportivo La Coruña,219,['b455c525-7227-4d8f-a0ed-6a35facb3bae'],34,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:34.594,Pass,,2012/2013
,,,,,,,,,,,,,,,0.952968,,,,,,,,,,,,,4e66af3f-d61c-49e9-8d9f-e5d0a3f7d669,55,,"[68.4, 65.3]",70304,0,,,,1.6138731,,Right Foot,,"[67.9, 76.9]",,Ground Pass,,11.610771,,,,,Bruno Alexandre Vilela Gama,6868.0,,,,,,1,Regular Play,Laureano Sanabria Ruiz,23800.0,Right Back,3,RC Deportivo La Coruña,219,"['7461b132-7686-4269-a3f0-54611254acae', 'ca394d56-a2f1-40a2-bdbf-ff9b51ec414e']",38,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:38.762,Pass,True,2012/2013
,,,,,,,,,,,,,,,1.265984,,,,,,,,,,,,,fb623f0c-7e6e-467e-9bab-23f024f71c7f,58,,"[69.0, 76.9]",70304,0,,,,0.06594199,,Right Foot,,"[90.2, 78.3]",,Ground Pass,,21.246176,,,,,Iván Sánchez Rico Soto,26055.0,,,,,,1,Regular Play,Bruno Alexandre Vilela Gama,6868.0,Right Wing,3,RC Deportivo La Coruña,219,['940a9753-48ff-4d99-a0e8-d949a519682a'],41,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:41.222,Pass,,2012/2013
,,,,,,,,,,,,,,,1.212805,,,,,,,,,,,,,7fc2b1ab-7f60-429f-84be-10b51090314e,61,,"[88.5, 72.0]",70304,0,,,,-2.5520632,,Left Foot,,"[73.4, 61.9]",,Ground Pass,,18.166452,,,,,Alejandro Bergantiños García,23806.0,,,,,,1,Regular Play,Iván Sánchez Rico Soto,26055.0,Center Forward,3,RC Deportivo La Coruña,219,['9f8c7a69-3d95-44a4-9134-1e3537a13f02'],45,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:45.620,Pass,,2012/2013
,,,,,,,,,,,,,,,2.446796,,,,,,,,,,,,,318113fa-84e4-458c-a81a-2d55268b67a0,64,,"[73.4, 61.7]",70304,0,,,,-2.0585356,,Right Foot,,"[56.0, 28.9]",,Ground Pass,,37.1295,,,,,José Eduardo Rosa Vale de Castro,26222.0,,,,,,1,Regular Play,Alejandro Bergantiños García,23806.0,Right Center Midfield,3,RC Deportivo La Coruña,219,['9df91ae3-c45c-4973-8a0b-2f795f79d919'],47,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:47.863,Pass,,2012/2013
,,,,,,,,,,,,,,,4.648865,,,,,,,,,,,,,491949a4-f9c3-470c-a098-d192daf762d7,67,,"[61.8, 23.1]",70304,0,,,,-0.40058255,,Left Foot,,"[109.5, 2.9]",,High Pass,,51.80087,,,,,Ayoze Díaz Díaz,26147.0,,,,,,1,Regular Play,José Eduardo Rosa Vale de Castro,26222.0,Left Center Back,3,RC Deportivo La Coruña,219,['8e63af46-792d-4ecc-a877-8a792a90dab7'],52,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:52.163,Pass,,2012/2013
,,,,,,,,,,,,,,,0.8433,,,,,,,,,,,,,b2eb620d-f1f0-4496-9b2e-09814240ff85,74,,"[110.8, 6.5]",70304,0,,,,1.3768371,,Right Foot,,"[115.2, 28.9]",,High Pass,,22.828053,,,Incomplete,,,,,,,,,1,Regular Play,Ayoze Díaz Díaz,26147.0,Left Back,3,RC Deportivo La Coruña,219,['740ba495-fd37-42df-8c6f-922b4dda0dfd'],58,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:58.363,Pass,,2012/2013
,,,,,,,,,,,,,,,1.5664,,,,,,,,,,,,,803a61f3-52f8-4efa-a4ad-6f678e2b6a30,77,,"[18.6, 74.7]",70304,1,,,,-2.4864058,,Right Foot,,"[9.1, 67.4]",,Low Pass,,11.980818,,,,,Francesc Fàbregas i Soler,3478.0,,,,,Recovery,1,Regular Play,Cristian Tello Herrera,6658.0,Right Wing,4,Barcelona,217,['538e2c9d-f5b6-4709-bf73-7e83469628f8'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.724,Pass,,2012/2013
,,,,,,,,,,,,,,,0.971878,,,,,,,,,,,,,2afd1532-bd22-4e30-a717-9be8e2cfdeb5,81,,"[6.4, 64.9]",70304,1,,,,-0.96072227,,Left Foot,,"[13.6, 54.6]",,Ground Pass,,12.56702,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,4,Barcelona,217,['79401ff2-a432-4190-9d44-543cdd0b9d7a'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.154,Pass,,2012/2013
,,,,,,,,,,,,,,,0.7641,,,,,,,,,,,,,12e506ab-4cc6-47a9-968e-f0193ba40194,84,,"[13.8, 54.6]",70304,1,,,,-0.0130711505,,Right Foot,,"[29.1, 54.4]",,Ground Pass,,15.301307,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Right Center Back,4,Barcelona,217,['02e5cebf-221a-44d3-85c9-9800582582d8'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.679,Pass,,2012/2013
