50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,"[106.4, 66.6]",,,,,,,,,,,,1.392042,,,,,,,,,,,,,02c04da0-47be-45f9-96cf-2ed0caabb984,2922,,"[105.0, 71.0]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jorge Andújar Moreno,6672.0,Right Back,129,Sevilla,213,"['99605887-ba65-47de-9ed7-e90b96d0826d', 'aa9b2b2e-d586-464e-b49e-cef1cbc55188']",35,,,,,,,,,,,,,,,Sevilla,213,00:21:35.148,Carry,,2014/2015
,,,,,"[2.2, 15.0]",,,,,,,,,,,,1.8119,,,,,,,,,,,,,6c9bc936-524e-458f-82e0-deed7ebf8f85,2927,,"[5.9, 15.0]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,130,Barcelona,217,"['00699962-c64f-45c3-9d74-abef0b1e50b9', '3633c4a0-5ffc-4319-9a6b-8a40918ddd90', 'a4a52d82-321a-4ab6-8a36-e42d374bfacf']",40,,,,,,,,,,,,,,,Barcelona,217,00:21:40.133,Carry,True,2014/2015
,,,,,"[56.9, 27.5]",,,,,,,,,,,,2.7482,,,,,,,,,,,,,e9cf1ab6-6bf6-4cb1-ad84-e079a152e270,2935,,"[50.3, 29.8]",266142,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,131,Barcelona,217,"['2b7efcac-41e0-424a-8dcf-8a4ce259271f', '4d660e7a-5ccb-4a72-8198-4d73b7410c81', '6d5eb3b5-b560-417f-8d20-2654681a36d6']",7,,,,,,,,,,,,,,,Barcelona,217,00:22:07.831,Carry,True,2014/2015
,,,,,"[65.9, 52.5]",,,,,,,,,,,,1.6272,,,,,,,,,,,,,0c1644ec-8e3f-4757-b03a-5d4d54823411,2939,,"[63.2, 52.6]",266142,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Aleix Vidal Parreu,6400.0,Right Wing,132,Sevilla,213,"['52b7bea6-bad9-4bea-a57d-04cfc1a74550', 'b9ad090e-f2ee-4e8a-98ee-25e030cb2ee9']",10,,,,,,,,,,,,,,,Sevilla,213,00:22:10.580,Carry,,2014/2015
,,,,,"[92.6, 42.3]",,,,,,,,,,,,1.493211,,,,,,,,,,,,,0ba944dc-a795-47a3-91dc-8d63b0b90a8d,2942,,"[83.2, 43.2]",266142,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Carlos Arturo Bacca Ahumada,5688.0,Center Forward,132,Sevilla,213,"['aa9d9290-7fca-4796-8e5b-83e89070363f', 'e9ae6d40-a74f-4a0c-a136-f728a26248f7']",13,,,,,,,,,,,,,,,Sevilla,213,00:22:13.364,Carry,,2014/2015
,,,,,"[29.2, 6.2]",,,,,,,,,,,,0.676666,,,,,,,,,,,,,01e8563d-3248-4abb-ac50-5a6cf8736631,2953,,"[29.2, 6.2]",266142,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Benoît Trémoulinas,27483.0,Left Back,134,Sevilla,213,"['381d1ef9-1be7-467e-87a9-d191bcfd98b9', '70e7b2c4-8e5f-4f87-9f87-a873a0e7c9aa']",4,,,,,,,,,,,,,,,Sevilla,213,00:23:04.639,Carry,,2014/2015
,,,,,"[34.8, 15.9]",,,,,,,,,,,,0.119962,,,,,,,,,,,,,2280c946-b0ea-4631-b02a-0fce5097357a,2956,,"[34.8, 15.9]",266142,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Daniel Filipe Martins Carriço,6825.0,Left Center Back,134,Sevilla,213,"['4d799596-29eb-4445-bdb9-7f5ef4139650', '7ce38632-3f35-4e74-9703-31f3fec60ac1']",6,,,,,,,,,,,,,,,Sevilla,213,00:23:06.387,Carry,,2014/2015
,,,,,"[20.0, 24.8]",,,,,,,,,,,,0.105798,,,,,,,,,,,,,bc2877c9-d46c-44dc-b884-731b1b3fc4ff,2959,,"[20.0, 24.8]",266142,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nicolás Martín Pareja,7909.0,Right Center Back,134,Sevilla,213,"['083c689e-a5dd-4e8a-9c93-ed3a8ecc073c', '96890e77-699e-4919-94f7-f9715e0a8f2f']",9,,,,,,,,,,,,,,,Sevilla,213,00:23:09.029,Carry,,2014/2015
,,,,,"[62.4, 47.0]",,,,,,,,,,,,0.8449,,,,,,,,,,,,,cc0353f4-3b52-4589-948f-489269d31c7f,2965,,"[57.7, 50.3]",266142,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,135,Barcelona,217,"['6082be88-ff6d-4dee-8eeb-fbb83796ea4e', '646063ea-0ff0-4988-aae2-8efb432c0a51', 'c0d089b8-8e38-4805-a7a8-62f3f8579a6d']",14,,,,,,,,,,,,,,,Barcelona,217,00:23:14.922,Carry,True,2014/2015
,,,,,"[65.9, 29.8]",,,,,,,,,,,,4.160942,,,,,,,,,,,,,d5162f72-0c0a-4814-84df-651822315abc,2970,,"[56.3, 38.7]",266142,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,135,Barcelona,217,"['56b7e694-a125-4478-a08a-2a312873487c', 'e09ce8df-a39b-4bb7-a62d-4d935dc7f916']",17,,,,,,,,,,,,,,,Barcelona,217,00:23:17.731,Carry,,2014/2015
,,,,,"[69.3, 29.6]",,,,,,,,,,,,1.563364,,,,,,,,,,,,,86f06f59-87f6-4f10-b996-9098032abada,2973,,"[69.3, 29.5]",266142,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,135,Barcelona,217,"['53e292e5-b89c-41d6-86f6-e29149bcca08', '5f47643e-943a-48b2-9ee4-6d2d0c9ff68c', '5fc1e96e-204a-46a7-89ef-8655e3d7fd97']",22,,,,,,,,,,,,,,,Barcelona,217,00:23:22.542,Carry,True,2014/2015
,,,,,"[68.0, 38.7]",,,,,,,,,,,,0.945736,,,,,,,,,,,,,71a24240-ccac-48e0-af03-db98f822d82f,2977,,"[69.3, 29.6]",266142,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,135,Barcelona,217,"['53e292e5-b89c-41d6-86f6-e29149bcca08', '6d5c0120-a778-4321-8d51-3a4d10c3685a', '7df61f3e-6d2d-4d2e-9064-514703916376', 'b692128b-f1db-4a51-8bd4-ebbfbf55edac']",24,,,,,,,,,,,,,,,Barcelona,217,00:23:24.106,Carry,True,2014/2015
,,,,,"[73.0, 46.8]",,,,,,,,,,,,0.034700003,,,,,,,,,,,,,d4dc930e-c877-4f35-a8e8-c14a48bb66b5,2981,,"[73.0, 46.8]",266142,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,135,Barcelona,217,"['49aeaca1-6590-4f62-a106-3410fc49bb86', '6bc8457c-ad37-4f14-a142-730d4f4606fc']",25,,,,,,,,,,,,,,,Barcelona,217,00:23:25.964,Carry,,2014/2015
