50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.271167,,,,,,,,,,,,,,45c599cf-fb2c-471e-babf-4300934282fb,49,,"[50.2, 64.1]",70305,0,,,,,-1.9435005,,Right Foot,,,"[45.0, 50.8]",,Ground Pass,,14.280406,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,3,Barcelona,217,['0a701512-d7f5-48f3-84db-65322996a2b0'],34,,,,,,,,,,,,,,,Barcelona,217,00:00:34.373,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.537931,,,,,,,,,,,,,,977a74e7-76f8-4c07-8a97-5dad4b0753f8,52,,"[44.1, 45.0]",70305,0,,,,,-0.5926038,,Right Foot,,,"[59.1, 34.9]",,Ground Pass,,18.083418,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,3,Barcelona,217,['39bab8a6-4035-45ce-bb61-3834c6764873'],37,,,,,,,,,,,,,,,Barcelona,217,00:00:37.255,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.985395,,,,,,,,,,,,,,9aa3484c-25df-4103-936a-a58d84c52137,56,,"[57.6, 36.0]",70305,0,,,,,2.6745322,,Right Foot,,,"[45.9, 41.9]",,Ground Pass,,13.103435,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,3,Barcelona,217,"['c10a82fc-230a-406a-acfc-52c527e40501', 'e9617104-6d45-48d1-8fc2-4d6b8358f972']",38,,,,,,,,,,,,,,,Barcelona,217,00:00:38.159,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,1.219842,,,,,,,,,,,,,,cbf736c7-c745-4783-a4e8-9a9ca955ad13,59,,"[42.8, 46.0]",70305,0,,,,,0.8665206,,Right Foot,,,"[54.1, 59.3]",,Ground Pass,,17.45222,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,3,Barcelona,217,['df99eece-343c-441a-aab4-c64e98ada245'],40,,,,,,,,,,,,,,,Barcelona,217,00:00:40.594,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.138067,,,,,,,,,,,,,,653f7a32-e2c3-4b52-a565-6dac67b0ca93,62,,"[54.6, 62.6]",70305,0,,,,,1.4413866,,Right Foot,,,"[56.5, 77.2]",,Ground Pass,,14.723111,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,3,Barcelona,217,['0c22a860-9300-4f94-9168-79c67a9ac2e0'],44,,,,,,,,,,,,,,,Barcelona,217,00:00:44.741,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.696434,,,,,,,,,,,,,,d87aee24-8ea9-44a4-b2d3-47cf931444bc,66,,"[57.8, 76.5]",70305,0,,,,,-2.4489508,,Right Foot,,,"[43.7, 64.8]",,Ground Pass,,18.322117,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['dcf96515-64c5-4e31-95ea-6ba42252f041'],46,,,,,,,,,,,,,,,Barcelona,217,00:00:46.110,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.978619,,,,,,,,,,,,,,f752ccda-eb27-4699-872f-e60ca84b40e5,69,,"[48.7, 52.4]",70305,0,,,,,-1.6281105,,Right Foot,,,"[48.0, 40.2]",,Ground Pass,,12.220065,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['57f5ec44-30a5-4c1b-b912-38861dd3a905'],51,,,,,,,,,,,,,,,Barcelona,217,00:00:51.414,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.979843,,,,,,,,,,,,,,9549d0aa-b808-407f-a031-d367e170584f,77,,"[69.1, 56.3]",70305,0,,,,,-1.5227563,,Right Foot,,,"[69.6, 45.9]",,Ground Pass,,10.412012,,Nélson Miguel Castro Oliveira,20137.0,,,,,,1,Regular Play,Juan Carlos Valerón Santana,15602.0,Center Attacking Midfield,3,Barcelona,217,['51ad236d-05fa-4d33-b534-655bd16f048d'],58,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:58.890,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.307929,,,,,,,,,,,,,,a1a702a5-03bf-4f56-bff7-6276021c6267,85,,"[46.1, 42.8]",70305,1,,,,,0.9803812,,Right Foot,,,"[58.9, 61.9]",,Ground Pass,,22.99239,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,3,Barcelona,217,['2516e869-c50e-4167-99d3-19910f469e08'],3,,,,,,,,,,,,,,,Barcelona,217,00:01:03.557,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.3081,,,,,,,,,,,,,,2386c8e3-5284-411b-908b-6e4e6d7676e2,91,,"[57.1, 23.4]",70305,1,,,,,-1.5042281,,Left Foot,,,"[57.3, 20.4]",,Low Pass,,3.0066593,Incomplete,Sílvio Manuel Azevedo Ferreira Sá Pereira,23364.0,,,,,Recovery,1,Regular Play,Abel Enrique Aguilar Tapia,6192.0,Left Center Midfield,3,Barcelona,217,"['22acdf5d-51aa-4bbf-8a73-84db0c081373', 'af93a0f2-28dc-41da-b62e-8f897c23895a']",7,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:07.234,Pass,,2012/2013
