ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.265304,,,,,,,,,,,,,84afc94f-e465-410b-8e8c-d63a839d5875,49,,"[38.1, 62.7]",68341,0,,,,0.19612168,,Left Foot,,,"[53.2, 65.7]",,Ground Pass,15.395129,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Left Center Back,2,Barcelona,217,['c799f53b-d33f-47f0-828c-0b2c138bbfc9'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.710,Pass,,2006/2007
,,,,,,,,,,,,,,,1.018411,,,,,,,,,,,,,40106ec3-5847-42f6-a9a1-16ba5f05d514,52,,"[53.2, 65.7]",68341,0,,,,2.3608027,,Right Foot,,,"[42.3, 76.5]",,Ground Pass,15.34438,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Center Defensive Midfield,2,Barcelona,217,['b51b3322-2522-4ae1-b4f7-4fae12c03fc6'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.800,Pass,,2006/2007
,,,,,,,,,,,,,,,1.792468,,,,,,,,,,,,,df2ca4ea-7aa1-46c1-a5e1-397e5166c1ff,55,,"[42.3, 76.5]",68341,0,,,,-2.169857,,Right Foot,,,"[32.4, 62.0]",,Ground Pass,17.557335,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['fdfda44f-00ae-4722-94be-910b442ad1fa'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.547,Pass,,2006/2007
,,,,,,,,,,,,,,,2.221474,,,,,,,,,,,,,94592423-da54-462a-b59b-dce3c2cd0900,58,,"[32.4, 62.0]",68341,0,,,,-0.5767986,,Right Foot,,,"[40.7, 56.6]",,Ground Pass,9.90202,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Left Center Back,2,Barcelona,217,['879fdabe-1f39-4acb-a11f-418c20303384'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.512,Pass,,2006/2007
,,,,,,,,,,,,,,,1.501345,,,,,,,,,,,,,698768af-7082-45b6-875e-d158fad4b128,62,,"[41.4, 67.6]",68341,0,,,,0.8190933,,Right Foot,,,"[50.0, 76.8]",,Ground Pass,12.593649,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['f945dfba-f53a-452b-b7b5-e47af3457555'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.864,Pass,,2006/2007
,,,,,,,,,,,,,,,1.958027,,,,,,,,,,,,,784d882b-1e06-463f-9d28-d659140e3f92,65,,"[50.3, 77.5]",68341,0,,,,-2.3488953,,Right Foot,,,"[29.9, 56.8]",,Ground Pass,29.062862,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['6530f5d3-ac59-4682-a12c-277a0d325ecb'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.637,Pass,,2006/2007
,,,,,,,,,,,,,,,2.323996,,,,,,,,,,,,,61d325bd-6d46-48a1-801a-16c3a7a3014b,68,,"[29.9, 56.8]",68341,1,,,,-1.2961382,,Right Foot,,,"[43.2, 9.6]",,Ground Pass,49.038048,,,,Sylvio Mendes Campos Junior,25854.0,,True,,,,1,From Kick Off,Lilian Thuram,15071.0,Left Center Back,2,Barcelona,217,['c9077180-2b61-4654-9628-fa2cdadb23cd'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.817,Pass,,2006/2007
,,,,,,,,,,,,,,,0.854857,,,,,,,,,,,,,8d74152e-fc86-4ed0-a8c2-44df83cecd13,71,,"[56.2, 11.0]",68341,1,,,,-0.22290023,,Left Foot,,,"[78.7, 5.9]",,Ground Pass,23.07076,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['c0259fd1-d34d-42d6-90e4-11771897d06c'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.014,Pass,,2006/2007
,,,,,,,,,,,,,,,2.090625,,,,,,,,,,,,,7ff06f48-e0ff-414b-b21b-8625335e92a3,77,,"[79.3, 0.1]",68341,1,,,,2.3689327,,,,,"[63.4, 15.6]",,Low Pass,22.204954,,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,3,Barcelona,217,['18cbce83-844e-4776-a639-d3d8a4335b3a'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.885,Pass,,2006/2007
,,,,,,,,,,,,,,,2.053951,,,,,,,,,,,,,f5843703-bcf6-4924-8fa0-aefc6e07f903,80,,"[63.4, 15.6]",68341,1,,,,1.7948837,,Right Foot,,,"[50.5, 72.2]",,Low Pass,58.05144,,,,Gianluca Zambrotta,15774.0,,True,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Center Defensive Midfield,3,Barcelona,217,['c725a6ab-8b23-4a27-b65c-f5812185139e'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.392,Pass,,2006/2007
,,,,,,,,,,,,,,,0.832379,,,,,,,,,,,,,4414eb5d-ae03-43b9-befc-79b62310f2c9,83,,"[56.3, 78.1]",68341,1,,,,-0.6287963,,Right Foot,,,"[67.3, 70.1]",,Ground Pass,13.601471,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,3,Barcelona,217,['6849671a-cc0e-4930-b013-782b6f0069ec'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.025,Pass,,2006/2007
,,,,,,,,,,,,,,,0.955248,,,,,,,,,,,,,bb49e25a-b299-40e4-93ee-5099248b7bac,86,,"[66.6, 70.8]",68341,1,,,,2.6376739,,Right Foot,,,"[55.9, 76.7]",,Ground Pass,12.218838,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,['1116bf9c-a9bc-4b36-81f9-6d8e5dc16c7b'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.937,Pass,,2006/2007
,,,,,,,,,,,,,,,1.657884,,,,,,,,,,,,,a089ed62-c25b-4e3e-8158-ac7fe6da1cea,89,,"[48.3, 75.5]",68341,1,,,,-2.3357892,,Right Foot,,,"[33.9, 60.5]",,Ground Pass,20.793268,,,,Lilian Thuram,15071.0,,,,,,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,3,Barcelona,217,['4fb5539e-02df-4444-a15c-4d2688bc8e9b'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.240,Pass,,2006/2007
,,,,,,,,,,,,,,,2.428965,,,,,,,,,,,,,20b240fb-9819-4e2e-bb6e-df0ccc3a6f6f,92,,"[33.9, 60.5]",68341,1,,,,-1.2213606,,Right Foot,,,"[51.5, 12.2]",,Ground Pass,51.40671,,,,Sylvio Mendes Campos Junior,25854.0,,True,,,,1,From Throw In,Lilian Thuram,15071.0,Right Center Back,3,Barcelona,217,['5ee4aaa9-94a3-4d2b-8792-3ec81bfe4990'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.890,Pass,,2006/2007
