50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.74913,,,,,,,,,,,,,89ffe332-41b9-4327-b792-4ec174af3dcb,46,,,"[111.1, 57.5]",3773660,0,,,,-1.9058794,d2cba3d9-b3a0-4111-931d-52f56f5ad63f,Right Foot,True,,,"[107.2, 46.3]",,Ground Pass,,11.859595,,,,Philippe Coutinho Correia,3501.0,True,,,,,,1,From Throw In,Sergino Dest,21881.0,Right Back,4,Barcelona,217,['e65e4255-0764-49ca-a997-f39892d41bed'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.896,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.591758,,,,,,,,,,,,,1eca8341-9153-49a5-95f1-981e373d9827,50,,,"[7.0, 44.1]",3773660,1,True,,,0.9791966,,Right Foot,,,,"[28.5, 76.1]",,High Pass,,38.551914,,,,Jorge Andújar Moreno,6672.0,,,,,,Goal Kick,1,From Goal Kick,Aitor Fernández Abarisketa,23344.0,Goalkeeper,5,Levante UD,221,['b70aebce-c4ef-4216-8efa-3a16ebeb72ee'],16,,,,,,,,,,,,,,,,,Levante UD,221,00:01:16.717,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.241828,,,,,,,,,,,,,d33597a5-2c91-4023-8ec2-598e574dab46,52,,,"[25.7, 74.0]",3773660,1,,,,-2.1132278,,Right Foot,,,,"[16.9, 59.4]",,Ground Pass,,17.046993,,,,Sergio Postigo Redondo,6682.0,,,,,,,1,From Goal Kick,Jorge Andújar Moreno,6672.0,Right Back,5,Levante UD,221,['4ace8152-c022-426c-8bb0-753ed3cbf71c'],23,,,,,,,,,,,,,,,,,Levante UD,221,00:01:23.207,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.723706,,,,,,,,,,,,,69b16f43-e1d2-45f8-9d23-8221dc70530c,55,,,"[34.9, 60.3]",3773660,1,,,,0.015623729,,Right Foot,,,,"[47.7, 60.5]",,Ground Pass,,12.801562,,,,Nikola Vukčević,17303.0,,,,,,,1,From Goal Kick,Sergio Postigo Redondo,6682.0,Right Center Back,5,Levante UD,221,['03327266-d2e8-4550-8aad-dd3fec9dfe7d'],31,,,,,,,,,,,,,,,,,Levante UD,221,00:01:31.141,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.182435,,,,,,,,,,,,,bb44ceac-c779-4ca1-b165-95f40b1ece1c,58,,,"[58.0, 66.9]",3773660,1,,,,0.76101273,,Left Foot,,,,"[70.6, 78.9]",,Ground Pass,,17.4,,,,Jorge De Frutos Sebastián,32673.0,,,,,,,1,From Goal Kick,Nikola Vukčević,17303.0,Right Defensive Midfield,5,Levante UD,221,['93937f91-ca84-429c-ab58-d75c4311a16c'],34,,,,,,,,,,,,,,,,,Levante UD,221,00:01:34.110,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.513414,,,,,,,,,,,,,aa99e072-ce1b-4250-bdcd-314fd71412ab,61,,,"[70.2, 76.3]",3773660,1,,,,-1.0214218,,Right Foot,,,,"[76.2, 66.5]",,Ground Pass,,11.490866,,Incomplete,,Gonzalo Julián Melero Manzanares,11669.0,,,,,,,1,From Goal Kick,Jorge De Frutos Sebastián,32673.0,Right Midfield,5,Levante UD,221,"['3c71ac4f-6244-4447-b0b8-0fc66a019579', 'ac6e99bf-91a9-4b49-a317-293bac389c43']",36,,,,,,,,,,,,,,,,,Levante UD,221,00:01:36.064,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.099213,,,,,,,,,,,,,ff04d24f-6e88-4586-b53f-453e9db4b47d,67,,,"[111.1, 74.6]",3773660,1,,,,-1.4659194,,Right Foot,,,,"[111.3, 72.7]",,High Pass,,1.9104973,,Incomplete,,Roger Martí Salvador,6684.0,,,,,,,1,From Goal Kick,Daniel Gómez Alcón,30593.0,Right Center Forward,5,Levante UD,221,"['59fa9e1b-ba10-4787-84c8-8425c4bf9629', 'd3914e80-5d93-4124-bda9-dffda2fe2db9']",40,,,,,,,,,,,,,,,,,Levante UD,221,00:01:40.385,Pass,,2020/2021
,,,,,,,,,,,,,,,,,4.396066,,,,,,,,,,,,,44751745-18b2-47ed-92e3-0d8c275db7e0,70,,,"[120.0, 80.0]",3773660,2,,,,-1.9038246,,Right Foot,,,,"[98.0, 16.4]",,High Pass,,67.29755,,,True,Daniel Gómez Alcón,30593.0,,,True,Outswinging,,Corner,1,From Corner,Jorge De Frutos Sebastián,32673.0,Right Midfield,6,Levante UD,221,['fbfa52d9-bd38-42b6-9365-e1affd204d9f'],20,,,,,,,,,,,,,,,,,Levante UD,221,00:02:20.852,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.893016,,,,,,,,,,,,,5f8ea677-a50c-4946-b53e-360b01941acb,73,,,"[96.7, 18.8]",3773660,2,,,,0.75540715,,Right Foot,,,,"[117.3, 38.2]",,High Pass,,28.296997,,Incomplete,,Sergio Postigo Redondo,6682.0,,,,,,,1,From Corner,Daniel Gómez Alcón,30593.0,Right Center Forward,6,Levante UD,221,"['ba152807-2965-4ea2-9f68-27f512d9cc3b', 'f9213529-6103-4209-8ac1-0365927258fc']",27,,,,,,,,,,,,,,,,,Levante UD,221,00:02:27.274,Pass,,2020/2021
,,,,,,,,,,,,,,,,,4.318374,,,,,,,,,,,,,961e75d1-bf96-46f8-99e7-82991eaaa533,77,,,"[15.9, 41.2]",3773660,2,,,,0.58461994,,Keeper Arm,,,,"[70.6, 77.4]",,High Pass,,65.59367,,,,Sergino Dest,21881.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,7,Barcelona,217,['0943004c-030a-47da-a013-3dcf507b84fe'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:02:37.102,Pass,,2020/2021
