bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.193274,,,,,,,,,,,,,,e29f872f-1b6c-41f2-b5f0-fee089201b82,49,,"[13.7, 0.1]",266033,0,,,,1.815775,,,,,"[4.6, 36.5]",,Low Pass,,37.52026,,,,Marc-André ter Stegen,20055.0,,,,,Throw-in,1,From Throw In,Lucas Digne,6849.0,Left Back,3,Barcelona,217,['7365fd48-f236-4fd4-9ae1-6db87a1e71c6'],53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.690,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.603054,,,,,,,,,,,,,,522c1df0-411d-42fb-b2c8-78963cd451e0,52,,"[6.5, 40.7]",266033,0,,,,1.0888232,,Right Foot,,,"[24.6, 75.3]",,Ground Pass,,39.0483,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['b5dab742-3b0d-4e7d-a0a5-59f23f340d63'],57,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.856,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.255598,,,,,,,,,,,,,,1bb954e6-8e89-4b89-81ff-e40dce72e61f,55,,"[35.7, 75.1]",266033,1,,,,0.15692687,,Right Foot,,,"[51.5, 77.6]",,Ground Pass,,15.996562,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['a3f6c180-7bf5-4027-9cfb-723e1087917c'],1,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.551,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.60819,,,,,,,,,,,,,,aa6562ea-b735-43b2-a74a-60b09fa9e7ee,58,,"[56.0, 76.8]",266033,1,,,,-1.6247978,,Left Foot,,,"[55.2, 62.0]",,Ground Pass,,14.821606,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['6d3e3fd0-b338-4b58-a577-df5f31cdb61c'],4,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.759,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.058033,,,,,,,,,,,,,,77302805-3259-4460-b8b0-d7920792a3de,61,,"[62.7, 62.0]",266033,1,,,,1.7681919,,Left Foot,,,"[60.7, 72.0]",,Ground Pass,,10.198039,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['32f44bbe-3d8e-43d7-824d-406113a34312'],9,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.113,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.986037,,,,,,,,,,,,,,d5476f7e-d41c-4b7f-8903-2d7cd9cb95f8,65,,"[58.8, 59.2]",266033,1,,,,-1.7271191,,Left Foot,,,"[53.0, 22.4]",,Ground Pass,,37.25426,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['725bf5db-ae48-4c7d-9d2b-aa82d2f6c6e5', 'f9a23380-66bc-4ca7-83c6-39a533434911']",12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.789,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.129685,,,,,,,,,,,,,,6620c420-c4e3-47dd-b6f2-431909396862,68,,"[55.9, 16.9]",266033,1,,,,-1.0002136,,Right Foot,,,"[64.5, 3.5]",,Ground Pass,,15.922312,,,,Lucas Digne,6849.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['4276a19c-e260-4195-ab24-573489d5ab04'],16,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.319,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.30058,,,,,,,,,,,,,,7e0e65d6-ed4b-4f81-8530-b027691d0ec8,71,,"[64.5, 3.5]",266033,1,,,,2.5373912,,Right Foot,,,"[49.0, 14.2]",,Ground Pass,,18.834543,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Lucas Digne,6849.0,Left Back,3,Barcelona,217,['0817e2e9-136f-49c2-a631-4fcdcd60a65a'],17,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.523,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.542341,,,,,,,,,,,,,,be2e1128-6567-45c4-9869-899c28c7fdb1,74,,"[49.5, 15.1]",266033,1,,,,1.6329173,,Left Foot,,,"[46.9, 56.9]",,Ground Pass,,41.880783,,,,Javier Alejandro Mascherano,5506.0,,True,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['bb56ab64-0f28-4438-9b88-e176af39f7c2'],20,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.261,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.120929,,,,,,,,,,,,,,909438e6-a9ce-443a-b93a-6efb1b0a5240,77,,"[46.9, 56.9]",266033,1,,,,0.648332,,Right Foot,,,"[66.7, 71.9]",,Ground Pass,,24.84029,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,['a873a309-4c95-4aed-8b85-7e2f5046567a'],24,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.113,Pass,,2016/2017
