bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,f1cd79ce-5a71-4ed9-b184-4a47745ba316,48,,"[57.5, 11.3]",303634,0,,,,,-0.8310517,,Left Foot,,,,"[66.9, 1.0]",,Ground Pass,,13.944533,,,,,Anssumane Fati,30756.0,,,,,,1,Regular Play,Héctor Junior Firpo Adames,17304.0,Left Back,3,Barcelona,217,['05bdc37c-df2b-41a2-ac16-07734d48158d'],50,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.234,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.805002,,,,,,,,,,,,a39462ad-91b2-43e7-8bb9-bf702c8e0bd4,51,,"[66.1, 3.1]",303634,0,,,,,1.6292403,,Right Foot,,,,"[65.0, 21.9]",,Ground Pass,,18.832153,,,,,Ricard Puig Martí,24841.0,,,,,,1,Regular Play,Anssumane Fati,30756.0,Left Wing,3,Barcelona,217,['80958ae1-8172-47ef-b94d-6be1466e5174'],53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.742,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.999999,,,,,,,,,,,,b58fe746-e91e-4c5f-ada2-d6633406617f,55,,"[63.1, 23.4]",303634,0,,,,,2.2676017,,Right Foot,,,,"[47.2, 42.4]",,Ground Pass,,24.775188,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Ricard Puig Martí,24841.0,Left Center Midfield,3,Barcelona,217,"['91106d00-6881-4491-89b6-67576ffc063f', 'f346e911-2db2-4bc9-9225-4a887cf05010']",55,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.347,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,06677e65-6734-47e0-a0a0-13e56cf45419,58,,"[53.4, 47.8]",303634,1,,,,,1.3279775,,Right Foot,,,,"[58.8, 69.6]",,Ground Pass,,22.45885,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['85e90f10-0f59-4648-a29d-5ee054d09713'],0,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.015,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,c4cf75f8-fba5-4b85-8e60-3081d539f45d,62,,"[59.0, 62.3]",303634,1,,,,,-1.8464631,,Right Foot,,,,"[51.9, 37.2]",,Ground Pass,,26.084862,,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['0f42545e-b776-4087-8478-f5453de7de51'],3,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.734,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.30222,,,,,,,,,,,,34bb0bb7-b749-4e92-90a5-2a0846805a6b,65,,"[58.2, 32.5]",303634,1,,,,,-1.0724806,,Left Foot,,,,"[69.3, 12.1]",,Ground Pass,,23.22434,,,,,Héctor Junior Firpo Adames,17304.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['71781476-1774-4cbb-af39-2a817dd27101'],7,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.353,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.184003,,,,,,,,,,,,b69af76e-bf16-4bd5-ad53-a282f2206cb5,68,,"[76.0, 9.5]",303634,1,,,,,-0.60267663,,Left Foot,,,,"[86.9, 2.0]",,Ground Pass,,13.231024,,,,,Anssumane Fati,30756.0,,,,,,1,Regular Play,Héctor Junior Firpo Adames,17304.0,Left Back,3,Barcelona,217,['7c7ee9ed-5f95-473c-99ed-c525c81586a6'],10,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.903,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.997548,,,,,,,,,,,,1c7ac400-0069-488d-93e9-afc873436f54,71,,"[94.8, 8.9]",303634,1,,,,,2.3884413,,Right Foot,,,,"[85.2, 17.9]",,Ground Pass,,13.159027,,,,,Ricard Puig Martí,24841.0,,,,,,1,Regular Play,Anssumane Fati,30756.0,Left Wing,3,Barcelona,217,['95677792-bba7-4a4a-a05e-c2af20cb3e92'],15,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.077,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,2.480369,,,,,,,,,,,,7e13c532-a132-4f72-86e7-2a68f1e80399,74,,"[81.6, 19.8]",303634,1,,,,,1.7681919,,Right Foot,,,,"[73.8, 58.8]",,High Pass,,39.77235,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Ricard Puig Martí,24841.0,Left Center Midfield,3,Barcelona,217,['033422f9-c400-4f48-8fa2-c322f550da33'],17,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.613,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.898881,,,,,,,,,,,,14cf87ef-18a0-4a09-a91b-796e9d89332c,77,,"[79.6, 64.7]",303634,1,,,,,1.5316007,,Left Foot,,,,"[79.8, 69.8]",,Ground Pass,,5.10392,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['a11b71e8-90fd-4f80-8c1b-8244c9b2d0bc'],21,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.939,Pass,,2019/2020
