ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,1.44178,,,,,,,,,,,af32c60a-eac3-47c8-ba28-229ba9983746,3210,,"[71.5, 72.9]",3773672,70,,,,-1.9596558,,Right Foot,,,"[65.6, 58.5]",Ground Pass,,15.561812,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,130,Barcelona,217,['206fc3ec-a540-4b40-9734-7fcad2eece04'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:25:24.952,Pass,,2020/2021
,,,,,,,,,,,,,0.763002,,,,,,,,,,,d993be2e-2f74-4ba1-9a74-39a93a782abd,3213,,"[65.2, 58.9]",3773672,70,,,,-1.8179728,,Right Foot,,,"[62.5, 48.2]",Ground Pass,,11.035398,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Right Center Midfield,130,Barcelona,217,"['91b77383-21d3-4d1a-b581-87c2ac039404', 'c15c26b0-9af1-4fc1-afe3-e2a9aaa6d397', 'ca0dd14d-0b97-441b-9da3-20a548da5733']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:25:26.394,Pass,True,2020/2021
,,,,,,,,,,,,,1.948078,,,,,,,,,,,06216d0e-2672-41e5-8547-a7d5a8241e49,3218,,"[53.3, 30.6]",3773672,70,,,,1.8950039,,Right Foot,,,"[49.2, 42.8]",Ground Pass,,12.870509,,,,Joan Jordán Moreno,6701.0,,,,,,2,Regular Play,Luuk de Jong,20033.0,Center Forward,131,Sevilla,213,['83635575-5df8-4813-85c4-9efe96824b14'],30,,,,,,,,,,,,,,,,,Sevilla,213,00:25:30.644,Pass,,2020/2021
,,,,,,,,,,,,,0.862996,,,,,,,,,,,2f62510f-af74-4479-99ff-2c92826b0b79,3221,,"[49.6, 49.5]",3773672,70,,,,0.663203,,Right Foot,,,"[56.0, 54.5]",Ground Pass,,8.121576,,,,Munir El Haddadi Mohamed,6616.0,,,,,,2,Regular Play,Joan Jordán Moreno,6701.0,Left Center Midfield,131,Sevilla,213,['4fe1de60-73dc-4221-9c53-9326b28ba331'],33,,,,,,,,,,,,,,,,,Sevilla,213,00:25:33.051,Pass,,2020/2021
,,,,,,,,,,,,,1.935407,,,,,,,,,,,b1ab5e68-5c6d-4242-807b-265e9cf6b808,3227,,"[61.9, 55.7]",3773672,70,True,,,-1.5620246,,Right Foot,,,"[62.1, 32.9]",Low Pass,,22.800877,,,,Ivan Rakitić,5470.0,,,,,Free Kick,2,From Free Kick,Joan Jordán Moreno,6701.0,Left Center Midfield,132,Sevilla,213,['8f74da3d-8059-46eb-819f-6cdf14d4dd4a'],47,,,,,,,,,,,,,,,,,Sevilla,213,00:25:47.900,Pass,,2020/2021
,,,,,,,,,,,,,1.244974,,,,,,,,,,,9f3dfcb0-9b31-4a23-8e78-2a567e14dc16,3229,,"[62.8, 27.1]",3773672,70,,,,-1.5208379,,Right Foot,,,"[64.0, 3.1]",Ground Pass,,24.029982,,,,Marcos Javier Acuña,19597.0,,,,,,2,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,132,Sevilla,213,['990a727b-859f-467d-b5c9-e548d970a127'],51,,,,,,,,,,,,,,,,,Sevilla,213,00:25:51.709,Pass,,2020/2021
,,,,,,,,,,,,,1.479444,,,,,,,,,,,55d977ea-4052-4ad4-a193-c97fe26a4ad4,3232,,"[64.0, 3.1]",3773672,70,,,,2.475085,,Left Foot,,,"[47.6, 16.0]",Ground Pass,,20.865522,,,,Diego Carlos Santos Silva,3366.0,,,,,,2,From Free Kick,Marcos Javier Acuña,19597.0,Left Back,132,Sevilla,213,['144c0f15-3039-4002-987a-c011bfdadff4'],53,,,,,,,,,,,,,,,,,Sevilla,213,00:25:53.901,Pass,,2020/2021
,,,,,,,,,,,,,1.349358,,,,,,,,,,,2af744bc-56fa-4743-8921-aecc71e0d9f3,3235,,"[44.7, 17.5]",3773672,70,,,,1.6316966,,Right Foot,,,"[43.7, 33.9]",Ground Pass,,16.43046,,,,Fernando Francisco Reges,16003.0,,,,,,2,From Free Kick,Diego Carlos Santos Silva,3366.0,Left Center Back,132,Sevilla,213,['4d913fe6-acae-4f35-bc74-3c961d42c364'],56,,,,,,,,,,,,,,,,,Sevilla,213,00:25:56.560,Pass,,2020/2021
,,,,,,,,,,,,,1.441119,,,,,,,,,,,2ed600cb-27df-417d-b495-45385085762e,3238,,"[42.2, 35.6]",3773672,70,,,,1.5707964,,Right Foot,,,"[42.2, 54.7]",Ground Pass,,19.1,,,,Jules Koundé,4445.0,,,,,,2,From Free Kick,Fernando Francisco Reges,16003.0,Center Defensive Midfield,132,Sevilla,213,['93b1a5ad-57e1-4358-b6d5-4c146b4fe1e6'],59,,,,,,,,,,,,,,,,,Sevilla,213,00:25:59.302,Pass,,2020/2021
,,,,,,,,,,,,,0.922096,,,,,,,,,,,80ddba74-2e67-44db-bfab-59dfee739a1d,3241,,"[49.6, 57.4]",3773672,71,,,,-0.021974484,,Right Foot,,,"[58.7, 57.2]",Ground Pass,,9.102198,,,,Munir El Haddadi Mohamed,6616.0,,,,,,2,From Free Kick,Jules Koundé,4445.0,Right Center Back,132,Sevilla,213,['ae242325-4711-41ce-a21a-145ed12445e2'],2,,,,,,,,,,,,,,,,,Sevilla,213,00:26:02.479,Pass,,2020/2021
