50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.104126,,,,,,,,,,,,,,19346be0-c3a6-4a21-b305-aaff95711ad2,45,,"[92.5, 72.4]",303504,1,,,,3.0221636,,Right Foot,,,,"[85.0, 73.3]",,Ground Pass,,7.553807,,,Nemanja Radoja,6796.0,,,,,,,1,From Throw In,Borja Mayoral Moya,21147.0,Left Center Forward,6,Levante UD,221,"['92f16dc2-4689-4ec5-8c4e-dd439622b5ed', 'ad9b04ca-4d63-46fd-9a11-93e62c478457']",11,,,,,,,,,,,,,,,,,Levante UD,221,00:01:11.246,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.54214,,,,,,,,,,,,,,0584d5ed-105d-4eb7-94da-817f61b792d2,48,,"[84.2, 73.9]",303504,1,,,,-2.0642364,,Right Foot,,,,"[77.8, 62.0]",,Low Pass,,13.511847,,,Gonzalo Julián Melero Manzanares,11669.0,,,,,,,1,From Throw In,Nemanja Radoja,6796.0,Right Defensive Midfield,6,Levante UD,221,['005a7d91-d5f7-4ea7-8257-64b004bf6851'],12,,,,,,,,,,,,,,,,,Levante UD,221,00:01:12.350,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.416948,,,,,,,,,,,,,,5bd47219-0129-4253-8553-30f14dea3e01,51,,"[70.3, 54.7]",303504,1,,,,-2.9495447,,Right Foot,,,,"[55.9, 51.9]",,Ground Pass,,14.669697,,,Rúben Miguel Nunes Vezo,6592.0,,,,,,,1,From Throw In,Gonzalo Julián Melero Manzanares,11669.0,Left Defensive Midfield,6,Levante UD,221,['6a8aa6cb-0813-4b46-8b69-bc758600f6a3'],15,,,,,,,,,,,,,,,,,Levante UD,221,00:01:15.850,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.879082,,,,,,,,,,,,,,14ab95c6-d0d3-4537-8d56-6915023df283,54,,"[58.3, 48.1]",303504,1,,,,-0.27829966,,Right Foot,,,,"[78.6, 42.3]",,Ground Pass,,21.112318,,,José Luis Morales Nogales,6668.0,,,,,,,1,From Throw In,Rúben Miguel Nunes Vezo,6592.0,Left Center Back,6,Levante UD,221,['8feeff97-f64e-4544-9c14-0853be6d3fa3'],20,,,,,,,,,,,,,,,,,Levante UD,221,00:01:20.882,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.304081,,,,,,,,,,,,,,ba87f38e-7c3c-4e67-83fe-0f6f3d7ba6cf,57,,"[78.6, 42.3]",303504,1,,,,-0.5251086,,Left Foot,,,,"[91.2, 35.0]",,Ground Pass,,14.561936,,Incomplete,Borja Mayoral Moya,21147.0,,,,,,,1,From Throw In,José Luis Morales Nogales,6668.0,Right Center Forward,6,Levante UD,221,"['5676fd56-5c7e-424e-b84e-d11ea3d92026', 'f147671d-b839-4b1a-bc23-9e3afe3f87c6']",21,,,,,,,,,,,,,,,,,Levante UD,221,00:01:21.798,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.424458,,,,,,,,,,,,,,5676fd56-5c7e-424e-b84e-d11ea3d92026,59,,"[28.9, 45.1]",303504,1,,,,-2.9821727,,Right Foot,,,,"[3.4, 41.0]",,Ground Pass,,25.827505,,,Marc-André ter Stegen,20055.0,,,,,,Recovery,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,"['4640eff3-09c6-4420-aa16-b35c36365a38', 'ba87f38e-7c3c-4e67-83fe-0f6f3d7ba6cf']",23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.102,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.784452,,,,,,,,,,,,,,191d819f-794a-4d0b-9f19-e3d32613cf67,63,,"[3.2, 34.2]",303504,1,,,,-1.0181699,,Left Foot,,,,"[20.9, 5.5]",,Ground Pass,,33.719135,,,Nélson Cabral Semedo,6374.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,7,Barcelona,217,"['32920ce0-e7a3-4af0-a4c6-12999dd9fdb6', 'f24c594e-62e7-4722-986f-a02be277a34e']",27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.046,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.071675,,,,,,,,,,,,,,5ee30aea-36d8-42cd-9d9f-b30d925b67c2,67,,"[15.6, 7.2]",303504,1,,,,2.5081668,,Left Foot,,,,"[9.2, 11.9]",,Ground Pass,,7.940403,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Left Back,7,Barcelona,217,"['6f5caef8-00e6-4055-8108-c1b0527ddb7c', 'e2e48ab7-4946-4d5a-9f87-bcf46f196c7f']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.080,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,4.918993,,,,,,,,,,,,,,a245ca40-96de-45e1-9f24-241900f2e053,70,,"[9.2, 11.9]",303504,1,,,,0.2988389,,Left Foot,,,,"[71.2, 31.0]",,High Pass,,64.87534,,Incomplete,,,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,7,Barcelona,217,"['11ec85cf-f723-4867-a83c-27281857862c', '3e3ad288-9626-46ac-bc43-1dccef2a49f6']",33,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.152,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.972172,,,,,,,,,,,,,,1ea4079d-04fd-4fbb-8fe6-7882ff72aecd,73,,"[43.3, 36.5]",303504,1,,,,-1.2919642,,Left Foot,,,,"[50.4, 11.7]",,Ground Pass,,25.796318,,,Carlos Clerc Martínez,23948.0,,,,,,,1,Regular Play,Rúben Miguel Nunes Vezo,6592.0,Left Center Back,8,Levante UD,221,['056b8c33-1e11-4c74-b3d5-4c9d013b82fb'],40,,,,,,,,,,,,,,,,,Levante UD,221,00:01:40.531,Pass,,2019/2020
