ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.626855,,,,,,,,,,,,,010e1878-1a30-4e79-8046-442f84cd33f6,42,,"[88.9, 37.0]",69306,0,,,,,-1.0646687,,Left Foot,,,,"[98.6, 19.5]",,Ground Pass,,20.0085,,,,Juan Manuel Ortiz Palazón,26440.0,,,,,,Recovery,1,Regular Play,Miguel Ángel García Pérez Roldán,26432.0,Center Attacking Midfield,4,Almería,403,['b54e280e-cb5e-482b-9a5c-87fb7fae875b'],34,,,,,,,,,,,,,,,,,,Almería,403,00:00:34.232,Pass,,2010/2011
,,,,,,,,,,,,,,1.3979,,,,,,,,,,,,,d424b74b-4072-415a-8fe3-753366f941ee,46,,"[109.8, 19.1]",69306,0,,,,,1.3431517,,Left Foot,True,,,"[115.8, 45.0]",,High Pass,,26.5859,,Incomplete,,Henok Goitom,26647.0,,,,,,,1,Regular Play,Juan Manuel Ortiz Palazón,26440.0,Left Back,4,Almería,403,"['6a2c712e-33a1-4018-8ebf-38fc12b51b25', 'c94ce0a9-d5d2-45d9-8464-f67dc0c7e3da']",38,,,,,,,,,,,,,,,,,,Almería,403,00:00:38.411,Pass,,2010/2011
,,,,,,,,,,,,,,1.2535,,,,,,,,,,,,,9e1f4b37-bf0c-43d1-b000-804512fd1102,49,,"[120.0, 80.0]",69306,1,,,,,-1.9076116,056821b7-0728-488d-ad6a-df205d4583bb,Right Foot,,,,"[108.9, 48.3]",,Low Pass,,33.5872,,,True,Henok Goitom,26647.0,True,,,Outswinging,,Corner,1,From Corner,Miguel Ángel García Pérez Roldán,26432.0,Center Attacking Midfield,5,Almería,403,['ed03299a-6414-4e4d-affc-ad66304a51fb'],9,,,,,,,,,,,,,,,,,,Almería,403,00:01:09.152,Pass,,2010/2011
,,,,,,,,,,,,,,1.537154,,,,,,,,,,,,,6829eb3a-fab3-4ad6-a938-08563fb24b61,53,,"[7.0, 36.1]",69306,1,,True,,,-1.5053163,,Right Foot,,,,"[8.2, 17.8]",,Ground Pass,,18.339302,,,,Andreu Fontàs Prat,6890.0,,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,6,Barcelona,217,['21ca69f3-6991-4c44-9769-fb7df4730a47'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.275,Pass,,2010/2011
,,,,,,,,,,,,,,1.292664,,,,,,,,,,,,,6f313026-1e99-4e2c-869f-c4f289020888,55,,"[10.2, 15.5]",69306,1,,,,,-0.5159255,,Left Foot,,,,"[30.3, 4.1]",,Ground Pass,,23.10779,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,1,From Goal Kick,Andreu Fontàs Prat,6890.0,Left Center Back,6,Barcelona,217,['6e64587a-9410-4f46-aea3-b78d5a5569b5'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.707,Pass,,2010/2011
,,,,,,,,,,,,,,0.9665,,,,,,,,,,,,,055fc97f-f4aa-4268-ab26-f3acb1f10324,59,,"[58.1, 10.2]",69306,1,,,,,-0.6833913,,Right Foot,,,,"[65.1, 4.5]",,Ground Pass,,9.027182,,,,David Villa Sánchez,12737.0,,,,,,,1,From Goal Kick,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,6,Barcelona,217,"['d3707130-c98a-4b96-802d-cb0fcd1199aa', 'f0caa7dd-d266-4565-929f-5a7e236742b0']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.000,Pass,True,2010/2011
,,,,,,,,,,,,,,1.523172,,,,,,,,,,,,,0c75e370-9d32-48e5-b970-a36eb48d620a,62,,"[60.9, 10.8]",69306,1,,,,,2.3266172,,Right Foot,,,,"[44.5, 28.2]",,Ground Pass,,23.910667,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Goal Kick,David Villa Sánchez,12737.0,Left Wing,6,Barcelona,217,['243f1a1c-a416-4959-bf63-5d2da96a3455'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.436,Pass,,2010/2011
,,,,,,,,,,,,,,1.107669,,,,,,,,,,,,,7ee43552-440f-402c-84d3-bec529a81a3b,65,,"[44.3, 29.5]",69306,1,,,,,0.8579976,,Right Foot,,,,"[54.5, 41.3]",,Ground Pass,,15.597436,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Goal Kick,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,6,Barcelona,217,['ae79ce2d-ea84-4d01-bf34-cf608eb23c6b'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.888,Pass,,2010/2011
,,,,,,,,,,,,,,1.665015,,,,,,,,,,,,,9ba4dc9e-4e92-4c9b-a66f-f630c12f20f7,68,,"[55.1, 43.1]",69306,1,,,,,1.6655345,,Right Foot,,,,"[53.0, 65.2]",,Low Pass,,22.199549,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Goal Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,6,Barcelona,217,['ad5e4369-6744-4320-8055-fa235029bd77'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.298,Pass,,2010/2011
,,,,,,,,,,,,,,1.076191,,,,,,,,,,,,,30f98758-7a59-40a5-8909-cba986348d62,71,,"[56.3, 64.8]",69306,1,,,,,-0.8130591,,Right Foot,,,,"[68.6, 51.8]",,Ground Pass,,17.896648,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Goal Kick,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['ac38ac11-51b7-4e3d-87a0-7e1d29b40f68'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.486,Pass,,2010/2011
