50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.401626,,,,,,,,,,,,,,159d9477-143b-4c9a-9c32-c65e414e5e64,2392,,"[62.6, 16.4]",265839,52,,,,,1.4091749,,Left Foot,,,,"[64.1, 25.6]",,Ground Pass,,9.321481,,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,95,Barcelona,217,['bd8b703a-89a5-472b-bf55-0be6f4fcc9e1'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:07:53.548,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.249394,,,,,,,,,,,,,,dc9531af-d11d-4421-8536-5ea7c23d100f,2395,,"[71.3, 27.8]",265839,52,,,,,-1.6879051,,Right Foot,,,,"[70.1, 17.6]",,Ground Pass,,10.270346,,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,95,Barcelona,217,['177843a3-fec9-4389-9dfe-5e64d00892b1'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:07:59.217,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.199317,,,,,,,,,,,,,,17102b8f-750f-47dc-bb99-05459bdbd35c,2398,,"[71.4, 17.6]",265839,53,,,,,1.4925252,,Left Foot,,,,"[72.2, 27.8]",,Ground Pass,,10.231324,,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,95,Barcelona,217,['cb10a659-efcc-4549-a6c8-9635743e8721'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:08:01.057,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.817948,,,,,,,,,,,,,,951b4f6b-21a8-4cbc-9552-15477ee4968c,2401,,"[72.2, 27.8]",265839,53,,,,,-1.1221977,,Right Foot,,,,"[83.8, 3.7]",,Ground Pass,,26.7464,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,95,Barcelona,217,['14cc03eb-7261-4a94-8b09-dc2f9ad58a5f'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:08:02.336,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.811752,,,,,,,,,,,,,,fe3ca006-3184-4e07-8a5d-a68adca95e23,2404,,"[84.9, 5.5]",265839,53,,,,,2.4531121,,Right Foot,,,,"[77.0, 12.0]",,Ground Pass,,10.230347,,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,95,Barcelona,217,['b0618a25-0453-47cd-b0a9-b19a4daababc'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:08:05.642,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.182726,,,,,,,,,,,,,,b61abb6d-ace4-48f4-854e-5bcd6c264384,2407,,"[77.0, 12.2]",265839,53,,,,,2.1156602,,Left Foot,,,,"[63.0, 35.3]",,Ground Pass,,27.011293,,,,,Jérémy Mathieu,10609.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,95,Barcelona,217,['8d2db107-a529-4476-a188-bce93e5aa19e'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:08:08.286,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.771252,,,,,,,,,,,,,,4cf9f739-616b-4fcf-9c2c-68ce3de74616,2410,,"[63.1, 35.8]",265839,53,,,,,1.3488718,,Left Foot,,,,"[67.5, 55.3]",,Ground Pass,,19.990248,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,95,Barcelona,217,['cc7bdddd-4df3-4d16-9f4d-af563974c63f'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:08:11.523,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.347097,,,,,,,,,,,,,,3b86df7b-846b-4f25-8508-964696567e1c,2413,,"[70.1, 56.0]",265839,53,,,,,-0.77131456,,Right Foot,,,,"[77.3, 49.0]",,Ground Pass,,10.041912,,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,95,Barcelona,217,['cf98337a-4c93-4496-9963-519b6ec8f18e'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:08:14.396,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.474935,,,,,,,,,,,,,,a2c27347-7ca9-44cf-a37f-88eb89b8aad3,2417,,"[76.6, 51.8]",265839,53,,,,,1.0390723,,Right Foot,,,,"[91.6, 77.3]",,High Pass,,29.584625,,,,,Aleix Vidal Parreu,6400.0,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,95,Barcelona,217,"['2c137b66-fe63-4490-b3f1-8038739261a5', 'df8f4569-937a-4853-b89b-d688dcccd164']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:08:18.101,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,1.108119,,,,,,,,,,,,,,b6183e7e-5c95-4556-8383-6e20061dbc25,2420,,"[91.6, 77.3]",265839,53,,,,,-2.8740876,,Right Foot,,,,"[78.1, 73.6]",,Ground Pass,,13.997857,,,,,Sergi Roberto Carnicer,6379.0,,,,,,2,Regular Play,Aleix Vidal Parreu,6400.0,Right Back,95,Barcelona,217,['62d7841d-0a2d-49cb-9f2a-a6727bac7cd9'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:08:21.914,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.760623,,,,,,,,,,,,,,e6f6daa6-cef1-4796-bbb6-69abbbe3af55,2423,,"[78.1, 73.6]",265839,53,,,,,-2.3726947,,Right Foot,,,,"[62.7, 58.7]",,Ground Pass,,21.428253,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Midfield,95,Barcelona,217,['ad8a63e3-10d8-49cb-8594-ecc8598a313c'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:08:23.533,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.583475,,,,,,,,,,,,,,b09238e8-82f4-45b2-bd44-af698fa1f5b7,2426,,"[64.0, 57.7]",265839,53,,,,,-2.0071397,,Right Foot,,,,"[55.0, 38.4]",,Ground Pass,,21.295305,,,,,Jérémy Mathieu,10609.0,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,95,Barcelona,217,['2714060b-dbf2-40f6-8918-83509f7cfd1b'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:08:26.808,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.380284,,,,,,,,,,,,,,d7938f8d-5318-41cf-bbcc-0c9714b3a03c,2429,,"[55.0, 38.4]",265839,53,,,,,-0.5293424,,Right Foot,,,,"[69.7, 29.8]",,Ground Pass,,17.030855,,,,,Arda Turan,11094.0,,,,,,2,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,95,Barcelona,217,['5bc18791-ea5f-416e-8507-0ea56b198ece'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:08:29.373,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.625097,,,,,,,,,,,,,,ece7adee-eb15-48ae-a211-4b3fabb091b1,2432,,"[71.3, 26.1]",265839,53,,,,,-1.2806444,,Right Foot,,,,"[77.6, 5.0]",,Ground Pass,,22.020445,,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Arda Turan,11094.0,Left Center Midfield,95,Barcelona,217,['5fc9765d-4e34-47b4-8b81-4d27594d12c6'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:08:31.290,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.797463,,,,,,,,,,,,,,c7236a0f-db60-4dfc-9860-346df608c736,2435,,"[77.6, 5.0]",265839,53,,,,,2.3507302,,Left Foot,,,,"[68.5, 14.2]",,Ground Pass,,12.940248,,,,,Arda Turan,11094.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,95,Barcelona,217,['7fca2716-5813-432b-8d25-f688caa440e7'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:08:33.928,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.483501,,,,,,,,,,,,,,18fd883c-16ff-408d-864d-49e3cfb98693,2439,,"[63.4, 12.3]",265839,53,,,,,2.0316815,,Left Foot,,,,"[56.2, 26.8]",,Ground Pass,,16.189194,,,,,Jérémy Mathieu,10609.0,,,,,,2,Regular Play,Arda Turan,11094.0,Left Center Midfield,95,Barcelona,217,"['e9a1b768-92f9-4a6b-a20f-7193385859a7', 'ea436119-9266-4861-a87a-0a4f3115f4d0']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:08:37.600,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,1.727057,,,,,,,,,,,,,,3a8d884a-4c94-4926-8370-0f90b7160bf6,2442,,"[56.6, 26.8]",265839,53,,,,,1.5591689,,Left Foot,,,,"[56.9, 52.6]",,Ground Pass,,25.801744,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,95,Barcelona,217,['5d46589c-d02f-48b2-b7bd-a4498b906fc2'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:08:40.204,Pass,,2015/2016
