bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,2.2202,,,,,,,,,,,,,,1f9c114f-dc4f-4005-ba5c-2217e58fb6e6,55,,"[40.1, 55.4]",266871,1,,,,,3.0613058,,Left Foot,,,,"[22.7, 56.8]",,High Pass,17.45623,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Left Center Midfield,5,Barcelona,217,['0fd6d75b-cbab-4f3f-bf87-bd7286b94637'],13,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.651,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,2.6073,,,,,,,,,,,,,,5597caee-e5ae-453d-ad9c-56746ecded20,58,,"[22.7, 56.8]",266871,1,,,,,-1.7284182,,Right Foot,,,,"[17.9, 26.6]",,Low Pass,30.579079,,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['29cdd233-2ccf-42a8-8d2a-e75ac949b6a9'],15,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.919,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.3079,,,,,,,,,,,,,,72498c40-b83d-41b2-a52e-73a2d572e6c4,62,,"[25.0, 22.4]",266871,1,,,,,-1.3435754,,Right Foot,,,,"[29.0, 5.1]",,Ground Pass,17.756407,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,5,Barcelona,217,['98c7e182-274e-48e8-99fd-dd28252f54f9'],20,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.899,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0927,,,,,,,,,,,,,,bccf1449-6255-403d-a41f-e30825b28f5a,66,,"[29.4, 4.1]",266871,1,,,,,0.0,,Left Foot,,,,"[32.6, 4.1]",,Ground Pass,3.2,,Incomplete,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,"['6c9cac1c-71e5-44a9-860f-98ed6dd6f960', 'ce8df8f2-bfa5-4b56-873c-0b57e7071688']",22,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.862,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,0.8291,,,,,,,,,,,,,,08d19ad5-187f-4fac-bf26-e5673789557f,68,,"[47.7, 0.1]",266871,1,,,,,0.3324263,,,,,,"[56.1, 3.0]",,Low Pass,8.886507,,,,Neymar da Silva Santos Junior,4320.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['38199fc8-ca2f-4375-b25e-58f3165c7a5d'],33,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.019,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.5162,,,,,,,,,,,,,,9dd6b17e-5ac6-4965-b44c-aebc7ee915a3,71,,"[56.1, 3.0]",266871,1,,,,,1.3521274,,Right Foot,,,,"[56.9, 6.6]",,Ground Pass,3.6878178,,Incomplete,,,,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,['f24c2c44-e1d7-478f-9de9-b186e936a79f'],33,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.888,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.917522,,,,,,,,,,,,,,5bb9715f-787a-4b1a-97ef-4aedb99021af,74,,"[68.0, 72.9]",266871,1,,,,,-0.7716059,,Right Foot,,,,"[82.7, 58.6]",,Low Pass,20.508047,,,,Aritz Aduriz Zubeldia,6394.0,,,,,,1,Regular Play,Mikel San José Domínguez,6389.0,Left Center Midfield,7,Athletic Club,215,['164d8b74-2867-4082-937a-0c33603c153f'],35,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:35.289,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.9058,,,,,,,,,,,,,,3c7c552d-ed87-4cc9-a528-3308171b233b,78,,"[83.7, 59.8]",266871,1,,,,,-1.735945,,Right Foot,,,,"[81.6, 47.2]",,Ground Pass,12.773801,,,,Unai López Cabrera,11746.0,,,,,,1,Regular Play,Aritz Aduriz Zubeldia,6394.0,Center Forward,7,Athletic Club,215,"['8182dbbc-0304-43c9-af43-70f367434e94', 'f73120e6-931a-45cb-9502-1e62ceb93f07']",36,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:36.792,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,0.2608,,,,,,,,,,,,,,7f5b6f7d-df2a-42af-b0db-2c574a4dee29,81,,"[84.8, 49.5]",266871,1,,,,,-1.3796118,,Right Foot,,,,"[85.4, 46.4]",,Ground Pass,3.1575308,,Incomplete,,Iker Muniain Goñi,6842.0,,,,,,1,Regular Play,Unai López Cabrera,11746.0,Center Attacking Midfield,7,Athletic Club,215,"['68e73ec8-e7e0-4300-b99f-066bdf3f62b5', 'af0e5953-3f36-423b-bc23-0fa52464de42']",38,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:38.304,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.8352,,,,,,,,,,,,,,235796ab-992a-46b0-853e-2845c829b242,84,,"[18.5, 42.8]",266871,1,,,,,2.9976673,,Left Foot,,,,"[11.6, 43.8]",,Ground Pass,6.9720874,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,Recovery,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,8,Barcelona,217,['6ab41378-03a6-491f-a087-911f9cb2337d'],40,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.475,Pass,,2014/2015
